InstrumentName, I-25 Denver,,
StartTime, 2020-07-01 00:00:00,,
EndTime, 2020-07-31 23:59:59,,
Date,CO,NO2,PM2.5
07/13/2020 01:00:00.000000,0.5,23.0,3.6
07/13/2020 02:00:00.000000,0.6,23.0,4.2
07/13/2020 03:00:00.000000,0.5,24.0,4.3
07/13/2020 04:00:00.000000,0.3,,5.6
07/13/2020 05:00:00.000000,0.3,14.0,14.5
07/13/2020 06:00:00.000000,0.2,18.0,11.1
07/13/2020 07:00:00.000000,0.4,17.0,5.2
07/13/2020 08:00:00.000000,0.2,12.0,3.3
07/13/2020 09:00:00.000000,0.2,14.0,3.7
07/13/2020 10:00:00.000000,0.2,17.0,4.9
07/13/2020 11:00:00.000000,0.3,28.0,5.7
07/13/2020 12:00:00.000000,0.4,33.0,10.7
07/13/2020 13:00:00.000000,0.5,34.0,18.1
07/13/2020 14:00:00.000000,0.5,33.0,10.0
07/13/2020 15:00:00.000000,,22.0,6.3
07/13/2020 19:00:00.000000,0.2,12.0,6.6
07/13/2020 20:00:00.000000,0.2,11.0,5.8
07/13/2020 21:00:00.000000,0.1,8.0,5.1
07/13/2020 22:00:00.000000,0.1,7.0,3.8
07/13/2020 23:00:00.000000,0.3,16.0,3.5
07/14/2020 01:00:00.000000,0.2,8.0,10.3
07/14/2020 03:00:00.000000,0.4,18.0,19.4
07/14/2020 04:00:00.000000,0.3,,10.7
07/14/2020 05:00:00.000000,0.4,10.0,25.6
07/14/2020 06:00:00.000000,0.1,9.0,15.4
07/14/2020 07:00:00.000000,0.1,9.0,6.9
07/14/2020 08:00:00.000000,0.1,11.0,11.3
07/14/2020 09:00:00.000000,0.2,13.0,14.3
07/14/2020 10:00:00.000000,0.2,14.0,9.8
07/14/2020 11:00:00.000000,0.4,27.0,13.5
07/14/2020 12:00:00.000000,0.5,27.0,14.1
07/14/2020 13:00:00.000000,0.5,25.0,13.9
07/14/2020 14:00:00.000000,0.2,17.0,13.4
07/14/2020 15:00:00.000000,0.2,13.0,9.7
07/14/2020 16:00:00.000000,0.3,,13.2
07/14/2020 17:00:00.000000,0.3,,11.8
07/14/2020 18:00:00.000000,0.4,21.0,13.1
07/14/2020 19:00:00.000000,0.2,18.0,13.5
07/14/2020 20:00:00.000000,0.5,28.0,12.6
07/14/2020 22:00:00.000000,0.2,14.0,9.9
07/14/2020 23:00:00.000000,0.3,14.0,13.0
07/15/2020 00:00:00.000000,0.4,25.0,18.5
07/15/2020 01:00:00.000000,0.4,21.0,11.7
07/15/2020 02:00:00.000000,0.3,14.0,9.7
07/15/2020 03:00:00.000000,0.2,11.0,10.6
07/15/2020 04:00:00.000000,0.2,,9.6
07/15/2020 05:00:00.000000,0.2,11.0,12.7
07/15/2020 06:00:00.000000,0.2,12.0,13.6
07/15/2020 07:00:00.000000,0.2,15.0,14.5
07/15/2020 08:00:00.000000,0.2,14.0,17.0
07/15/2020 09:00:00.000000,0.2,17.0,16.4
07/15/2020 10:00:00.000000,0.2,16.0,13.6
07/15/2020 11:00:00.000000,0.3,22.0,11.4
07/15/2020 12:00:00.000000,0.6,27.0,11.8
07/15/2020 13:00:00.000000,0.4,24.0,12.9
07/15/2020 14:00:00.000000,0.4,22.0,12.3
