InstrumentName, Construction Dust Monitor (A) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/06/2018 15:45:57.000000,0.97,1.39,1.34,,
03/06/2018 15:52:37.000000,0.67,1.03,0.74,,
03/06/2018 15:56:34.000000,0.5,0.74,0.74,,
03/06/2018 15:57:54.000000,0.14,0.14,0.14,,
03/06/2018 16:04:30.000000,1.13,1.8,1.57,,
03/06/2018 16:08:30.000000,0.17,0.6,0.6,,
03/06/2018 16:11:10.000000,0.18,0.85,0.85,,
03/06/2018 16:13:52.000000,0.38,1.0,0.74,,
03/06/2018 16:16:30.000000,0.54,1.03,1.03,,
03/06/2018 16:20:27.000000,0.73,1.38,1.38,,
03/06/2018 16:23:07.000000,1.37,1.68,1.68,,
03/06/2018 16:25:50.000000,0.52,0.79,0.69,,
03/06/2018 16:28:27.000000,0.32,0.71,0.49,,
03/07/2018 18:05:36.000000,1.75,4.5,4.5,,
03/07/2018 18:08:16.000000,4.5,6.05,5.57,,
03/07/2018 18:10:56.000000,3.85,5.24,4.46,,
03/07/2018 18:13:36.000000,3.9,5.5,4.81,,
03/07/2018 18:17:36.000000,3.74,5.48,5.24,,
03/07/2018 18:20:16.000000,3.3,4.6,4.25,,
03/07/2018 18:21:36.000000,3.51,5.66,5.46,,
03/07/2018 18:25:33.000000,3.83,6.36,5.79,,
03/07/2018 18:28:13.000000,3.41,4.59,4.56,,
03/07/2018 18:30:50.000000,3.25,5.25,5.25,,
03/07/2018 18:34:47.000000,4.26,6.02,5.5,,
03/07/2018 18:37:27.000000,17.27,23.41,21.95,,
03/07/2018 18:41:27.000000,5.23,6.21,5.91,,
03/07/2018 18:44:09.000000,7.28,10.85,10.07,,
03/07/2018 18:46:47.000000,16.37,21.58,20.65,,
03/07/2018 18:49:27.000000,9.19,11.74,11.48,,
03/07/2018 18:56:04.000000,4.33,6.44,5.87,,
03/07/2018 19:02:41.000000,3.95,4.61,4.45,,
03/07/2018 19:04:01.000000,4.0,5.51,4.49,,
03/07/2018 19:10:37.000000,4.21,4.97,4.61,,
03/07/2018 19:17:23.000000,2.32,3.0,2.68,,
03/07/2018 19:20:05.000000,3.26,4.43,4.12,,
03/07/2018 19:21:23.000000,3.71,5.48,4.4,,
03/07/2018 19:29:20.000000,3.93,4.51,4.51,,
03/07/2018 19:32:00.000000,3.35,4.22,4.22,,
03/07/2018 19:37:19.000000,4.95,6.03,5.87,,
03/07/2018 19:43:54.000000,3.89,5.39,4.98,,
03/07/2018 19:46:34.000000,4.33,6.33,5.38,,
03/07/2018 19:50:34.000000,8.21,11.71,10.4,,
03/07/2018 19:53:14.000000,5.85,8.61,8.41,,
03/07/2018 19:58:31.000000,5.5,7.18,6.93,,
03/07/2018 20:02:30.000000,6.14,8.71,8.45,,
03/07/2018 20:05:10.000000,6.8,8.49,8.49,,
03/07/2018 20:07:50.000000,6.54,7.88,7.59,,
03/07/2018 20:10:30.000000,7.68,10.22,9.32,,
03/07/2018 20:17:07.000000,6.79,9.95,8.68,,
03/07/2018 20:19:48.000000,7.61,9.51,9.07,,
03/07/2018 20:21:09.000000,7.28,9.74,9.21,,
03/07/2018 20:29:04.000000,8.07,10.1,9.85,,
03/07/2018 20:31:44.000000,6.32,8.1,8.0,,
03/07/2018 20:33:04.000000,8.55,11.26,10.43,,
03/07/2018 20:39:41.000000,4.36,5.36,5.36,,
03/07/2018 20:46:17.000000,3.07,4.25,4.18,,
03/07/2018 20:52:53.000000,3.27,4.05,3.89,,
03/07/2018 20:59:30.000000,1.69,2.89,2.42,,
03/07/2018 21:02:11.000000,1.88,2.0,2.0,,
03/07/2018 21:03:30.000000,1.7,1.92,1.85,,
03/07/2018 21:11:26.000000,2.17,2.46,2.46,,
03/07/2018 21:14:06.000000,3.15,4.27,4.27,,
03/07/2018 21:15:26.000000,2.27,2.88,2.88,,
03/07/2018 21:23:23.000000,1.48,1.83,1.83,,
03/07/2018 21:26:03.000000,1.62,2.0,2.0,,
03/07/2018 21:27:23.000000,1.29,1.31,1.31,,
03/07/2018 21:35:20.000000,1.43,1.67,1.6,,
03/07/2018 21:38:00.000000,1.41,1.93,1.93,,
03/07/2018 21:39:20.000000,2.24,2.51,2.51,,
03/23/2018 12:23:33.000000,5.12,8.23,6.74,,
03/23/2018 12:26:13.000000,4.55,6.65,6.12,,
03/23/2018 12:28:53.000000,4.5,6.22,6.18,,
03/23/2018 12:32:23.000000,4.27,6.1,6.1,,
03/23/2018 12:35:03.000000,5.72,8.23,6.72,,
03/23/2018 12:37:42.000000,5.0,8.26,6.02,,
03/23/2018 14:38:37.000000,0.18,0.18,0.18,,
03/23/2018 14:41:12.000000,0.18,0.07,0.18,,
03/23/2018 14:43:52.000000,0.18,0.07,0.18,,
03/23/2018 14:46:32.000000,0.18,0.07,0.18,,
