InstrumentName, Construction Dust Monitor (B) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/07/2018 18:25:53.000000,4.6,5.69,5.36,,
03/07/2018 18:28:33.000000,4.07,5.5,4.95,,
03/07/2018 18:32:33.000000,3.9,5.67,4.93,,
03/07/2018 18:35:14.000000,4.0,6.0,5.02,,
03/07/2018 18:37:53.000000,4.68,6.05,5.76,,
03/07/2018 18:40:33.000000,3.71,5.19,4.69,,
03/07/2018 18:44:33.000000,4.1,5.21,4.9,,
03/07/2018 18:47:13.000000,4.38,5.43,5.17,,
03/07/2018 18:49:53.000000,3.68,4.49,4.27,,
03/07/2018 18:52:33.000000,3.81,4.52,4.4,,
03/07/2018 18:56:34.000000,4.98,5.98,5.88,,
03/07/2018 18:59:13.000000,4.88,5.95,5.66,,
03/07/2018 19:01:53.000000,5.22,6.37,6.07,,
03/07/2018 19:04:33.000000,5.12,6.2,5.95,,
03/07/2018 19:08:33.000000,4.71,6.36,5.86,,
03/07/2018 19:11:13.000000,4.02,5.54,4.88,,
03/07/2018 19:13:53.000000,3.68,4.66,3.98,,
03/07/2018 19:16:33.000000,3.36,5.05,4.26,,
03/07/2018 19:20:33.000000,3.95,5.03,4.56,,
03/07/2018 19:23:17.000000,4.49,5.23,4.97,,
03/07/2018 19:25:54.000000,5.32,6.24,5.8,,
03/07/2018 19:28:35.000000,4.59,5.1,4.95,,
03/07/2018 19:32:36.000000,3.57,4.43,4.14,,
03/07/2018 19:35:13.000000,4.02,4.5,4.5,,
03/07/2018 19:37:53.000000,4.0,4.76,4.76,,
03/07/2018 19:40:33.000000,4.39,5.88,5.56,,
03/07/2018 19:44:36.000000,6.33,8.76,8.38,,
03/07/2018 19:47:13.000000,7.18,9.6,8.88,,
03/07/2018 19:49:53.000000,7.6,11.45,9.55,,
03/07/2018 19:52:33.000000,7.98,11.62,9.79,,
03/07/2018 19:56:33.000000,5.69,8.57,7.52,,
03/07/2018 19:59:13.000000,5.48,8.67,7.29,,
03/07/2018 20:01:53.000000,6.85,10.38,9.05,,
03/07/2018 20:04:33.000000,7.33,10.26,9.29,,
03/07/2018 20:08:33.000000,7.24,10.41,9.51,,
03/07/2018 20:11:13.000000,9.51,15.17,12.98,,
03/07/2018 20:13:53.000000,11.5,16.92,14.87,,
03/07/2018 20:16:33.000000,7.9,11.6,10.0,,
03/07/2018 20:20:33.000000,7.7,11.38,10.3,,
03/07/2018 20:23:13.000000,7.76,10.8,10.02,,
03/07/2018 20:25:53.000000,7.54,11.54,9.98,,
03/07/2018 20:28:33.000000,7.87,10.93,9.6,,
03/07/2018 20:32:33.000000,6.24,8.21,7.07,,
03/07/2018 20:35:13.000000,3.6,4.93,4.69,,
03/07/2018 20:37:53.000000,3.95,5.88,5.22,,
03/07/2018 20:40:33.000000,4.29,6.81,5.48,,
03/07/2018 20:44:33.000000,4.62,6.86,5.81,,
03/07/2018 20:47:13.000000,4.39,5.89,5.26,,
03/07/2018 20:49:53.000000,4.07,5.4,5.31,,
03/07/2018 20:52:33.000000,4.6,6.0,5.62,,
03/07/2018 20:56:33.000000,3.39,4.8,4.34,,
03/07/2018 20:59:13.000000,1.98,2.65,2.15,,
03/07/2018 21:01:53.000000,2.0,2.75,2.3,,
03/07/2018 21:04:33.000000,1.8,2.56,2.41,,
03/07/2018 21:08:33.000000,2.56,3.24,2.98,,
03/07/2018 21:11:14.000000,2.1,2.69,2.43,,
03/07/2018 21:13:53.000000,1.21,2.02,1.64,,
03/07/2018 21:16:33.000000,2.02,3.29,2.49,,
03/07/2018 21:20:33.000000,2.28,2.87,2.87,,
03/07/2018 21:23:13.000000,1.8,2.49,2.29,,
03/07/2018 21:25:53.000000,2.27,3.88,3.39,,
03/07/2018 21:28:33.000000,2.0,2.74,2.71,,
03/07/2018 21:32:33.000000,2.08,2.67,2.62,,
03/07/2018 21:35:13.000000,2.64,4.17,3.12,,
03/07/2018 21:37:53.000000,2.15,3.29,2.76,,
03/07/2018 21:40:33.000000,2.72,3.37,3.0,,
03/07/2018 21:43:13.000000,2.83,3.5,3.43,,
03/08/2018 20:13:48.000000,0.15,2.24,1.32,,
03/08/2018 20:17:48.000000,0.54,1.37,1.22,,
03/08/2018 20:20:28.000000,0.63,1.33,1.33,,
03/08/2018 20:23:08.000000,0.44,1.76,0.98,,
03/08/2018 20:25:48.000000,0.68,1.2,1.2,,
03/08/2018 20:29:48.000000,0.62,0.93,0.62,,
03/08/2018 20:32:29.000000,0.55,0.9,0.55,,
03/08/2018 20:35:08.000000,118.19,400.03,235.72,,
03/08/2018 20:37:48.000000,2.82,4.14,3.82,,
03/08/2018 20:41:49.000000,2.18,4.18,3.41,,
03/08/2018 20:44:28.000000,1.62,2.97,2.59,,
03/08/2018 20:47:09.000000,1.46,2.03,1.59,,
03/08/2018 20:49:49.000000,1.36,1.92,1.92,,
03/08/2018 20:53:49.000000,1.0,1.42,1.42,,
03/08/2018 20:56:28.000000,1.08,1.65,1.51,,
03/08/2018 20:59:10.000000,0.78,2.73,1.46,,
03/08/2018 21:01:52.000000,13.39,17.64,17.03,,
03/08/2018 21:05:48.000000,5.46,6.83,6.83,,
03/08/2018 21:08:28.000000,3.54,4.76,4.44,,
03/08/2018 21:11:11.000000,2.93,4.31,3.95,,
03/08/2018 21:19:08.000000,2.0,3.63,2.77,,
03/08/2018 21:20:28.000000,1.79,2.82,2.37,,
03/08/2018 21:23:09.000000,0.62,1.4,1.33,,
03/08/2018 21:25:48.000000,1.34,2.44,1.95,,
03/08/2018 21:29:48.000000,0.44,0.66,0.66,,
03/08/2018 21:32:28.000000,0.85,1.03,1.03,,
03/08/2018 21:35:08.000000,0.41,1.37,1.02,,
03/08/2018 21:37:48.000000,0.24,0.76,0.55,,
03/08/2018 21:41:48.000000,0.55,0.83,0.83,,
03/08/2018 21:44:28.000000,0.55,0.74,0.48,,
03/08/2018 21:47:08.000000,0.11,0.24,0.24,,
03/08/2018 21:49:48.000000,0.11,0.52,0.33,,
03/08/2018 21:51:08.000000,0.14,0.7,0.6,,
03/09/2018 18:52:34.000000,0.0,0.33,0.33,,
03/23/2018 12:23:50.000000,5.41,9.11,7.63,,
03/23/2018 12:26:21.000000,5.13,8.72,7.15,,
03/23/2018 12:29:02.000000,4.86,7.74,5.74,,
03/23/2018 12:31:42.000000,6.16,9.73,8.03,,
03/23/2018 12:35:41.000000,5.21,9.91,7.21,,
03/23/2018 12:38:21.000000,5.07,8.76,6.98,,
03/23/2018 12:41:01.000000,5.08,7.87,6.72,,
03/23/2018 12:43:41.000000,5.47,9.21,7.58,,
03/23/2018 12:47:41.000000,5.46,10.95,7.63,,
03/23/2018 12:50:21.000000,5.05,6.63,6.29,,
03/23/2018 12:53:01.000000,5.52,9.21,7.02,,
03/23/2018 12:55:41.000000,5.14,8.31,6.76,,
03/23/2018 12:59:41.000000,5.88,11.07,7.62,,
03/23/2018 13:02:21.000000,5.62,10.88,8.05,,
03/23/2018 13:05:01.000000,5.62,8.74,6.88,,
03/23/2018 13:07:41.000000,5.31,9.67,7.67,,
03/23/2018 13:11:41.000000,5.51,7.98,6.8,,
03/23/2018 13:14:21.000000,5.85,8.85,7.46,,
03/23/2018 13:17:01.000000,5.86,9.48,7.29,,
03/23/2018 13:19:41.000000,7.38,11.79,9.81,,
03/23/2018 13:23:41.000000,6.65,12.23,9.68,,
03/23/2018 13:26:21.000000,8.15,13.07,11.02,,
03/23/2018 13:29:01.000000,8.17,14.07,11.12,,
03/23/2018 13:31:41.000000,7.17,12.44,9.41,,
03/23/2018 13:39:41.000000,7.32,12.05,9.76,,
03/23/2018 13:41:01.000000,7.5,10.73,9.93,,
