InstrumentName, West Denver PA-II,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 08:44:03.046666,30.64,44.0,28.0
02/11/2018 08:46:43.010000,31.55,44.0,28.0
02/11/2018 08:50:43.020000,30.8,43.0,28.0
02/11/2018 08:53:23.656666,29.78,43.0,28.0
02/11/2018 08:56:03.073333,30.23,43.0,28.0
02/11/2018 08:58:43.026666,27.33,43.0,28.0
02/11/2018 09:01:23.026666,28.23,43.0,28.0
02/11/2018 09:05:23.030000,29.44,43.0,28.0
02/11/2018 09:08:03.083333,29.34,42.0,28.0
02/11/2018 09:10:43.073333,27.56,42.0,28.0
02/11/2018 09:14:43.156666,28.34,42.0,28.0
02/11/2018 09:17:23.180000,29.05,42.0,28.0
02/11/2018 09:20:03.746666,27.38,42.0,28.0
02/11/2018 09:22:43.053333,29.93,42.0,28.0
02/11/2018 09:26:43.126666,27.45,42.0,27.0
02/11/2018 09:29:23.683333,26.88,42.0,27.0
02/11/2018 09:32:03.140000,27.09,42.0,27.0
02/11/2018 09:34:43.210000,28.25,42.0,27.0
02/11/2018 09:38:43.316666,28.17,43.0,27.0
02/11/2018 09:41:23.066666,27.98,42.0,27.0
02/11/2018 09:44:03.083333,28.54,43.0,27.0
02/11/2018 09:46:43.140000,25.75,43.0,27.0
02/11/2018 09:49:23.136666,27.98,42.0,27.0
02/11/2018 09:52:27.850000,28.69,42.0,27.0
02/11/2018 09:56:27.856666,27.83,42.0,27.0
02/11/2018 09:59:07.856666,27.05,42.0,27.0
02/11/2018 10:01:47.816666,26.47,42.0,27.0
02/11/2018 10:04:27.926666,28.73,42.0,27.0
02/11/2018 10:08:27.766666,25.8,42.0,27.0
02/11/2018 10:11:07.776666,23.84,42.0,27.0
02/11/2018 10:13:47.900000,24.0,42.0,27.0
02/11/2018 10:16:27.850000,23.79,42.0,26.0
02/11/2018 10:20:27.863333,25.61,42.0,26.0
02/11/2018 10:23:07.846666,20.85,42.0,26.0
02/11/2018 10:25:47.770000,21.12,42.0,26.0
02/11/2018 10:28:27.866666,18.46,42.0,26.0
02/11/2018 10:32:27.786666,17.21,42.0,26.0
02/11/2018 10:35:07.846666,19.45,42.0,26.0
02/11/2018 10:37:47.980000,16.12,42.0,26.0
02/11/2018 10:40:28.163333,16.95,42.0,26.0
02/11/2018 10:44:28.433333,17.95,42.0,26.0
02/11/2018 10:47:08.063333,18.8,42.0,26.0
02/11/2018 10:49:48.036666,16.98,43.0,26.0
02/11/2018 10:52:28.116666,17.98,43.0,26.0
02/11/2018 10:56:27.930000,16.48,43.0,26.0
02/11/2018 10:59:07.986666,15.81,43.0,26.0
02/11/2018 11:01:48.046666,14.64,43.0,26.0
02/11/2018 11:04:27.780000,13.37,43.0,26.0
02/11/2018 11:08:27.900000,14.45,43.0,26.0
02/11/2018 11:11:07.866666,13.59,43.0,26.0
02/11/2018 11:13:47.780000,14.36,43.0,26.0
02/11/2018 11:16:27.830000,14.29,43.0,26.0
02/11/2018 11:20:27.790000,14.0,44.0,25.0
02/11/2018 11:23:07.900000,15.5,44.0,25.0
02/11/2018 11:25:47.886666,13.5,44.0,25.0
02/11/2018 11:28:28.210000,14.38,44.0,25.0
02/11/2018 11:32:27.803333,14.67,44.0,26.0
02/11/2018 11:35:07.846666,12.84,44.0,26.0
02/11/2018 11:37:47.883333,10.78,44.0,25.0
02/11/2018 11:40:27.806666,10.95,44.0,25.0
02/11/2018 11:44:27.813333,12.17,44.0,26.0
02/11/2018 11:47:08.050000,11.57,44.0,26.0
02/11/2018 11:49:47.833333,10.79,44.0,26.0
02/11/2018 11:52:27.950000,11.36,44.0,26.0
02/11/2018 11:56:28.006666,9.35,44.0,25.0
02/11/2018 11:59:07.866666,9.37,44.0,25.0
02/11/2018 12:01:47.823333,10.23,44.0,25.0
02/11/2018 12:04:27.926666,10.29,44.0,25.0
02/11/2018 12:08:27.880000,9.33,44.0,25.0
02/11/2018 12:11:07.926666,11.49,44.0,25.0
02/11/2018 12:13:49.130000,11.33,44.0,25.0
02/11/2018 12:16:27.940000,9.95,44.0,25.0
02/11/2018 12:20:28.026666,9.27,44.0,25.0
02/11/2018 12:23:07.870000,9.69,44.0,25.0
02/11/2018 12:25:47.910000,9.54,44.0,25.0
02/11/2018 12:28:27.886666,8.62,44.0,25.0
02/11/2018 12:32:28.006666,9.93,43.0,25.0
02/11/2018 12:35:07.876666,8.34,43.0,25.0
02/11/2018 12:37:48.446666,8.21,43.0,25.0
02/11/2018 12:40:27.853333,10.19,43.0,25.0
02/11/2018 12:44:27.900000,8.88,43.0,26.0
02/11/2018 12:47:07.893333,8.98,43.0,26.0
02/11/2018 12:49:47.963333,8.57,42.0,26.0
02/11/2018 12:52:27.876666,9.21,42.0,26.0
02/11/2018 12:56:28.676666,9.22,43.0,26.0
02/11/2018 12:59:08.016666,9.4,42.0,26.0
02/11/2018 13:01:47.913333,8.34,43.0,26.0
02/11/2018 13:04:28.333333,8.9,43.0,26.0
02/11/2018 13:08:28.060000,7.9,43.0,25.0
02/11/2018 13:11:08.003333,8.2,43.0,26.0
02/11/2018 13:13:47.913333,8.2,44.0,26.0
02/11/2018 13:16:28.050000,9.34,44.0,26.0
02/11/2018 13:20:28.063333,7.95,43.0,26.0
02/11/2018 13:23:08.063333,8.07,43.0,26.0
02/11/2018 13:25:48.056666,8.41,43.0,26.0
02/11/2018 13:28:27.963333,7.57,43.0,26.0
02/11/2018 13:32:28.056666,6.95,43.0,26.0
02/11/2018 13:35:08.010000,7.41,43.0,26.0
02/11/2018 13:37:47.903333,7.71,43.0,26.0
02/11/2018 13:40:27.910000,6.15,43.0,26.0
02/11/2018 13:44:27.966666,6.57,43.0,26.0
02/11/2018 13:47:07.940000,6.85,43.0,26.0
02/11/2018 13:49:48.013333,6.39,43.0,26.0
02/11/2018 13:52:27.950000,6.12,43.0,26.0
02/11/2018 13:56:27.983333,6.98,43.0,25.0
02/11/2018 13:59:08.556666,6.41,43.0,25.0
02/11/2018 14:01:48.146666,7.07,43.0,25.0
02/11/2018 14:04:27.933333,7.48,43.0,25.0
02/11/2018 14:08:27.926666,7.74,43.0,25.0
02/11/2018 14:11:08.096666,7.4,43.0,26.0
02/11/2018 14:13:48.146666,7.02,43.0,26.0
02/11/2018 14:16:28.000000,6.17,43.0,26.0
02/11/2018 14:20:28.063333,4.75,43.0,26.0
02/11/2018 14:23:07.970000,5.98,43.0,26.0
02/11/2018 14:25:48.016666,5.62,43.0,26.0
02/11/2018 14:28:28.073333,5.76,43.0,26.0
02/11/2018 14:32:28.070000,4.93,43.0,26.0
02/11/2018 14:35:07.963333,6.0,43.0,26.0
02/11/2018 14:37:47.936666,5.15,44.0,26.0
02/11/2018 14:40:27.976666,5.36,44.0,26.0
02/11/2018 14:44:28.116666,5.73,44.0,26.0
02/11/2018 14:47:07.933333,6.05,44.0,26.0
02/11/2018 14:49:47.930000,4.83,44.0,26.0
02/11/2018 14:52:27.953333,4.76,44.0,26.0
02/11/2018 14:56:27.946666,8.56,45.0,26.0
02/11/2018 14:59:07.933333,8.02,45.0,26.0
02/11/2018 15:01:48.003333,7.66,45.0,27.0
02/11/2018 15:04:28.056666,5.53,45.0,27.0
02/11/2018 15:08:28.026666,4.86,45.0,27.0
02/11/2018 15:11:08.020000,4.2,45.0,27.0
02/11/2018 15:13:48.410000,4.39,45.0,27.0
02/11/2018 15:16:28.576666,5.02,45.0,28.0
02/11/2018 15:20:28.153333,3.79,45.0,28.0
02/11/2018 15:23:08.050000,4.41,45.0,28.0
02/11/2018 15:25:47.943333,4.15,45.0,29.0
02/11/2018 15:28:28.066666,3.62,45.0,29.0
02/11/2018 15:32:27.956666,4.25,45.0,29.0
02/11/2018 15:35:08.173333,4.26,45.0,30.0
02/11/2018 15:37:48.163333,3.85,44.0,30.0
02/11/2018 15:40:28.023333,4.12,44.0,31.0
02/11/2018 15:44:28.140000,3.95,43.0,31.0
02/11/2018 15:47:07.976666,3.59,43.0,32.0
02/11/2018 15:49:47.986666,4.02,42.0,32.0
