InstrumentName, Lake Arbot B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/11/2018 14:14:34.870000,12.91,46.0,20.0
02/11/2018 14:17:14.813333,14.12,46.0,21.0
02/11/2018 14:19:54.986666,15.35,46.0,20.0
02/11/2018 14:22:34.963333,12.98,46.0,21.0
02/11/2018 14:26:34.786666,11.67,46.0,21.0
02/11/2018 14:29:15.056666,12.32,46.0,22.0
02/11/2018 14:31:55.273333,11.66,46.0,22.0
02/11/2018 14:34:35.043333,10.88,46.0,23.0
02/11/2018 14:38:34.876666,10.69,46.0,23.0
02/11/2018 14:41:14.796666,11.43,45.0,24.0
02/11/2018 14:43:54.846666,11.81,45.0,25.0
02/11/2018 14:46:34.863333,10.55,44.0,26.0
02/11/2018 14:50:34.970000,10.16,42.0,28.0
02/11/2018 14:53:14.866666,10.95,41.0,29.0
02/11/2018 14:55:54.780000,10.51,40.0,29.0
02/11/2018 14:58:34.860000,11.1,39.0,30.0
02/11/2018 15:02:34.780000,12.23,38.0,32.0
02/11/2018 15:05:14.813333,12.78,37.0,33.0
02/11/2018 15:07:54.833333,13.45,36.0,33.0
02/11/2018 15:10:34.830000,11.7,36.0,34.0
02/11/2018 15:14:34.860000,11.52,34.0,35.0
02/11/2018 15:17:14.920000,12.59,34.0,35.0
02/11/2018 15:19:54.813333,11.21,33.0,36.0
02/11/2018 15:22:34.863333,10.7,33.0,36.0
02/11/2018 15:26:34.976666,10.4,32.0,37.0
02/11/2018 15:29:15.303333,9.49,32.0,37.0
02/11/2018 15:31:55.186666,9.39,32.0,38.0
02/11/2018 15:34:34.790000,7.49,31.0,38.0
02/11/2018 15:38:35.016666,8.81,31.0,39.0
02/11/2018 15:41:14.853333,9.95,31.0,39.0
02/11/2018 15:43:55.003333,10.57,30.0,40.0
02/11/2018 15:46:34.953333,8.4,29.0,40.0
02/11/2018 15:50:34.953333,8.64,29.0,40.0
02/11/2018 15:53:14.836666,7.52,29.0,41.0
02/11/2018 15:55:54.916666,7.77,28.0,41.0
02/11/2018 15:58:34.896666,8.29,29.0,42.0
02/11/2018 16:02:34.860000,8.33,28.0,43.0
02/11/2018 16:05:14.843333,8.7,28.0,43.0
02/11/2018 16:07:55.170000,9.51,28.0,44.0
02/11/2018 16:10:34.866666,9.09,27.0,44.0
02/11/2018 16:14:34.913333,9.76,27.0,45.0
02/11/2018 16:17:14.990000,8.71,26.0,45.0
02/11/2018 16:19:54.903333,7.52,26.0,45.0
02/11/2018 16:22:34.896666,7.4,26.0,46.0
02/11/2018 16:26:35.066666,6.34,26.0,46.0
02/11/2018 16:29:14.846666,7.6,25.0,47.0
02/11/2018 16:31:55.010000,6.05,25.0,47.0
02/11/2018 16:34:34.896666,5.93,25.0,47.0
02/11/2018 16:38:34.823333,5.07,25.0,47.0
02/11/2018 16:41:14.850000,6.24,25.0,47.0
02/11/2018 16:43:54.850000,6.62,25.0,47.0
02/11/2018 16:46:34.950000,6.78,25.0,47.0
02/11/2018 16:50:34.876666,5.74,24.0,47.0
02/11/2018 16:53:14.870000,5.98,24.0,48.0
02/11/2018 16:55:54.963333,5.58,24.0,48.0
02/11/2018 16:58:34.916666,5.69,24.0,48.0
02/11/2018 17:02:34.956666,6.26,23.0,49.0
02/11/2018 17:05:14.840000,6.37,23.0,48.0
02/11/2018 17:07:54.833333,5.98,24.0,47.0
02/11/2018 17:10:34.920000,6.52,24.0,48.0
02/11/2018 17:14:35.066666,5.51,24.0,48.0
02/11/2018 17:17:14.883333,4.88,24.0,48.0
02/11/2018 17:19:54.876666,4.93,23.0,49.0
02/11/2018 17:22:34.903333,4.05,23.0,48.0
02/11/2018 17:26:34.873333,3.6,23.0,49.0
02/11/2018 17:29:15.096666,3.74,23.0,49.0
02/11/2018 17:31:55.046666,4.68,24.0,50.0
02/11/2018 17:34:35.180000,3.26,23.0,50.0
02/11/2018 17:38:34.900000,3.86,23.0,50.0
02/11/2018 17:41:14.880000,4.0,22.0,50.0
02/11/2018 17:43:55.276666,4.49,23.0,50.0
02/11/2018 17:46:34.906666,5.26,23.0,50.0
