"date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
2018-06-02 19:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.25,"","ug/m3"
2018-06-02 19:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 19:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.233,"","ug/m3"
2018-06-02 19:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",77.4,"","F"
2018-06-02 20:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.9,"",""
2018-06-02 20:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0,"","ug/m3"
2018-06-02 20:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 20:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0,"","ug/m3"
2018-06-02 20:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",77.3,"","F"
2018-06-02 21:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.7,"",""
2018-06-02 21:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.05,"","ug/m3"
2018-06-02 21:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 21:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0167,"","ug/m3"
2018-06-02 21:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",76.7,"","F"
2018-06-02 22:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.8,"",""
2018-06-02 22:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0667,"","ug/m3"
2018-06-02 22:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 22:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0333,"","ug/m3"
2018-06-02 22:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",75.6,"","F"
2018-06-02 23:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.5,"",""
2018-06-02 23:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0,"","ug/m3"
2018-06-02 23:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 23:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0,"","ug/m3"
2018-06-02 23:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",75.4,"","F"
2018-06-03 00:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.8,"",""
2018-06-03 00:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0167,"","ug/m3"
2018-06-03 00:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 00:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0167,"","ug/m3"
2018-06-03 00:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",75.2,"","F"
2018-06-03 01:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.9,"",""
2018-06-03 01:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0167,"","ug/m3"
2018-06-03 01:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 01:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0167,"","ug/m3"
2018-06-03 01:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",74.8,"","F"
2018-06-03 02:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.1,"",""
2018-06-03 02:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0167,"","ug/m3"
2018-06-03 02:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 02:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0167,"","ug/m3"
2018-06-03 02:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",74.5,"","F"
2018-06-03 03:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.3,"",""
2018-06-03 03:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0667,"","ug/m3"
2018-06-03 03:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 03:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0667,"","ug/m3"
2018-06-03 03:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",74.1,"","F"
2018-06-03 04:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.4,"",""
2018-06-03 04:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.733,"","ug/m3"
2018-06-03 04:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 04:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.65,"","ug/m3"
2018-06-03 04:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.7,"","F"
2018-06-03 05:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.6,"",""
2018-06-03 05:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.783,"","ug/m3"
2018-06-03 05:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 05:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.783,"","ug/m3"
2018-06-03 05:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.4,"","F"
2018-06-03 06:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.7,"",""
2018-06-03 06:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.667,"","ug/m3"
2018-06-03 06:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 06:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.667,"","ug/m3"
2018-06-03 06:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.3,"","F"
2018-06-03 07:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.6,"",""
2018-06-03 07:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.467,"","ug/m3"
2018-06-03 07:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 07:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.467,"","ug/m3"
2018-06-03 07:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.4,"","F"
2018-06-03 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",26,"",""
2018-06-03 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.85,"","ug/m3"
2018-06-03 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.833,"","ug/m3"
2018-06-03 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.4,"","F"
2018-06-03 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",26.7,"",""
2018-06-03 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",1.05,"","ug/m3"
2018-06-03 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",1.02,"","ug/m3"
2018-06-03 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.7,"","F"
2018-06-03 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",27,"",""
2018-06-03 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.217,"","ug/m3"
2018-06-03 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.183,"","ug/m3"
2018-06-03 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",74.7,"","F"
2018-06-03 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.4,"",""
2018-06-03 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",2.67,"","ug/m3"
2018-06-03 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",2.52,"","ug/m3"
2018-06-03 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",80.5,"","F"
2018-06-03 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.8,"",""
2018-06-03 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",3.27,"","ug/m3"
2018-06-03 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",3.17,"","ug/m3"
2018-06-03 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",84.3,"","F"
2018-06-03 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.1,"",""
2018-06-03 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",4,"","ug/m3"
2018-06-03 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",3.87,"","ug/m3"
2018-06-03 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",83.5,"","F"
2018-06-03 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",26.4,"",""
2018-06-03 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",6.4,"","ug/m3"
2018-06-03 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",6.15,"","ug/m3"
2018-06-03 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",82.4,"","F"
2018-06-03 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",28.1,"",""
2018-06-03 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",4.82,"","ug/m3"
2018-06-03 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",4.68,"","ug/m3"
2018-06-03 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",80.2,"","F"
2018-06-03 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",27.7,"",""
2018-06-03 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",3.78,"","ug/m3"
2018-06-03 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-03 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",3.58,"","ug/m3"
2018-06-03 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",79.7,"","F"
2018-06-03 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",31.5,"",""
2018-06-03 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",4.17,"","ug/m3"
