InstrumentName, CCD_Jaspe_007,,,,,,,,,,,,,,
StartTime, 2022-09-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-09-30 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
09/23/2022 17:46:06.741000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.32,0.0,0.0,0.0,0.03,0.0,,-1.0,73554.0
09/23/2022 17:47:06.563000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.95,1.28,0.13,0.82,0.55,1.25,,-1.0,73554.0
09/23/2022 17:48:04.200000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.13,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:49:06.142000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.18,0.48,0.0,0.17,0.0,0.48,,-1.0,73554.0
09/23/2022 17:50:06.874000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.12,0.02,0.0,0.0,0.12,0.02,,-1.0,73554.0
09/23/2022 17:51:06.181000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.15,0.12,0.05,0.0,0.15,0.12,,-1.0,73554.0
09/23/2022 17:52:06.423000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.22,0.12,0.0,0.0,0.22,0.12,,-1.0,73554.0
09/23/2022 17:53:06.124000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.33,0.05,0.0,0.0,0.33,0.05,,-1.0,73554.0
09/23/2022 17:54:05.921000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.47,0.18,0.0,0.12,0.47,0.18,,-1.0,73554.0
09/23/2022 17:55:04.603000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.43,0.67,0.0,0.27,0.37,0.47,,-1.0,73554.0
09/23/2022 17:56:04.628000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.33,0.43,0.0,0.08,0.08,0.25,,-1.0,73554.0
09/23/2022 17:57:06.222000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.37,0.13,0.0,0.0,0.33,0.13,,-1.0,73554.0
09/23/2022 17:58:06.290000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.48,0.62,0.0,0.2,0.27,0.53,,-1.0,73554.0
09/23/2022 17:59:06.941000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.35,0.07,0.27,0.02,0.3,0.05,,-1.0,73554.0
09/23/2022 18:00:06.720000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.63,0.23,0.13,0.2,0.63,0.23,,-1.0,73554.0
09/23/2022 18:01:07.437000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.45,0.82,0.03,0.4,0.45,0.75,,-1.0,73554.0
09/23/2022 18:02:09.407000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.12,0.87,0.0,0.37,0.12,0.82,,-1.0,73554.0
09/23/2022 18:03:05.499000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.18,0.07,0.0,0.0,0.0,0.07,,-1.0,73554.0
09/23/2022 18:04:06.045000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.93,0.73,0.0,0.0,0.83,0.73,,-1.0,145734.0
09/23/2022 18:05:05.802000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,145734.0
09/23/2022 18:06:05.020000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.33,0.0,0.0,0.0,0.27,0.0,,-1.0,145734.0
09/23/2022 18:07:05.457000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.52,0.02,0.0,0.0,0.27,0.0,,-1.0,145734.0
09/23/2022 18:08:06.485000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.25,0.05,0.0,0.0,0.0,0.02,,-1.0,145734.0
09/23/2022 18:09:07.064000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.65,0.32,0.32,0.27,0.4,0.28,,-1.0,145734.0
09/23/2022 18:10:06.102000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.92,1.03,0.45,0.52,0.92,1.03,,-1.0,145734.0
09/23/2022 18:11:06.224000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.85,0.3,0.35,0.05,0.85,0.3,,-1.0,145734.0
09/23/2022 18:12:06.986000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.42,0.1,0.12,0.02,0.42,0.1,,-1.0,145734.0
09/23/2022 18:13:07.763000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.15,0.05,0.02,0.0,0.15,0.05,,-1.0,145734.0
09/23/2022 18:14:06.236000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.25,0.92,0.0,0.53,0.25,0.92,,-1.0,145734.0
09/23/2022 18:15:08.286000,39.731792,-105.200829,1.0,1.0,0.0,-1.0,0.6,1.07,0.1,0.4,0.6,1.07,,-1.0,145734.0
09/23/2022 18:16:04.832000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.65,0.6,0.1,0.0,0.65,0.48,,-1.0,145734.0
09/23/2022 18:17:08.693000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.68,0.35,0.03,0.0,0.68,0.13,,-1.0,145734.0
09/23/2022 18:18:06.522000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.93,0.57,0.38,0.32,0.93,0.35,,-1.0,145734.0
09/23/2022 18:19:06.620000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.57,0.38,0.13,0.3,0.4,0.38,,-1.0,145734.0
09/23/2022 18:20:06.822000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.93,1.28,0.48,0.3,1.72,1.27,,-1.0,145734.0
