InstrumentName, Construction Dust Monitor (B),,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
07/23/2018 17:56:08.000000,13.8,20.15,18.73
07/23/2018 17:57:28.000000,14.7,21.98,20.48
07/23/2018 18:00:08.000000,14.63,19.1,18.49
07/23/2018 18:01:28.000000,14.43,21.52,19.9
07/23/2018 18:04:08.000000,15.05,20.85,19.83
07/23/2018 18:05:28.000000,13.85,19.73,18.75
07/23/2018 18:08:08.000000,15.59,21.73,20.0
07/23/2018 18:09:28.000000,14.24,19.17,18.34
07/23/2018 18:12:08.000000,15.67,22.46,20.72
07/23/2018 18:13:28.000000,14.5,23.5,20.65
07/23/2018 18:16:08.000000,14.98,21.71,20.0
07/23/2018 18:17:28.000000,17.03,25.18,22.54
07/23/2018 18:20:08.000000,15.68,24.02,22.17
07/23/2018 18:21:28.000000,15.44,21.69,21.1
07/23/2018 18:24:08.000000,14.32,21.3,20.2
07/23/2018 18:25:28.000000,13.66,18.37,17.37
07/23/2018 18:28:08.000000,14.71,20.63,19.82
07/23/2018 18:29:28.000000,14.77,19.73,19.6
07/23/2018 18:32:08.000000,14.87,19.2,18.87
07/23/2018 18:33:28.000000,13.48,17.83,17.2
07/23/2018 18:36:08.000000,15.32,22.48,20.15
07/23/2018 18:37:27.000000,14.13,19.1,17.79
07/23/2018 18:40:09.000000,14.18,21.55,19.52
07/23/2018 18:41:28.000000,14.27,19.78,18.9
07/23/2018 18:44:08.000000,14.46,20.67,19.69
07/23/2018 18:45:28.000000,13.17,19.07,18.12
07/23/2018 18:48:08.000000,14.0,18.42,18.02
07/23/2018 18:49:28.000000,15.48,19.45,19.33
07/23/2018 18:52:08.000000,14.21,19.64,18.95
07/23/2018 18:53:28.000000,14.07,19.77,19.17
07/23/2018 18:56:08.000000,14.87,20.88,19.25
07/23/2018 18:57:28.000000,13.48,19.55,18.52
07/23/2018 19:00:08.000000,14.54,21.44,19.74
07/23/2018 19:01:28.000000,16.08,22.5,22.0
07/23/2018 19:04:08.000000,16.55,23.5,22.37
07/23/2018 19:05:27.000000,17.25,22.92,22.02
07/23/2018 19:08:08.000000,16.48,22.36,21.52
07/23/2018 19:09:28.000000,16.37,22.17,21.25
07/23/2018 19:12:07.000000,16.65,24.17,22.6
07/23/2018 19:13:28.000000,15.7,22.98,21.8
07/23/2018 19:16:09.000000,16.22,22.46,21.12
07/23/2018 19:17:28.000000,16.52,22.3,21.58
07/23/2018 19:20:08.000000,16.08,21.75,21.05
07/23/2018 19:21:28.000000,15.68,23.0,20.88
07/23/2018 19:24:08.000000,14.1,20.62,18.95
07/23/2018 19:25:28.000000,14.71,21.5,20.21
07/23/2018 19:28:08.000000,14.49,21.29,20.17
07/23/2018 19:29:28.000000,14.71,21.83,20.67
07/23/2018 19:32:08.000000,15.4,22.08,20.98
07/23/2018 19:33:27.000000,14.07,20.62,20.2
07/23/2018 19:36:08.000000,20.65,28.45,26.27
07/23/2018 19:37:28.000000,15.56,22.9,21.18
07/23/2018 19:40:08.000000,15.68,23.48,20.02
07/23/2018 19:41:28.000000,16.05,24.9,22.31
07/23/2018 19:44:08.000000,14.27,19.93,19.1
07/23/2018 19:45:28.000000,14.32,21.23,19.83
07/23/2018 19:48:08.000000,14.05,19.33,18.51
07/23/2018 19:49:28.000000,12.75,19.5,18.33
07/23/2018 19:52:08.000000,14.0,23.55,20.35
07/23/2018 19:53:28.000000,34.53,40.92,40.33
07/23/2018 19:56:08.000000,13.65,19.25,18.02
07/23/2018 19:57:28.000000,12.02,17.8,16.7
07/23/2018 20:00:08.000000,12.8,17.23,17.08
07/23/2018 20:01:28.000000,13.35,17.65,17.55
07/23/2018 20:04:08.000000,14.08,20.46,19.62
07/23/2018 20:05:28.000000,14.69,21.41,19.51
07/23/2018 20:08:08.000000,12.41,16.95,16.12
07/23/2018 20:09:28.000000,13.27,18.83,17.48
07/23/2018 20:12:08.000000,11.95,17.02,16.25
07/23/2018 20:13:28.000000,13.25,18.6,17.4
07/23/2018 20:16:08.000000,12.43,17.85,16.55
07/23/2018 20:17:28.000000,12.71,17.51,16.51
07/23/2018 20:20:09.000000,14.95,21.39,20.44
07/23/2018 20:21:27.000000,13.31,19.0,17.41
07/23/2018 20:24:08.000000,11.75,16.08,15.68
07/23/2018 20:25:28.000000,13.54,18.72,18.23
07/23/2018 20:28:08.000000,12.46,17.93,16.83
07/23/2018 20:29:28.000000,12.77,18.26,17.13
07/23/2018 20:32:08.000000,13.02,18.68,17.39
07/23/2018 20:33:28.000000,12.69,16.49,15.74
07/23/2018 20:36:08.000000,13.49,19.67,18.49
07/23/2018 20:37:28.000000,12.61,17.18,16.24
07/23/2018 20:40:08.000000,13.62,18.02,17.55
07/23/2018 20:41:28.000000,11.67,16.72,14.62
07/23/2018 20:44:08.000000,12.43,17.36,16.24
07/23/2018 20:45:28.000000,12.43,16.15,16.0
07/23/2018 20:48:08.000000,12.15,16.33,15.45
07/23/2018 20:49:28.000000,12.05,16.56,15.71
07/23/2018 20:52:08.000000,11.9,16.45,15.43
07/23/2018 20:53:28.000000,12.38,16.33,15.41
07/23/2018 20:56:08.000000,11.45,15.52,15.12
07/23/2018 20:57:28.000000,11.75,15.45,14.93
07/23/2018 21:00:08.000000,10.73,15.13,14.7
07/23/2018 21:01:28.000000,11.5,15.45,14.87
07/23/2018 21:04:08.000000,10.9,14.77,14.36
07/23/2018 21:05:28.000000,11.08,14.51,13.62
07/23/2018 21:08:08.000000,11.25,15.8,14.75
07/23/2018 21:09:28.000000,10.35,14.82,13.88
07/23/2018 21:12:08.000000,11.87,14.92,14.56
07/23/2018 21:13:28.000000,11.1,13.65,13.45
07/23/2018 21:16:08.000000,10.02,14.63,13.83
07/23/2018 21:17:28.000000,10.63,14.68,14.07
07/23/2018 21:20:08.000000,11.31,15.36,14.77
07/23/2018 21:21:28.000000,11.32,14.9,14.45
07/23/2018 21:24:08.000000,11.95,16.27,14.98
07/23/2018 21:25:28.000000,12.24,15.85,15.44
07/23/2018 21:28:08.000000,11.68,14.71,14.5
07/23/2018 21:29:28.000000,16.48,27.0,24.75
07/23/2018 21:32:08.000000,11.43,15.23,14.6
07/23/2018 21:33:28.000000,11.45,15.25,14.2
07/23/2018 21:36:08.000000,10.05,14.38,13.51
07/23/2018 21:37:28.000000,11.44,14.66,14.27
07/23/2018 21:40:08.000000,11.51,15.44,14.38
07/23/2018 21:41:28.000000,11.02,15.35,14.9
07/23/2018 21:44:08.000000,10.71,14.41,13.41
07/23/2018 21:45:28.000000,11.51,14.85,13.98
07/23/2018 21:48:08.000000,11.79,24.68,18.63
07/23/2018 21:49:28.000000,14.15,29.05,21.85
07/23/2018 21:52:08.000000,14.82,33.46,23.72
07/23/2018 21:53:28.000000,13.8,26.02,20.1
07/23/2018 21:56:08.000000,11.41,15.1,14.66
07/23/2018 21:57:28.000000,11.07,17.15,15.3
07/23/2018 22:00:08.000000,12.0,16.87,16.25
07/23/2018 22:01:28.000000,12.85,16.98,16.66
07/23/2018 22:04:08.000000,11.49,16.0,15.17
07/23/2018 22:05:28.000000,10.82,14.87,13.98
07/23/2018 22:08:08.000000,9.29,15.32,13.02
07/23/2018 22:09:28.000000,7.69,12.26,11.05
07/23/2018 22:12:08.000000,5.39,8.32,7.15
07/23/2018 22:13:28.000000,6.12,9.35,8.1
07/23/2018 22:16:08.000000,4.72,6.9,6.67
07/23/2018 22:17:28.000000,3.61,5.49,4.98
07/23/2018 22:20:08.000000,1.64,2.31,2.05
07/23/2018 22:21:28.000000,1.24,1.84,1.79
07/23/2018 22:24:08.000000,1.9,3.6,2.8
07/23/2018 22:25:28.000000,1.39,2.1,2.1
07/23/2018 22:28:08.000000,1.92,2.87,2.87
07/23/2018 22:29:28.000000,1.71,4.07,3.0
07/23/2018 22:32:08.000000,1.65,3.17,2.85
07/23/2018 22:33:28.000000,2.03,3.45,3.25
07/23/2018 22:36:08.000000,2.59,3.37,3.02
07/23/2018 22:37:28.000000,1.35,1.92,1.75
07/23/2018 22:40:08.000000,0.45,1.08,0.93
07/23/2018 22:41:28.000000,0.41,1.34,1.1
07/23/2018 22:44:08.000000,1.79,2.08,2.08
07/23/2018 22:45:28.000000,0.66,0.76,0.76
07/23/2018 22:48:08.000000,0.83,1.6,1.12
07/23/2018 22:49:28.000000,0.75,1.75,1.1
07/23/2018 22:52:08.000000,0.51,1.51,1.2
07/23/2018 22:53:28.000000,0.57,1.45,1.05
07/23/2018 22:56:08.000000,1.24,2.49,1.93
07/23/2018 22:57:28.000000,1.02,1.62,1.58
07/23/2018 23:00:08.000000,0.8,1.73,1.33
07/23/2018 23:01:28.000000,1.37,2.7,2.28
07/23/2018 23:04:08.000000,0.31,0.87,0.62
07/23/2018 23:05:28.000000,1.0,1.77,1.23
07/23/2018 23:08:08.000000,1.45,2.6,2.25
07/23/2018 23:09:28.000000,0.95,1.4,1.4
07/23/2018 23:12:08.000000,1.73,2.08,2.08
07/23/2018 23:13:28.000000,1.9,2.73,2.73
07/23/2018 23:16:08.000000,2.08,3.6,3.37
07/23/2018 23:17:28.000000,2.17,3.15,2.8
07/23/2018 23:20:08.000000,2.36,3.74,3.31
07/23/2018 23:21:28.000000,2.44,3.44,3.44
07/23/2018 23:24:08.000000,2.74,4.21,4.21
07/23/2018 23:25:28.000000,3.3,4.2,4.18
07/23/2018 23:28:08.000000,3.64,5.48,4.64
07/23/2018 23:29:28.000000,3.5,5.12,4.7
07/23/2018 23:32:08.000000,3.35,4.9,4.82
07/23/2018 23:33:28.000000,4.0,5.93,5.8
07/23/2018 23:36:08.000000,2.92,4.79,4.36
07/23/2018 23:37:28.000000,3.85,5.38,4.74
07/23/2018 23:40:08.000000,3.4,5.05,4.4
07/23/2018 23:41:28.000000,2.95,4.0,3.83
07/23/2018 23:44:08.000000,2.95,4.69,4.1
07/23/2018 23:45:28.000000,2.22,3.27,3.27
07/23/2018 23:48:08.000000,2.73,4.39,4.12
07/23/2018 23:49:28.000000,3.02,4.29,3.83
07/23/2018 23:52:08.000000,2.62,3.59,3.59
07/23/2018 23:53:28.000000,2.61,3.98,3.12
07/23/2018 23:56:08.000000,3.0,4.22,3.87
07/23/2018 23:57:28.000000,2.7,4.18,3.92
07/24/2018 00:00:08.000000,2.52,3.71,3.45
07/24/2018 00:01:28.000000,2.75,3.87,3.87
07/24/2018 00:04:08.000000,3.47,4.68,4.6
07/24/2018 00:05:28.000000,3.12,4.85,4.5
07/24/2018 00:08:08.000000,3.32,5.49,5.49
07/24/2018 00:09:28.000000,3.9,5.97,5.6
07/24/2018 00:12:08.000000,5.15,7.12,6.95
07/24/2018 00:13:28.000000,4.71,6.62,5.98
07/24/2018 00:16:08.000000,5.95,8.92,8.1
07/24/2018 00:17:28.000000,5.15,8.35,7.78
07/24/2018 00:20:09.000000,6.44,9.37,8.73
07/24/2018 00:21:28.000000,5.59,7.9,7.36
07/24/2018 00:24:08.000000,5.78,7.82,7.53
07/24/2018 00:25:28.000000,6.51,9.59,8.98
07/24/2018 00:28:08.000000,7.53,11.05,10.32
07/24/2018 00:29:28.000000,7.37,10.3,9.2
07/24/2018 00:32:08.000000,8.38,11.55,11.18
07/24/2018 00:33:28.000000,8.38,11.9,11.49
07/24/2018 00:36:08.000000,7.66,10.73,9.93
07/24/2018 00:37:28.000000,7.97,11.69,10.92
07/24/2018 00:40:08.000000,7.63,10.95,10.27
07/24/2018 00:41:28.000000,8.39,10.83,10.44
07/24/2018 00:44:08.000000,7.79,11.79,10.64
07/24/2018 00:45:28.000000,7.9,10.63,10.02
07/24/2018 00:48:08.000000,8.82,12.35,11.43
07/24/2018 00:49:28.000000,8.7,12.0,11.48
07/24/2018 00:52:08.000000,8.72,12.64,12.18
07/24/2018 00:53:28.000000,9.48,13.73,12.32
07/24/2018 00:56:08.000000,9.0,12.9,12.13
07/24/2018 00:57:28.000000,9.36,13.33,12.33
07/24/2018 01:00:08.000000,8.83,13.61,12.95
07/24/2018 01:01:28.000000,9.12,14.1,13.66
07/24/2018 01:04:08.000000,10.65,16.17,14.25
07/24/2018 01:05:28.000000,10.3,16.35,14.75
07/24/2018 01:08:08.000000,11.12,15.73,15.17
07/24/2018 01:09:28.000000,11.18,15.65,14.73
07/24/2018 01:12:08.000000,10.38,14.82,13.9
07/24/2018 01:13:28.000000,10.67,16.03,14.82
07/24/2018 01:16:08.000000,10.87,15.47,14.76
07/24/2018 01:17:28.000000,10.45,15.8,14.68
07/24/2018 01:20:09.000000,11.34,16.9,15.61
07/24/2018 01:21:28.000000,10.9,16.08,15.4
07/24/2018 01:24:08.000000,11.32,15.34,15.0
07/24/2018 01:25:28.000000,11.62,16.85,16.05
07/24/2018 01:28:08.000000,11.72,16.05,15.26
07/24/2018 01:29:28.000000,11.12,15.52,14.52
07/24/2018 01:32:08.000000,12.29,16.93,16.12
07/24/2018 01:33:28.000000,10.56,14.8,14.2
07/24/2018 01:36:08.000000,8.59,13.34,11.73
07/24/2018 01:37:28.000000,8.52,13.05,12.2
07/24/2018 01:40:08.000000,9.15,15.0,12.82
07/24/2018 01:41:28.000000,9.23,13.35,12.23
07/24/2018 01:44:08.000000,9.57,15.18,13.38
07/24/2018 01:45:28.000000,10.56,15.08,14.56
07/24/2018 01:48:08.000000,9.9,14.05,13.4
07/24/2018 01:49:28.000000,9.75,14.15,13.45
