InstrumentName, Melody-Catalpa B,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 11:41:04.390000,3.19,60.0,58.0
07/01/2018 11:43:44.396666,2.79,60.0,58.0
07/01/2018 11:47:44.380000,3.65,60.0,57.0
07/01/2018 11:50:24.393333,3.26,60.0,58.0
07/01/2018 11:53:04.393333,2.77,60.0,58.0
07/01/2018 11:55:44.400000,2.98,60.0,58.0
07/01/2018 11:59:44.390000,3.21,60.0,58.0
07/01/2018 12:01:41.733333,6.6,60.0,57.0
07/01/2018 12:05:41.793333,3.77,60.0,58.0
07/01/2018 12:08:21.743333,2.98,60.0,58.0
07/01/2018 12:11:01.743333,2.9,60.0,58.0
07/01/2018 12:13:41.740000,3.05,60.0,58.0
07/01/2018 12:17:41.756666,2.66,60.0,58.0
07/01/2018 12:20:21.750000,2.84,60.0,58.0
07/01/2018 12:23:01.736666,2.76,61.0,58.0
07/01/2018 12:25:41.736666,2.91,61.0,58.0
07/01/2018 12:29:41.750000,3.25,61.0,59.0
07/01/2018 12:32:21.790000,2.93,61.0,59.0
07/01/2018 12:35:01.736666,3.14,61.0,59.0
07/01/2018 12:37:41.736666,3.17,60.0,59.0
07/01/2018 12:41:41.746666,2.95,60.0,59.0
07/01/2018 12:44:21.743333,3.19,61.0,59.0
07/01/2018 12:47:01.746666,2.86,60.0,59.0
07/01/2018 12:49:41.736666,3.93,60.0,59.0
07/01/2018 12:53:41.746666,4.28,61.0,60.0
07/01/2018 12:56:21.890000,4.79,60.0,60.0
07/01/2018 12:59:01.743333,4.65,60.0,60.0
07/01/2018 13:01:41.740000,4.0,59.0,60.0
07/01/2018 13:05:41.766666,4.7,58.0,60.0
07/01/2018 13:08:21.773333,5.3,57.0,60.0
07/01/2018 13:11:01.763333,5.0,57.0,61.0
07/01/2018 13:13:41.750000,5.74,56.0,61.0
07/01/2018 13:17:41.796666,5.34,57.0,61.0
07/01/2018 13:20:21.756666,5.47,57.0,61.0
07/01/2018 13:23:01.806666,5.77,56.0,61.0
07/01/2018 13:25:41.746666,6.05,57.0,62.0
07/01/2018 13:29:41.753333,6.3,58.0,62.0
07/01/2018 13:32:21.740000,5.91,58.0,62.0
07/01/2018 13:35:19.880000,6.4,58.0,62.0
07/01/2018 13:37:59.876666,6.1,58.0,62.0
07/01/2018 13:40:39.876666,5.84,57.0,63.0
07/01/2018 13:44:39.876666,6.24,56.0,63.0
07/01/2018 13:47:19.883333,6.58,55.0,64.0
07/01/2018 13:49:59.896666,5.98,54.0,65.0
07/01/2018 13:52:39.890000,6.19,53.0,65.0
07/01/2018 13:56:39.926666,5.71,51.0,66.0
07/01/2018 13:59:19.926666,5.88,51.0,66.0
07/01/2018 14:01:59.883333,5.81,50.0,67.0
07/01/2018 14:04:39.886666,5.86,51.0,66.0
07/01/2018 14:08:46.770000,5.57,50.0,66.0
