InstrumentName, Construction Dust Monitor (A),,
06/18/2018 15:50:31.000000,1.75,2.8,2.47
06/18/2018 15:53:12.000000,2.15,4.22,3.55
06/18/2018 15:55:51.000000,2.29,3.71,3.49
06/18/2018 15:59:50.000000,4.88,6.68,6.68
06/18/2018 16:02:31.000000,2.78,4.18,3.92
06/18/2018 16:05:12.000000,3.88,6.68,5.76
06/18/2018 16:07:51.000000,2.9,5.5,4.53
06/18/2018 16:11:51.000000,2.25,5.25,3.95
06/18/2018 16:14:31.000000,2.44,4.56,3.85
06/18/2018 16:17:11.000000,3.46,6.12,5.02
06/18/2018 16:19:50.000000,3.33,5.05,4.93
06/18/2018 16:23:51.000000,3.29,5.55,4.93
06/18/2018 16:26:30.000000,3.17,5.43,4.65
06/18/2018 16:29:11.000000,4.33,6.59,5.92
06/18/2018 16:31:50.000000,4.19,6.45,6.07
06/18/2018 16:35:51.000000,4.92,6.56,6.49
06/18/2018 16:38:31.000000,4.75,7.75,7.43
06/18/2018 16:41:11.000000,8.18,12.23,11.35
06/18/2018 16:43:51.000000,8.73,12.75,11.93
06/18/2018 16:47:51.000000,5.31,8.17,7.74
06/18/2018 16:50:31.000000,5.97,8.74,8.56
06/18/2018 16:53:12.000000,5.57,8.65,8.27
06/18/2018 16:55:51.000000,6.07,9.29,8.9
06/18/2018 16:59:51.000000,5.05,7.78,7.2
06/18/2018 17:02:30.000000,5.11,8.05,7.29
06/18/2018 17:05:11.000000,5.73,8.32,8.17
06/18/2018 17:07:51.000000,4.38,6.67,5.72
06/18/2018 17:11:51.000000,5.61,9.39,8.15
06/18/2018 17:14:31.000000,5.47,8.23,7.87
06/18/2018 17:17:11.000000,6.6,10.45,9.85
06/18/2018 17:19:51.000000,5.39,9.29,7.8
06/18/2018 17:26:31.000000,5.77,8.82,8.13
06/18/2018 17:29:11.000000,5.9,8.39,8.39
06/18/2018 17:31:51.000000,6.72,10.5,9.1
06/18/2018 17:35:51.000000,6.23,9.77,8.36
06/18/2018 17:38:31.000000,6.45,10.25,9.7
06/18/2018 17:41:11.000000,6.25,10.7,8.65
06/18/2018 17:43:51.000000,6.92,9.95,9.95
06/18/2018 17:47:51.000000,7.05,11.39,10.59
06/18/2018 17:50:31.000000,7.37,10.85,10.15
06/18/2018 17:53:11.000000,6.53,11.05,9.35
06/18/2018 17:55:51.000000,8.63,12.55,11.38
06/18/2018 17:59:51.000000,8.43,12.77,12.45
06/18/2018 18:02:31.000000,8.17,12.39,11.71
06/18/2018 18:05:11.000000,9.0,12.77,12.48
06/18/2018 18:07:51.000000,7.9,12.5,11.6
06/18/2018 18:11:51.000000,8.28,12.85,11.97
06/18/2018 18:14:31.000000,8.37,12.66,12.32
06/18/2018 18:17:11.000000,9.79,14.92,13.77
06/18/2018 18:19:51.000000,9.27,14.32,13.24
06/18/2018 18:23:51.000000,9.32,14.68,13.8
06/18/2018 18:26:31.000000,9.93,15.32,14.18
06/18/2018 18:29:11.000000,9.9,16.12,14.87
06/18/2018 18:31:51.000000,10.6,14.52,14.07
06/18/2018 18:35:51.000000,10.39,15.95,15.05
06/18/2018 18:38:31.000000,11.1,15.95,15.15
06/18/2018 18:41:11.000000,10.18,15.55,14.6
06/18/2018 18:43:51.000000,10.1,15.3,13.93
06/18/2018 18:47:51.000000,11.24,16.9,16.12
06/18/2018 18:50:31.000000,10.39,16.47,15.68
06/18/2018 18:53:11.000000,12.43,17.48,17.4
06/18/2018 18:55:50.000000,11.35,17.25,16.33
06/18/2018 18:59:51.000000,10.59,17.02,14.76
06/18/2018 19:02:31.000000,9.5,15.55,13.55
06/18/2018 19:05:11.000000,10.52,16.05,14.9
06/18/2018 19:07:51.000000,11.77,17.77,17.27
06/18/2018 19:11:51.000000,10.95,17.24,15.59
06/18/2018 19:14:31.000000,12.36,17.87,17.23
06/18/2018 19:17:12.000000,12.0,17.6,16.05
06/18/2018 19:19:51.000000,12.15,16.8,15.93
06/18/2018 19:23:51.000000,12.8,20.27,19.45
06/18/2018 19:26:31.000000,12.5,17.97,17.21
06/18/2018 19:29:11.000000,12.32,18.27,16.7
06/18/2018 19:31:51.000000,12.25,19.0,18.33
06/18/2018 19:35:51.000000,11.9,18.52,17.33
06/18/2018 19:38:31.000000,13.32,19.33,18.75
06/18/2018 19:41:11.000000,11.38,17.14,15.84
06/18/2018 19:43:51.000000,12.05,18.02,17.5
06/18/2018 19:47:51.000000,13.1,18.9,18.07
06/18/2018 19:50:31.000000,13.48,19.7,18.5
06/18/2018 19:53:11.000000,12.82,18.73,17.83
06/18/2018 19:55:51.000000,10.57,16.32,15.19
06/18/2018 19:59:51.000000,12.73,19.35,17.83
06/18/2018 20:02:31.000000,12.5,18.27,16.67
06/18/2018 20:05:11.000000,13.2,19.6,17.98
06/18/2018 20:07:51.000000,12.46,17.67,17.26
06/18/2018 20:11:51.000000,12.15,17.31,17.05
06/18/2018 20:14:31.000000,13.83,20.81,19.64
06/18/2018 20:17:11.000000,13.35,19.35,18.55
06/18/2018 20:19:51.000000,14.95,23.98,20.66
06/18/2018 20:23:51.000000,13.27,18.24,17.39
06/18/2018 20:26:31.000000,12.71,18.37,17.24
06/18/2018 20:29:11.000000,13.7,20.1,18.55
06/18/2018 20:31:51.000000,13.24,20.69,18.9
06/18/2018 20:35:51.000000,13.83,20.85,19.73
06/18/2018 20:38:31.000000,13.6,19.67,17.58
06/18/2018 20:41:11.000000,13.1,19.26,18.0
06/18/2018 20:43:51.000000,13.75,18.87,18.35
06/18/2018 20:47:51.000000,13.98,22.17,20.58
06/18/2018 20:50:31.000000,13.1,19.14,17.71
06/18/2018 20:53:11.000000,13.27,18.3,17.8
06/18/2018 20:55:51.000000,13.1,20.4,19.12
06/18/2018 20:59:51.000000,17.25,23.55,22.17
06/18/2018 21:02:32.000000,13.76,20.21,18.71
06/18/2018 21:05:11.000000,11.8,15.82,15.43
06/18/2018 21:07:51.000000,12.83,18.59,17.78
06/18/2018 21:11:51.000000,14.27,20.27,19.2
06/18/2018 21:14:31.000000,13.15,17.41,17.07
06/18/2018 21:17:11.000000,12.31,16.17,15.71
06/18/2018 21:19:51.000000,11.59,15.62,15.28
06/18/2018 21:23:51.000000,12.05,16.62,15.65
06/18/2018 21:26:31.000000,11.32,17.25,16.4
06/18/2018 21:29:11.000000,12.34,16.95,16.41
06/18/2018 21:31:51.000000,10.51,15.18,14.26
06/18/2018 21:35:51.000000,11.32,15.98,14.71
06/18/2018 21:38:31.000000,11.32,15.51,14.78
06/18/2018 21:41:11.000000,9.52,12.6,12.4
06/18/2018 21:43:51.000000,9.85,14.34,13.29
06/18/2018 21:47:51.000000,10.0,13.49,13.1
06/18/2018 21:50:31.000000,9.82,13.18,12.88
06/18/2018 21:53:11.000000,10.73,14.38,13.98
06/18/2018 21:55:51.000000,8.77,12.25,11.7
06/18/2018 21:59:51.000000,8.59,11.92,11.54
06/18/2018 22:02:32.000000,7.93,11.23,10.52
06/18/2018 22:05:11.000000,10.41,15.1,14.49
06/18/2018 22:07:51.000000,8.49,11.68,11.37
06/18/2018 22:11:51.000000,10.42,12.89,12.58
06/18/2018 22:14:31.000000,7.46,10.68,10.0
06/18/2018 22:17:11.000000,7.74,9.97,9.21
06/18/2018 22:19:51.000000,7.07,9.59,9.15
06/18/2018 22:23:51.000000,6.56,8.85,8.38
06/18/2018 22:26:31.000000,6.54,9.05,8.61
06/18/2018 22:29:11.000000,6.86,9.62,9.21
06/18/2018 22:31:51.000000,7.87,10.07,9.95
06/18/2018 22:35:51.000000,7.57,10.29,9.71
06/18/2018 22:38:31.000000,7.9,10.93,10.0
06/18/2018 22:41:11.000000,7.03,9.71,9.26
06/18/2018 22:43:51.000000,7.32,10.25,9.65
06/18/2018 22:47:51.000000,5.73,7.68,7.68
06/18/2018 22:50:32.000000,6.49,8.39,8.32
06/18/2018 22:53:11.000000,7.9,10.49,9.8
06/18/2018 22:55:51.000000,6.63,9.1,8.56
06/18/2018 22:59:51.000000,5.76,8.29,8.07
06/18/2018 23:02:31.000000,5.43,7.18,6.9
06/18/2018 23:05:11.000000,5.0,6.78,6.46
06/18/2018 23:07:51.000000,4.4,6.07,6.07
06/18/2018 23:11:51.000000,5.85,7.65,7.4
06/18/2018 23:14:31.000000,4.43,5.64,5.64
06/18/2018 23:17:11.000000,4.43,5.68,5.68
06/18/2018 23:19:51.000000,4.02,5.95,5.46
06/18/2018 23:23:51.000000,3.72,5.44,5.03
06/18/2018 23:26:31.000000,4.0,4.71,4.71
06/18/2018 23:29:11.000000,4.57,5.9,5.68
06/18/2018 23:31:51.000000,3.97,5.15,4.74
06/18/2018 23:35:51.000000,3.67,5.35,5.28
06/18/2018 23:38:31.000000,3.95,5.02,5.02
06/18/2018 23:41:11.000000,4.07,5.44,5.22
06/18/2018 23:43:52.000000,3.9,5.18,5.03
06/18/2018 23:47:51.000000,4.36,5.31,5.19
06/18/2018 23:50:31.000000,10.66,15.24,14.32
06/18/2018 23:53:11.000000,11.15,16.95,15.68
06/18/2018 23:55:51.000000,11.45,15.68,15.43
06/18/2018 23:59:51.000000,10.71,17.33,16.19
06/19/2018 00:01:11.000000,10.9,15.76,15.02
06/19/2018 13:08:21.000000,1.08,2.2,1.87
06/19/2018 13:11:01.000000,0.8,1.37,1.0
06/19/2018 13:13:41.000000,0.57,1.14,1.07
06/19/2018 13:17:41.000000,0.76,1.02,1.0
06/19/2018 13:20:21.000000,1.08,1.27,1.27
06/19/2018 13:23:01.000000,0.85,1.55,1.33
06/19/2018 13:25:41.000000,1.0,1.35,1.35
06/19/2018 13:29:41.000000,1.0,1.15,1.0
06/19/2018 13:32:21.000000,0.5,1.12,1.12
06/19/2018 13:35:02.000000,1.0,1.4,1.05
06/19/2018 13:37:41.000000,1.0,1.59,1.41
06/19/2018 13:41:41.000000,1.1,1.54,1.54
06/19/2018 13:44:21.000000,1.0,1.3,1.3
06/19/2018 13:47:01.000000,1.02,1.36,1.36
06/19/2018 13:49:41.000000,1.0,1.15,1.15
06/19/2018 13:53:41.000000,1.56,1.97,1.9
06/19/2018 13:56:21.000000,1.0,1.44,1.44
06/19/2018 13:59:01.000000,0.81,2.14,1.49
06/19/2018 14:01:41.000000,1.08,1.64,1.64
06/19/2018 14:05:41.000000,1.0,1.7,1.45
06/19/2018 14:08:21.000000,1.25,1.73,1.6
06/19/2018 14:11:01.000000,1.24,1.83,1.76
06/19/2018 14:13:41.000000,1.44,2.12,1.93
06/19/2018 14:17:41.000000,1.59,2.05,1.95
06/19/2018 14:20:21.000000,1.15,1.73,1.65
06/19/2018 14:23:02.000000,1.82,2.67,2.54
06/19/2018 14:25:41.000000,1.0,1.95,1.21
06/19/2018 14:29:41.000000,1.17,1.85,1.66
06/19/2018 14:32:21.000000,1.92,2.97,2.85
06/19/2018 14:35:01.000000,1.54,2.61,2.27
06/19/2018 14:37:41.000000,1.58,2.58,2.58
06/19/2018 14:41:41.000000,0.7,1.83,1.77
06/19/2018 14:44:21.000000,1.45,3.52,2.31
06/19/2018 14:47:01.000000,1.75,3.03,2.67
06/19/2018 14:49:41.000000,1.73,3.22,2.8
06/19/2018 14:53:41.000000,3.0,3.87,3.65
06/19/2018 14:56:21.000000,2.7,3.9,3.72
06/19/2018 14:59:01.000000,3.1,4.15,3.87
06/19/2018 15:05:41.000000,2.46,4.44,4.13
06/19/2018 15:08:21.000000,3.47,5.22,4.53
06/19/2018 15:11:03.000000,3.08,4.53,4.25
06/19/2018 15:13:41.000000,4.51,6.56,6.32
06/19/2018 15:17:41.000000,3.27,5.24,4.73
06/19/2018 15:20:21.000000,3.13,5.38,4.95
06/19/2018 15:23:01.000000,3.05,5.37,4.95
06/19/2018 15:25:41.000000,3.87,4.9,4.9
