"","Site","ID.x","SensorType","School","Sensor.Start.Date","Major.Roadways","Neighborhood","ID.y","DIR","LENGTH","DIST","TYPE","FACILITY_T","LANE","LANEAB","LANEBA","USE","SPEED_LIMI","AREA_TYPE","ZONE","FFSPEED","FFTIME","CAPACITY","CNTY_CODE","COUNTY","EMAT_SUBAR","EMAT_EQUIT","EMAT_DWTND","EMAT_DENVE","TOT_DYFLOW","TAZ_CNTY","ids","distances","geometry"
"33","I-25 Denver State Site","I-25 Denver Collo (CS16)","Lunar","","19-Jun","","",6551,1,0.156142,0.156142,1,1,6,6,NA,0,55,3,1459,55,0.170336,12000,"De",31,"Denver Central",1,0,1,131000,"Denver",2173,19.6552274023838,c(-105.01531, 39.73214)
"34","I-25 Globeville State Site","I-25 Glo Collo (CS2)","Lunar","","18-May","I70, I25","",8857,1,1.1596,1.1596,1,1,4,4,NA,0,55,3,1331,55,1.265018,8000,"De",31,"Denver Globevill",1,0,1,107000,"Denver",1072,22.816153053012,c(-104.98887, 39.7859)
"35","I-25 Globeville State Site","I-25 Glo Collo (CS3)","Lunar","","18-May","","",8857,1,1.1596,1.1596,1,1,4,4,NA,0,55,3,1331,55,1.265018,8000,"De",31,"Denver Globevill",1,0,1,107000,"Denver",1072,22.816153053012,c(-104.98887, 39.7859)
"36","I-25 Globeville State Site","I-25 Glo Collo (CS4)","Lunar","","18-May","","",8857,1,1.1596,1.1596,1,1,4,4,NA,0,55,3,1331,55,1.265018,8000,"De",31,"Denver Globevill",1,0,1,107000,"Denver",1072,22.816153053012,c(-104.98887, 39.7859)
"37","I-25 Globeville State Site","I-25 Globeville","Airnow","","","","",8857,1,1.1596,1.1596,1,1,4,4,NA,0,55,3,1331,55,1.265018,8000,"De",31,"Denver Globevill",1,0,1,107000,"Denver",1072,22.816153053012,c(-104.98887, 39.7859)
"38","I-25 Globeville State Site","I-25 Globeville MET","State","","","","",8857,1,1.1596,1.1596,1,1,4,4,NA,0,55,3,1331,55,1.265018,8000,"De",31,"Denver Globevill",1,0,1,107000,"Denver",1072,22.816153053012,c(-104.98887, 39.7859)
"39","I-25 Denver State Site","I25 Denver MET","State","","","","",6551,1,0.156142,0.156142,1,1,6,6,NA,0,55,3,1459,55,0.170336,12000,"De",31,"Denver Central",1,0,1,131000,"Denver",2173,19.6552274023838,c(-105.01531, 39.73214)
"40","JFK High School","JFK High School (AKLZ678D_3.2)","Clarity","High","19-Dec","","Bear Valley",4144,0,0.139706,0.139706,1,5,1,1,1,0,25,4,1583,25,0.335294,500,"De",31,"Denver Far South",1,0,1,2000,"Denver",1415,157.14593807457,c(-105.06914, 39.66185)
"41","Joe Shoemaker School","Joe Shoemaker (CS21)","Lunar","Elementary","19-Oct","","Kennedy",4671,0,0.350815,0.350815,1,3,2,2,2,0,45,4,1673,37,0.568889,1700,"De",31,"Denver Far South",1,0,1,53000,"Denver",15,110.120987058398,c(-104.8677, 39.65891)
"42","La Casa State Site","La Casa","Airnow","","","","",8854,0,0.121739,0.121739,1,5,1,1,1,0,30,3,1287,25,0.292174,450,"De",31,"Denver Northwest",1,0,1,9000,"Denver",2325,79.0478835600229,c(-105.00519, 39.77946)
