,model_name,EVAL_SITE,CORR_SITE,Correction_Applied,COR,RMSE,BIAS
15,Swansea GRIMM CAMP State Site lm met,Swansea GRIMM.csv,CAMP State Site lm met,Yes,0.803948782,4.587012614,-1.02175453
16,I-25 Denver State Site CAMP State Site lm pm_raw,I-25 Denver State Site.csv,CAMP State Site lm pm_raw,Yes,0.807309081,4.392113227,-1.990521114
17,I-25 Globeville State Site CAMP State Site lm pm_raw,I-25 Globeville State Site.csv,CAMP State Site lm pm_raw,Yes,0.835577819,4.656886159,-0.621397282
18,La Casa State Site CAMP State Site lm pm_raw,La Casa State Site.csv,CAMP State Site lm pm_raw,Yes,0.920725309,3.509397951,-1.84004315
19,National Jewish Health State Site CAMP State Site lm pm_raw,National Jewish Health State Site.csv,CAMP State Site lm pm_raw,Yes,0.922491018,3.237322241,-1.489264113
20,Swansea GRIMM CAMP State Site lm pm_raw,Swansea GRIMM.csv,CAMP State Site lm pm_raw,Yes,0.804958777,4.650582311,-1.101755022
21,I-25 Denver State Site CAMP State Site lm pm10_all,I-25 Denver State Site.csv,CAMP State Site lm pm10_all,Yes,0.794905342,5.235118263,-3.333756146
22,I-25 Globeville State Site CAMP State Site lm pm10_all,I-25 Globeville State Site.csv,CAMP State Site lm pm10_all,Yes,0.819856134,4.713894386,0.298138731
23,La Casa State Site CAMP State Site lm pm10_all,La Casa State Site.csv,CAMP State Site lm pm10_all,Yes,0.90149909,3.212787687,-0.586233224
24,National Jewish Health State Site CAMP State Site lm pm10_all,National Jewish Health State Site.csv,CAMP State Site lm pm10_all,Yes,0.908709149,3.102516367,-1.033583213
25,Swansea GRIMM CAMP State Site lm pm10_all,Swansea GRIMM.csv,CAMP State Site lm pm10_all,Yes,0.754469274,4.960637766,-0.69498665
26,I-25 Denver State Site CAMP State Site lm pm10,I-25 Denver State Site.csv,CAMP State Site lm pm10,Yes,0.800549059,4.866237163,-2.810895834
27,I-25 Globeville State Site CAMP State Site lm pm10,I-25 Globeville State Site.csv,CAMP State Site lm pm10,Yes,0.81552109,4.819999424,0.758696794
28,La Casa State Site CAMP State Site lm pm10,La Casa State Site.csv,CAMP State Site lm pm10,Yes,0.90454609,3.120425538,-0.170764871
29,National Jewish Health State Site CAMP State Site lm pm10,National Jewish Health State Site.csv,CAMP State Site lm pm10,Yes,0.915824831,2.930013992,-0.710633177
30,Swansea GRIMM CAMP State Site lm pm10,Swansea GRIMM.csv,CAMP State Site lm pm10,Yes,0.777885413,4.757924714,-0.727542799
31,I-25 Denver State Site CAMP State Site lm smoke,I-25 Denver State Site.csv,CAMP State Site lm smoke,Yes,0.809351002,4.960436699,-3.082469785
32,I-25 Globeville State Site CAMP State Site lm smoke,I-25 Globeville State Site.csv,CAMP State Site lm smoke,Yes,0.819799391,4.725856334,0.228548721
33,La Casa State Site CAMP State Site lm smoke,La Casa State Site.csv,CAMP State Site lm smoke,Yes,0.920175283,3.01027459,-0.843428461
34,National Jewish Health State Site CAMP State Site lm smoke,National Jewish Health State Site.csv,CAMP State Site lm smoke,Yes,0.926999425,2.999765887,-1.273347629
35,Swansea GRIMM CAMP State Site lm smoke,Swansea GRIMM.csv,CAMP State Site lm smoke,Yes,0.806386002,4.561605993,-0.979770177
36,I-25 Denver State Site CAMP State Site rft age,I-25 Denver State Site.csv,CAMP State Site rft age,Yes,0.732055154,5.030081569,-1.969982428
37,I-25 Globeville State Site CAMP State Site rft age,I-25 Globeville State Site.csv,CAMP State Site rft age,Yes,0.771065375,5.227127304,-0.04450039
38,La Casa State Site CAMP State Site rft age,La Casa State Site.csv,CAMP State Site rft age,Yes,0.868490093,3.771817498,-1.061906898
39,National Jewish Health State Site CAMP State Site rft age,National Jewish Health State Site.csv,CAMP State Site rft age,Yes,0.860345204,3.655922945,-0.840772919
40,Swansea GRIMM CAMP State Site rft age,Swansea GRIMM.csv,CAMP State Site rft age,Yes,0.687118578,5.563842956,-0.952646714
41,I-25 Denver State Site CAMP State Site rft all,I-25 Denver State Site.csv,CAMP State Site rft all,Yes,0.725063255,5.27844685,-2.21665644
42,I-25 Globeville State Site CAMP State Site rft all,I-25 Globeville State Site.csv,CAMP State Site rft all,Yes,0.77564962,5.197351087,-0.208112722
43,La Casa State Site CAMP State Site rft all,La Casa State Site.csv,CAMP State Site rft all,Yes,0.860071212,3.937642834,-1.201580111
44,National Jewish Health State Site CAMP State Site rft all,National Jewish Health State Site.csv,CAMP State Site rft all,Yes,0.854357135,3.787205568,-0.972959322
45,Swansea GRIMM CAMP State Site rft all,Swansea GRIMM.csv,CAMP State Site rft all,Yes,0.711059274,5.482040763,-1.225182798
46,I-25 Denver State Site CAMP State Site rft met,I-25 Denver State Site.csv,CAMP State Site rft met,Yes,0.731198655,5.073077641,-2.150977151
47,I-25 Globeville State Site CAMP State Site rft met,I-25 Globeville State Site.csv,CAMP State Site rft met,Yes,0.828358916,4.602090181,0.053066086
48,La Casa State Site CAMP State Site rft met,La Casa State Site.csv,CAMP State Site rft met,Yes,0.917369406,3.015768314,-0.787406298
49,National Jewish Health State Site CAMP State Site rft met,National Jewish Health State Site.csv,CAMP State Site rft met,Yes,0.888083546,3.338416615,-0.907172509
50,Swansea GRIMM CAMP State Site rft met,Swansea GRIMM.csv,CAMP State Site rft met,Yes,0.778661708,4.742349828,-0.658410815
51,I-25 Denver State Site CAMP State Site rft pm10_all,I-25 Denver State Site.csv,CAMP State Site rft pm10_all,Yes,0.727168652,5.341846564,-2.32890384
52,I-25 Globeville State Site CAMP State Site rft pm10_all,I-25 Globeville State Site.csv,CAMP State Site rft pm10_all,Yes,0.780788123,5.187360309,-0.551062092
53,La Casa State Site CAMP State Site rft pm10_all,La Casa State Site.csv,CAMP State Site rft pm10_all,Yes,0.865372225,4.076601038,-1.640500594
54,National Jewish Health State Site CAMP State Site rft pm10_all,National Jewish Health State Site.csv,CAMP State Site rft pm10_all,Yes,0.863821961,3.801681528,-1.277222792
55,Swansea GRIMM CAMP State Site rft pm10_all,Swansea GRIMM.csv,CAMP State Site rft pm10_all,Yes,0.703622295,5.561957614,-1.311741088
56,I-25 Denver State Site CAMP State Site rft pm10,I-25 Denver State Site.csv,CAMP State Site rft pm10,Yes,0.756613149,4.873444746,-2.024465089
57,I-25 Globeville State Site CAMP State Site rft pm10,I-25 Globeville State Site.csv,CAMP State Site rft pm10,Yes,0.823453054,4.679716997,-0.271675748
58,La Casa State Site CAMP State Site rft pm10,La Casa State Site.csv,CAMP State Site rft pm10,Yes,0.914797431,3.19501058,-1.154789594
59,National Jewish Health State Site CAMP State Site rft pm10,National Jewish Health State Site.csv,CAMP State Site rft pm10,Yes,0.899737457,3.244010114,-1.049804146
60,Swansea GRIMM CAMP State Site rft pm10,Swansea GRIMM.csv,CAMP State Site rft pm10,Yes,0.776238948,4.758462714,-0.598565912
61,I-25 Denver State Site CAMP State Site rft smoke,I-25 Denver State Site.csv,CAMP State Site rft smoke,Yes,0.716762279,5.142299069,-1.97751431
62,I-25 Globeville State Site CAMP State Site rft smoke,I-25 Globeville State Site.csv,CAMP State Site rft smoke,Yes,0.821598428,4.686097812,0.089541876
63,La Casa State Site CAMP State Site rft smoke,La Casa State Site.csv,CAMP State Site rft smoke,Yes,0.916520856,3.018038028,-0.739706411
64,National Jewish Health State Site CAMP State Site rft smoke,National Jewish Health State Site.csv,CAMP State Site rft smoke,Yes,0.879307956,3.440546314,-0.831026416
65,Swansea GRIMM CAMP State Site rft smoke,Swansea GRIMM.csv,CAMP State Site rft smoke,Yes,0.777593966,4.745291877,-0.561909896
66,CAMP State Site I-25 Denver State Site lm age,CAMP State Site.csv,I-25 Denver State Site lm age,Yes,0.685632933,5.67657054,2.244116991
67,I-25 Globeville State Site I-25 Denver State Site lm age,I-25 Globeville State Site.csv,I-25 Denver State Site lm age,Yes,0.833038798,5.039299576,2.088933194
68,La Casa State Site I-25 Denver State Site lm age,La Casa State Site.csv,I-25 Denver State Site lm age,Yes,0.929171464,2.915156691,0.87488106
69,National Jewish Health State Site I-25 Denver State Site lm age,National Jewish Health State Site.csv,I-25 Denver State Site lm age,Yes,0.931609277,2.800084098,0.873464023
70,Swansea GRIMM I-25 Denver State Site lm age,Swansea GRIMM.csv,I-25 Denver State Site lm age,Yes,0.820498421,4.443311021,0.994702118
71,CAMP State Site I-25 Denver State Site lm all,CAMP State Site.csv,I-25 Denver State Site lm all,Yes,0.687943136,5.649857301,2.205363067
72,I-25 Globeville State Site I-25 Denver State Site lm all,I-25 Globeville State Site.csv,I-25 Denver State Site lm all,Yes,0.830963753,5.051756724,2.072541897
73,La Casa State Site I-25 Denver State Site lm all,La Casa State Site.csv,I-25 Denver State Site lm all,Yes,0.934984076,2.808784894,0.838479321
74,National Jewish Health State Site I-25 Denver State Site lm all,National Jewish Health State Site.csv,I-25 Denver State Site lm all,Yes,0.935065242,2.740461104,0.854666135
75,Swansea GRIMM I-25 Denver State Site lm all,Swansea GRIMM.csv,I-25 Denver State Site lm all,Yes,0.822820787,4.420534141,0.990475294
76,CAMP State Site I-25 Denver State Site lm met,CAMP State Site.csv,I-25 Denver State Site lm met,Yes,0.705254878,5.734871169,2.675442368
77,I-25 Globeville State Site I-25 Denver State Site lm met,I-25 Globeville State Site.csv,I-25 Denver State Site lm met,Yes,0.837022009,5.145444216,2.414051646
78,La Casa State Site I-25 Denver State Site lm met,La Casa State Site.csv,I-25 Denver State Site lm met,Yes,0.927206392,3.085078845,1.277644909
79,National Jewish Health State Site I-25 Denver State Site lm met,National Jewish Health State Site.csv,I-25 Denver State Site lm met,Yes,0.931258277,2.934585237,1.207287107
80,Swansea GRIMM I-25 Denver State Site lm met,Swansea GRIMM.csv,I-25 Denver State Site lm met,Yes,0.813114398,4.664355944,1.534156878
81,CAMP State Site I-25 Denver State Site lm pm_raw,CAMP State Site.csv,I-25 Denver State Site lm pm_raw,Yes,0.68068056,5.641342364,2.076754376
82,I-25 Globeville State Site I-25 Denver State Site lm pm_raw,I-25 Globeville State Site.csv,I-25 Denver State Site lm pm_raw,Yes,0.835577819,4.752700179,1.322062784
83,La Casa State Site I-25 Denver State Site lm pm_raw,La Casa State Site.csv,I-25 Denver State Site lm pm_raw,Yes,0.920725309,2.920859411,0.125201762
84,National Jewish Health State Site I-25 Denver State Site lm pm_raw,National Jewish Health State Site.csv,I-25 Denver State Site lm pm_raw,Yes,0.922491018,2.841906851,0.508288374
85,Swansea GRIMM I-25 Denver State Site lm pm_raw,Swansea GRIMM.csv,I-25 Denver State Site lm pm_raw,Yes,0.804958777,4.566787517,0.889919601
86,CAMP State Site I-25 Denver State Site lm pm10_all,CAMP State Site.csv,I-25 Denver State Site lm pm10_all,Yes,0.67853963,5.775107218,2.352046961
87,I-25 Globeville State Site I-25 Denver State Site lm pm10_all,I-25 Globeville State Site.csv,I-25 Denver State Site lm pm10_all,Yes,0.834217896,4.947655889,1.915850257
88,La Casa State Site I-25 Denver State Site lm pm10_all,La Casa State Site.csv,I-25 Denver State Site lm pm10_all,Yes,0.935992609,2.726898656,0.636185325
89,National Jewish Health State Site I-25 Denver State Site lm pm10_all,National Jewish Health State Site.csv,I-25 Denver State Site lm pm10_all,Yes,0.935193296,2.690488925,0.737250661
90,Swansea GRIMM I-25 Denver State Site lm pm10_all,Swansea GRIMM.csv,I-25 Denver State Site lm pm10_all,Yes,0.82635262,4.376952385,0.986776718
91,CAMP State Site I-25 Denver State Site lm pm10,CAMP State Site.csv,I-25 Denver State Site lm pm10,Yes,0.692898925,5.873061151,2.803431303
92,I-25 Globeville State Site I-25 Denver State Site lm pm10,I-25 Globeville State Site.csv,I-25 Denver State Site lm pm10,Yes,0.839770249,5.006246542,2.193126871
93,La Casa State Site I-25 Denver State Site lm pm10,La Casa State Site.csv,I-25 Denver State Site lm pm10,Yes,0.929416797,2.934680727,0.994513778
94,National Jewish Health State Site I-25 Denver State Site lm pm10,National Jewish Health State Site.csv,I-25 Denver State Site lm pm10,Yes,0.932062824,2.840306149,1.031821449
95,Swansea GRIMM I-25 Denver State Site lm pm10,Swansea GRIMM.csv,I-25 Denver State Site lm pm10,Yes,0.819729241,4.578099795,1.477117364
96,CAMP State Site I-25 Denver State Site lm smoke,CAMP State Site.csv,I-25 Denver State Site lm smoke,Yes,0.70656089,5.701385192,2.621023845
97,I-25 Globeville State Site I-25 Denver State Site lm smoke,I-25 Globeville State Site.csv,I-25 Denver State Site lm smoke,Yes,0.835077127,5.150064601,2.386287686
98,La Casa State Site I-25 Denver State Site lm smoke,La Casa State Site.csv,I-25 Denver State Site lm smoke,Yes,0.933669618,2.964497327,1.226608592
99,National Jewish Health State Site I-25 Denver State Site lm smoke,National Jewish Health State Site.csv,I-25 Denver State Site lm smoke,Yes,0.935208875,2.864221336,1.176745334
100,Swansea GRIMM I-25 Denver State Site lm smoke,Swansea GRIMM.csv,I-25 Denver State Site lm smoke,Yes,0.815895907,4.632298393,1.511838917
101,CAMP State Site I-25 Denver State Site rft age,CAMP State Site.csv,I-25 Denver State Site rft age,Yes,0.668302511,5.830286832,2.366034973
102,I-25 Globeville State Site I-25 Denver State Site rft age,I-25 Globeville State Site.csv,I-25 Denver State Site rft age,Yes,0.820769218,5.240944536,1.950729504
103,La Casa State Site I-25 Denver State Site rft age,La Casa State Site.csv,I-25 Denver State Site rft age,Yes,0.929509659,3.280617326,1.071875232
104,National Jewish Health State Site I-25 Denver State Site rft age,National Jewish Health State Site.csv,I-25 Denver State Site rft age,Yes,0.912474937,3.188798999,0.942749034
105,Swansea GRIMM I-25 Denver State Site rft age,Swansea GRIMM.csv,I-25 Denver State Site rft age,Yes,0.816112418,4.690184149,1.380668821
106,CAMP State Site I-25 Denver State Site rft all,CAMP State Site.csv,I-25 Denver State Site rft all,Yes,0.665385625,5.783958483,2.195482039
107,I-25 Globeville State Site I-25 Denver State Site rft all,I-25 Globeville State Site.csv,I-25 Denver State Site rft all,Yes,0.80782119,5.249627862,1.740317618
108,La Casa State Site I-25 Denver State Site rft all,La Casa State Site.csv,I-25 Denver State Site rft all,Yes,0.903234901,3.490201873,0.853828306
109,National Jewish Health State Site I-25 Denver State Site rft all,National Jewish Health State Site.csv,I-25 Denver State Site rft all,Yes,0.89267698,3.313929819,0.745189048
110,Swansea GRIMM I-25 Denver State Site rft all,Swansea GRIMM.csv,I-25 Denver State Site rft all,Yes,0.809057508,4.631668058,1.154309206
111,CAMP State Site I-25 Denver State Site rft met,CAMP State Site.csv,I-25 Denver State Site rft met,Yes,0.661534129,6.053086337,2.745936874
112,I-25 Globeville State Site I-25 Denver State Site rft met,I-25 Globeville State Site.csv,I-25 Denver State Site rft met,Yes,0.807571083,5.462900519,2.337829656
113,La Casa State Site I-25 Denver State Site rft met,La Casa State Site.csv,I-25 Denver State Site rft met,Yes,0.928339721,3.265822514,1.327119578
114,National Jewish Health State Site I-25 Denver State Site rft met,National Jewish Health State Site.csv,I-25 Denver State Site rft met,Yes,0.92387497,3.160986103,1.293990984
115,Swansea GRIMM I-25 Denver State Site rft met,Swansea GRIMM.csv,I-25 Denver State Site rft met,Yes,0.794841424,4.850078009,1.542051892
116,CAMP State Site I-25 Denver State Site rft pm10_all,CAMP State Site.csv,I-25 Denver State Site rft pm10_all,Yes,0.678056913,5.70493291,2.107302929
117,I-25 Globeville State Site I-25 Denver State Site rft pm10_all,I-25 Globeville State Site.csv,I-25 Denver State Site rft pm10_all,Yes,0.831974889,4.882761463,1.614665664
118,La Casa State Site I-25 Denver State Site rft pm10_all,La Casa State Site.csv,I-25 Denver State Site rft pm10_all,Yes,0.920945029,3.035258306,0.684885044
119,National Jewish Health State Site I-25 Denver State Site rft pm10_all,National Jewish Health State Site.csv,I-25 Denver State Site rft pm10_all,Yes,0.92233377,2.875942227,0.759160495
120,Swansea GRIMM I-25 Denver State Site rft pm10_all,Swansea GRIMM.csv,I-25 Denver State Site rft pm10_all,Yes,0.816421879,4.469868326,0.964039494
121,CAMP State Site I-25 Denver State Site rft pm10,CAMP State Site.csv,I-25 Denver State Site rft pm10,Yes,0.675564157,5.801406223,2.378534674
122,I-25 Globeville State Site I-25 Denver State Site rft pm10,I-25 Globeville State Site.csv,I-25 Denver State Site rft pm10,Yes,0.830761675,5.168321711,2.152027071
123,La Casa State Site I-25 Denver State Site rft pm10,La Casa State Site.csv,I-25 Denver State Site rft pm10,Yes,0.938901457,3.037043576,1.210160344
124,National Jewish Health State Site I-25 Denver State Site rft pm10,National Jewish Health State Site.csv,I-25 Denver State Site rft pm10,Yes,0.938718943,2.948489059,1.25012187
125,Swansea GRIMM I-25 Denver State Site rft pm10,Swansea GRIMM.csv,I-25 Denver State Site rft pm10,Yes,0.801300162,4.750972545,1.416121943
126,CAMP State Site I-25 Denver State Site rft smoke,CAMP State Site.csv,I-25 Denver State Site rft smoke,Yes,0.669792436,5.939000079,2.623130668
127,I-25 Globeville State Site I-25 Denver State Site rft smoke,I-25 Globeville State Site.csv,I-25 Denver State Site rft smoke,Yes,0.80357042,5.570787501,2.423551499
128,La Casa State Site I-25 Denver State Site rft smoke,La Casa State Site.csv,I-25 Denver State Site rft smoke,Yes,0.929549256,3.303096999,1.38622964
129,National Jewish Health State Site I-25 Denver State Site rft smoke,National Jewish Health State Site.csv,I-25 Denver State Site rft smoke,Yes,0.925044794,3.173456336,1.317839197
130,Swansea GRIMM I-25 Denver State Site rft smoke,Swansea GRIMM.csv,I-25 Denver State Site rft smoke,Yes,0.796015258,4.87142759,1.58546228
131,CAMP State Site I-25 Globeville State Site lm age,CAMP State Site.csv,I-25 Globeville State Site lm age,Yes,0.701075401,5.182672253,0.753583083
132,I-25 Denver State Site I-25 Globeville State Site lm age,I-25 Denver State Site.csv,I-25 Globeville State Site lm age,Yes,0.808818043,4.417496946,-2.018892841
133,La Casa State Site I-25 Globeville State Site lm age,La Casa State Site.csv,I-25 Globeville State Site lm age,Yes,0.924477614,2.998717276,-1.118123149
134,National Jewish Health State Site I-25 Globeville State Site lm age,National Jewish Health State Site.csv,I-25 Globeville State Site lm age,Yes,0.927627356,2.774939611,-0.941284915
135,Swansea GRIMM I-25 Globeville State Site lm age,Swansea GRIMM.csv,I-25 Globeville State Site lm age,Yes,0.807135837,4.446203116,-0.526269443
136,CAMP State Site I-25 Globeville State Site lm all,CAMP State Site.csv,I-25 Globeville State Site lm all,Yes,0.700716996,5.185128274,0.754495852
137,I-25 Denver State Site I-25 Globeville State Site lm all,I-25 Denver State Site.csv,I-25 Globeville State Site lm all,Yes,0.80856881,4.419396345,-2.01839634
138,La Casa State Site I-25 Globeville State Site lm all,La Casa State Site.csv,I-25 Globeville State Site lm all,Yes,0.923972269,3.006583191,-1.116921672
139,National Jewish Health State Site I-25 Globeville State Site lm all,National Jewish Health State Site.csv,I-25 Globeville State Site lm all,Yes,0.927279079,2.780378138,-0.941097156
140,Swansea GRIMM I-25 Globeville State Site lm all,Swansea GRIMM.csv,I-25 Globeville State Site lm all,Yes,0.806942833,4.448374889,-0.528224949
141,CAMP State Site I-25 Globeville State Site lm met,CAMP State Site.csv,I-25 Globeville State Site lm met,Yes,0.695252925,5.2247103,0.701896117
142,I-25 Denver State Site I-25 Globeville State Site lm met,I-25 Denver State Site.csv,I-25 Globeville State Site lm met,Yes,0.810552179,4.362376509,-1.93107813
143,La Casa State Site I-25 Globeville State Site lm met,La Casa State Site.csv,I-25 Globeville State Site lm met,Yes,0.926580193,2.976605988,-1.151606914
144,National Jewish Health State Site I-25 Globeville State Site lm met,National Jewish Health State Site.csv,I-25 Globeville State Site lm met,Yes,0.928935532,2.761767063,-0.962840498
145,Swansea GRIMM I-25 Globeville State Site lm met,Swansea GRIMM.csv,I-25 Globeville State Site lm met,Yes,0.811492792,4.415769696,-0.630236627
146,CAMP State Site I-25 Globeville State Site lm pm_raw,CAMP State Site.csv,I-25 Globeville State Site lm pm_raw,Yes,0.68068056,5.38432985,0.981930978
147,I-25 Denver State Site I-25 Globeville State Site lm pm_raw,I-25 Denver State Site.csv,I-25 Globeville State Site lm pm_raw,Yes,0.807309081,4.132076223,-1.245914948
148,La Casa State Site I-25 Globeville State Site lm pm_raw,La Casa State Site.csv,I-25 Globeville State Site lm pm_raw,Yes,0.920725309,3.078212996,-1.16834262
149,National Jewish Health State Site I-25 Globeville State Site lm pm_raw,National Jewish Health State Site.csv,I-25 Globeville State Site lm pm_raw,Yes,0.922491018,2.785396441,-0.706369092
150,Swansea GRIMM I-25 Globeville State Site lm pm_raw,Swansea GRIMM.csv,I-25 Globeville State Site lm pm_raw,Yes,0.804958777,4.449897846,-0.339090119
151,CAMP State Site I-25 Globeville State Site lm pm10_all,CAMP State Site.csv,I-25 Globeville State Site lm pm10_all,Yes,0.678425838,5.482654681,1.354067755
152,I-25 Denver State Site I-25 Globeville State Site lm pm10_all,I-25 Denver State Site.csv,I-25 Globeville State Site lm pm10_all,Yes,0.809529079,4.311648561,-1.783213871
153,La Casa State Site I-25 Globeville State Site lm pm10_all,La Casa State Site.csv,I-25 Globeville State Site lm pm10_all,Yes,0.92454014,3.036786959,-1.21876487
154,National Jewish Health State Site I-25 Globeville State Site lm pm10_all,National Jewish Health State Site.csv,I-25 Globeville State Site lm pm10_all,Yes,0.9260462,2.800621594,-0.9461254
155,Swansea GRIMM I-25 Globeville State Site lm pm10_all,Swansea GRIMM.csv,I-25 Globeville State Site lm pm10_all,Yes,0.817443652,4.319008979,-0.306156509
156,CAMP State Site I-25 Globeville State Site lm pm10,CAMP State Site.csv,I-25 Globeville State Site lm pm10,Yes,0.671564247,5.532812614,1.316128933
157,I-25 Denver State Site I-25 Globeville State Site lm pm10,I-25 Denver State Site.csv,I-25 Globeville State Site lm pm10,Yes,0.811160008,4.25788893,-1.686749438
158,La Casa State Site I-25 Globeville State Site lm pm10,La Casa State Site.csv,I-25 Globeville State Site lm pm10,Yes,0.926381919,3.02107585,-1.254299584
159,National Jewish Health State Site I-25 Globeville State Site lm pm10,National Jewish Health State Site.csv,I-25 Globeville State Site lm pm10,Yes,0.927105914,2.790642947,-0.966078686
160,Swansea GRIMM I-25 Globeville State Site lm pm10,Swansea GRIMM.csv,I-25 Globeville State Site lm pm10,Yes,0.820889252,4.290661352,-0.40290706
161,CAMP State Site I-25 Globeville State Site lm smoke,CAMP State Site.csv,I-25 Globeville State Site lm smoke,Yes,0.694775979,5.227797941,0.705353082
162,I-25 Denver State Site I-25 Globeville State Site lm smoke,I-25 Denver State Site.csv,I-25 Globeville State Site lm smoke,Yes,0.810025061,4.36793426,-1.933247408
163,La Casa State Site I-25 Globeville State Site lm smoke,La Casa State Site.csv,I-25 Globeville State Site lm smoke,Yes,0.925585908,2.991744311,-1.148263485
164,National Jewish Health State Site I-25 Globeville State Site lm smoke,National Jewish Health State Site.csv,I-25 Globeville State Site lm smoke,Yes,0.928253822,2.772190533,-0.96174781
165,Swansea GRIMM I-25 Globeville State Site lm smoke,Swansea GRIMM.csv,I-25 Globeville State Site lm smoke,Yes,0.810972945,4.421011199,-0.6301428
166,CAMP State Site I-25 Globeville State Site rft age,CAMP State Site.csv,I-25 Globeville State Site rft age,Yes,0.692602495,5.319864069,0.77287579
167,I-25 Denver State Site I-25 Globeville State Site rft age,I-25 Denver State Site.csv,I-25 Globeville State Site rft age,Yes,0.806074483,4.825901644,-2.347561576
168,La Casa State Site I-25 Globeville State Site rft age,La Casa State Site.csv,I-25 Globeville State Site rft age,Yes,0.891663987,3.382854918,-0.717265669
169,National Jewish Health State Site I-25 Globeville State Site rft age,National Jewish Health State Site.csv,I-25 Globeville State Site rft age,Yes,0.88617269,3.343938636,-0.752332377
170,Swansea GRIMM I-25 Globeville State Site rft age,Swansea GRIMM.csv,I-25 Globeville State Site rft age,Yes,0.810603219,4.435638575,-0.5383921
171,CAMP State Site I-25 Globeville State Site rft all,CAMP State Site.csv,I-25 Globeville State Site rft all,Yes,0.688462202,5.312715149,0.825767807
172,I-25 Denver State Site I-25 Globeville State Site rft all,I-25 Denver State Site.csv,I-25 Globeville State Site rft all,Yes,0.79440882,4.767286063,-2.188805436
173,La Casa State Site I-25 Globeville State Site rft all,La Casa State Site.csv,I-25 Globeville State Site rft all,Yes,0.880822975,3.517529024,-0.653358687
174,National Jewish Health State Site I-25 Globeville State Site rft all,National Jewish Health State Site.csv,I-25 Globeville State Site rft all,Yes,0.87858226,3.41458713,-0.703890954
175,Swansea GRIMM I-25 Globeville State Site rft all,Swansea GRIMM.csv,I-25 Globeville State Site rft all,Yes,0.812451505,4.401988315,-0.50910056
176,CAMP State Site I-25 Globeville State Site rft met,CAMP State Site.csv,I-25 Globeville State Site rft met,Yes,0.663447777,5.70084982,1.226877462
177,I-25 Denver State Site I-25 Globeville State Site rft met,I-25 Denver State Site.csv,I-25 Globeville State Site rft met,Yes,0.809811363,4.7422194,-2.16815364
178,La Casa State Site I-25 Globeville State Site rft met,La Casa State Site.csv,I-25 Globeville State Site rft met,Yes,0.911157738,3.182750611,-0.943677394
179,National Jewish Health State Site I-25 Globeville State Site rft met,National Jewish Health State Site.csv,I-25 Globeville State Site rft met,Yes,0.907326881,3.101722199,-0.802458432
180,Swansea GRIMM I-25 Globeville State Site rft met,Swansea GRIMM.csv,I-25 Globeville State Site rft met,Yes,0.812126779,4.447292314,-0.597111415
181,CAMP State Site I-25 Globeville State Site rft pm10_all,CAMP State Site.csv,I-25 Globeville State Site rft pm10_all,Yes,0.717419895,5.149943087,0.907084344
182,I-25 Denver State Site I-25 Globeville State Site rft pm10_all,I-25 Denver State Site.csv,I-25 Globeville State Site rft pm10_all,Yes,0.82685242,4.381891815,-1.93282717
183,La Casa State Site I-25 Globeville State Site rft pm10_all,La Casa State Site.csv,I-25 Globeville State Site rft pm10_all,Yes,0.912652144,3.084314105,-0.764374426
