InstrumentName, I-25 Globeville,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,NO2,PM2.5
09/12/2022 20:00:00.000000,,6.5
09/12/2022 21:00:00.000000,10.0,5.4
09/12/2022 22:00:00.000000,17.0,6.4
09/12/2022 23:00:00.000000,12.0,6.6
09/13/2022 00:00:00.000000,11.0,5.9
09/13/2022 01:00:00.000000,28.0,7.8
09/13/2022 02:00:00.000000,,12.1
09/13/2022 03:00:00.000000,50.0,12.7
09/13/2022 04:00:00.000000,,14.7
09/13/2022 05:00:00.000000,46.0,15.2
09/13/2022 06:00:00.000000,39.0,13.4
09/13/2022 07:00:00.000000,,13.7
09/13/2022 09:00:00.000000,30.0,10.5
09/13/2022 10:00:00.000000,28.0,10.7
09/13/2022 11:00:00.000000,36.0,11.7
09/13/2022 12:00:00.000000,38.0,11.5
09/13/2022 13:00:00.000000,43.0,14.4
09/13/2022 14:00:00.000000,39.0,16.2
09/13/2022 15:00:00.000000,41.0,12.8
09/13/2022 16:00:00.000000,37.0,12.3
09/13/2022 17:00:00.000000,21.0,9.4
09/13/2022 18:00:00.000000,17.0,8.7
09/13/2022 19:00:00.000000,14.0,8.3
09/13/2022 20:00:00.000000,6.0,4.9
09/13/2022 21:00:00.000000,7.0,4.2
09/13/2022 22:00:00.000000,8.0,4.0
09/13/2022 23:00:00.000000,9.0,4.5
09/14/2022 00:00:00.000000,9.0,3.8
09/14/2022 01:00:00.000000,10.0,4.1
09/14/2022 02:00:00.000000,22.0,5.4
09/14/2022 03:00:00.000000,12.0,4.4
09/14/2022 04:00:00.000000,,5.5
09/14/2022 05:00:00.000000,33.0,6.9
09/14/2022 06:00:00.000000,26.0,7.0
09/14/2022 07:00:00.000000,,6.3
09/14/2022 09:00:00.000000,25.0,7.6
09/14/2022 10:00:00.000000,33.0,9.6
09/14/2022 11:00:00.000000,31.0,11.6
09/14/2022 12:00:00.000000,40.0,12.8
09/14/2022 13:00:00.000000,38.0,14.3
09/14/2022 14:00:00.000000,39.0,13.5
09/14/2022 15:00:00.000000,32.0,10.4
09/14/2022 16:00:00.000000,19.0,8.6
09/14/2022 17:00:00.000000,26.0,8.6
09/14/2022 18:00:00.000000,26.0,7.7
09/14/2022 19:00:00.000000,27.0,8.8
09/14/2022 20:00:00.000000,16.0,6.4
09/14/2022 21:00:00.000000,25.0,6.4
09/14/2022 22:00:00.000000,16.0,6.0
09/14/2022 23:00:00.000000,18.0,3.4
09/15/2022 00:00:00.000000,29.0,4.3
09/15/2022 01:00:00.000000,27.0,5.8
09/15/2022 02:00:00.000000,22.0,9.1
09/15/2022 03:00:00.000000,21.0,3.2
09/15/2022 04:00:00.000000,,3.4
09/15/2022 05:00:00.000000,20.0,3.7
09/15/2022 06:00:00.000000,21.0,3.4
09/15/2022 07:00:00.000000,,3.6
09/15/2022 09:00:00.000000,22.0,5.6
