InstrumentName, APCD B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 05:25:42.903333,0.17,26.0,74.0
09/01/2018 05:27:02.983333,0.07,26.0,74.0
09/01/2018 05:29:43.556666,1.15,26.0,74.0
09/01/2018 05:31:03.330000,0.65,26.0,74.0
09/01/2018 05:33:42.853333,0.83,27.0,72.0
09/01/2018 05:35:03.226666,1.38,28.0,72.0
09/01/2018 05:37:42.846666,1.0,28.0,72.0
09/01/2018 05:39:03.366666,0.69,28.0,72.0
09/01/2018 05:41:43.510000,1.46,28.0,72.0
09/01/2018 05:43:02.886666,1.0,28.0,72.0
09/01/2018 05:45:43.426666,0.71,29.0,71.0
09/01/2018 05:47:02.890000,0.14,29.0,71.0
09/01/2018 05:49:43.126666,0.9,30.0,70.0
09/01/2018 05:51:03.260000,0.83,30.0,70.0
09/01/2018 05:53:42.990000,0.62,31.0,70.0
09/01/2018 05:55:03.630000,1.02,31.0,69.0
09/01/2018 05:57:43.046666,0.6,31.0,69.0
09/01/2018 05:59:03.323333,0.28,31.0,69.0
09/01/2018 06:01:43.250000,0.98,31.0,69.0
09/01/2018 06:03:02.936666,0.73,31.0,70.0
09/01/2018 06:05:43.220000,0.86,31.0,70.0
09/01/2018 06:07:03.026666,1.0,31.0,70.0
09/01/2018 06:09:42.856666,1.8,31.0,69.0
09/01/2018 06:11:03.340000,0.63,30.0,70.0
09/01/2018 06:13:43.096666,1.65,30.0,69.0
09/01/2018 06:15:02.953333,1.44,31.0,69.0
09/01/2018 06:17:42.936666,0.95,31.0,69.0
09/01/2018 06:19:02.966666,1.46,31.0,69.0
09/01/2018 06:21:42.836666,2.0,32.0,69.0
09/01/2018 06:23:03.296666,1.85,32.0,69.0
09/01/2018 06:25:42.856666,1.8,33.0,69.0
09/01/2018 06:27:03.173333,2.35,33.0,69.0
09/01/2018 06:29:42.876666,1.88,34.0,69.0
09/01/2018 06:31:03.330000,1.65,35.0,69.0
09/01/2018 06:33:43.180000,2.15,35.0,69.0
09/01/2018 06:35:02.866666,2.3,35.0,69.0
09/01/2018 06:37:42.940000,3.02,35.0,69.0
09/01/2018 06:39:02.933333,4.29,35.0,69.0
09/01/2018 06:41:42.860000,3.0,36.0,68.0
09/01/2018 06:43:03.023333,3.4,36.0,68.0
09/01/2018 06:45:43.126666,2.74,37.0,68.0
09/01/2018 06:47:03.003333,3.34,37.0,68.0
09/01/2018 06:49:42.903333,2.86,38.0,68.0
09/01/2018 06:51:03.033333,2.93,38.0,68.0
09/01/2018 06:53:42.976666,2.76,38.0,68.0
09/01/2018 06:55:03.436666,3.4,38.0,68.0
09/01/2018 06:57:43.063333,1.59,39.0,68.0
09/01/2018 06:59:03.076666,2.95,39.0,68.0
09/01/2018 07:01:42.993333,2.9,39.0,67.0
09/01/2018 07:03:03.253333,3.36,40.0,67.0
09/01/2018 07:05:43.386666,3.0,40.0,67.0
09/01/2018 07:07:03.206666,2.78,41.0,67.0
09/01/2018 07:09:43.090000,3.34,41.0,67.0
09/01/2018 07:11:03.146666,2.93,41.0,66.0
09/01/2018 07:13:43.140000,3.03,42.0,66.0
09/01/2018 07:15:03.203333,2.93,42.0,66.0
09/01/2018 07:17:43.220000,3.05,42.0,67.0
09/01/2018 07:19:03.426666,2.46,42.0,66.0
09/01/2018 07:21:43.073333,2.44,41.0,66.0
09/01/2018 07:23:02.896666,2.62,41.0,67.0
09/01/2018 07:25:43.133333,2.18,41.0,67.0
09/01/2018 07:27:03.033333,2.27,40.0,67.0
09/01/2018 07:29:42.973333,2.03,40.0,67.0
09/01/2018 07:31:02.946666,2.4,40.0,67.0
09/01/2018 07:33:43.426666,2.07,40.0,67.0
09/01/2018 07:35:02.983333,1.93,40.0,67.0
09/01/2018 07:37:43.136666,2.03,40.0,67.0
09/01/2018 07:39:03.046666,1.87,39.0,67.0
09/01/2018 07:41:43.123333,1.05,39.0,66.0
09/01/2018 07:43:02.930000,1.15,39.0,66.0
09/01/2018 07:45:42.976666,1.98,39.0,66.0
09/01/2018 07:47:03.310000,1.79,39.0,66.0
09/01/2018 07:49:44.750000,1.39,38.0,67.0
09/01/2018 07:51:02.990000,1.25,38.0,67.0
09/01/2018 07:53:43.096666,1.95,37.0,67.0
09/01/2018 07:55:03.296666,1.17,37.0,67.0
09/01/2018 07:57:42.980000,1.05,37.0,67.0
09/01/2018 07:59:03.196666,1.64,37.0,67.0
09/01/2018 08:01:43.000000,1.19,37.0,67.0
09/01/2018 08:03:03.326666,1.38,37.0,67.0
09/01/2018 08:05:43.076666,2.07,37.0,67.0
09/01/2018 08:07:03.000000,1.0,37.0,68.0
