InstrumentName, Woods Park B
StartTime, 2021-07-01 00:00:00
EndTime, 2021-07-31 00:00:00
Date,PM1.0,PM10.0,PM2.5
07/01/2021 06:11:01,7.21,10.37,10.09
07/01/2021 06:13:01,7.72,10.19,9.93
07/01/2021 06:15:01,7.62,11.16,10.4
07/01/2021 06:17:01,7.85,10.25,9.75
07/01/2021 06:21:01,7.57,10.23,9.88
07/01/2021 06:23:01,7.88,10.76,10.41
07/01/2021 06:27:01,6.86,9.6,9.42
07/01/2021 06:29:02,7.95,10.8,10.16
07/01/2021 06:31:02,7.56,10.49,10.0
07/01/2021 06:33:02,7.61,10.34,10.02
07/01/2021 06:35:02,7.42,9.65,9.58
07/01/2021 06:37:02,7.36,10.15,9.47
07/01/2021 06:43:02,8.11,11.26,10.54
07/01/2021 06:45:02,7.52,10.5,10.0
07/01/2021 06:47:02,7.5,10.25,9.85
07/01/2021 06:49:02,7.62,10.41,10.12
07/01/2021 06:51:02,7.21,10.09,9.61
07/01/2021 06:53:02,6.83,9.51,9.12
07/01/2021 06:55:02,6.77,9.58,9.07
07/01/2021 06:57:02,6.47,9.05,8.66
07/01/2021 07:01:02,7.12,8.93,8.66
07/01/2021 07:03:02,7.28,10.25,9.58
07/01/2021 07:05:02,6.78,9.59,8.91
07/01/2021 07:07:02,7.45,10.2,9.86
07/01/2021 07:09:02,7.21,9.81,9.41
07/01/2021 07:11:02,6.86,9.9,9.52
07/01/2021 07:13:02,6.43,9.22,8.69
07/01/2021 07:15:02,6.66,9.29,8.88
07/01/2021 07:17:02,6.71,9.18,9.02
07/01/2021 07:19:02,7.12,10.0,9.69
07/01/2021 07:21:02,6.76,9.34,8.64
07/01/2021 07:23:02,6.07,8.96,8.32
07/01/2021 07:25:02,6.34,8.89,8.73
07/01/2021 07:27:02,6.59,9.69,8.92
07/01/2021 07:29:02,6.24,8.57,8.46
07/01/2021 07:31:02,6.86,9.14,8.83
07/01/2021 07:33:02,6.73,9.25,8.75
07/01/2021 07:35:02,6.81,9.29,8.76
07/01/2021 07:37:02,6.05,9.18,8.82
07/01/2021 07:39:02,6.3,8.54,8.28
07/01/2021 07:41:02,6.76,10.05,9.36
07/01/2021 07:43:02,6.66,9.19,8.83
07/01/2021 07:45:02,6.38,9.07,8.76
07/01/2021 07:47:02,6.32,9.44,8.81
07/01/2021 07:49:02,6.48,8.24,8.16
07/01/2021 07:51:03,6.47,9.39,8.69
07/01/2021 07:53:02,6.42,7.91,7.58
07/01/2021 07:55:02,6.53,8.78,8.51
07/01/2021 07:57:02,6.54,9.22,8.81
07/01/2021 07:59:02,6.16,9.41,8.52
07/01/2021 08:01:02,6.55,8.95,8.47
07/01/2021 08:03:02,6.91,8.95,8.79
07/01/2021 08:05:02,6.34,8.14,8.02
07/01/2021 08:07:02,6.63,9.34,8.63
07/01/2021 08:09:02,6.26,9.07,8.4
07/01/2021 08:11:02,6.29,9.27,8.91
07/01/2021 08:13:02,6.93,10.43,9.57
07/01/2021 08:15:02,6.37,9.17,8.85
07/01/2021 08:17:02,6.03,8.29,7.78
07/01/2021 08:19:02,6.37,9.3,8.7
07/01/2021 08:21:02,6.83,9.07,9.0
07/01/2021 08:23:02,6.85,9.1,8.58
07/01/2021 08:25:02,6.05,8.93,8.18
07/01/2021 08:27:03,6.34,8.26,8.09
07/01/2021 08:29:03,6.75,8.82,8.58
07/01/2021 08:31:03,6.45,8.76,8.59
07/01/2021 08:33:03,6.2,8.56,8.0
07/01/2021 08:35:03,6.42,8.68,8.3
07/01/2021 08:37:03,6.9,9.95,9.39
07/01/2021 08:39:03,6.44,9.0,8.75
07/01/2021 08:41:03,6.31,8.67,8.47
07/01/2021 08:43:03,6.54,9.16,8.56
07/01/2021 08:45:03,6.07,8.69,8.15
07/01/2021 08:47:03,6.19,8.6,8.29
07/01/2021 08:49:03,5.95,8.56,8.04
07/01/2021 08:51:03,6.25,9.27,8.98
07/01/2021 08:53:03,6.26,8.59,8.28
07/01/2021 08:55:03,6.59,9.12,9.12
07/01/2021 08:57:03,6.26,8.31,8.31
07/01/2021 08:59:03,5.36,7.84,7.49
07/01/2021 09:01:03,6.47,9.22,8.84
07/01/2021 09:03:03,5.73,9.14,7.95
07/01/2021 09:05:03,6.36,9.17,8.45
07/01/2021 09:07:03,6.05,8.56,7.87
07/01/2021 09:09:03,5.8,8.17,7.66
07/01/2021 09:11:03,6.21,8.55,8.52
07/01/2021 09:13:03,6.33,8.88,8.3
07/01/2021 09:15:03,6.34,8.73,8.38
07/01/2021 09:17:03,5.88,9.07,8.5
07/01/2021 09:19:03,6.49,9.07,8.69
07/01/2021 09:21:03,6.56,9.07,8.85
07/01/2021 09:23:03,5.96,8.39,8.12
07/01/2021 09:25:03,5.88,8.14,7.75
07/01/2021 09:27:03,6.6,9.03,8.81
07/01/2021 09:29:03,6.38,9.25,8.47
07/01/2021 09:31:03,6.5,8.88,8.5
