InstrumentName, Welby
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,NO2,O3,PM10,SO2
01/07/2021 19:00:00,31.0,11.0,61.6,2.0
01/07/2021 20:00:00,40.0,8.0,78.7,1.0
01/07/2021 21:00:00,36.0,6.0,52.4,1.0
01/07/2021 22:00:00,29.0,7.0,33.6,0.0
01/07/2021 23:00:00,30.0,6.0,41.6,0.0
01/08/2021 00:00:00,36.0,0.0,45.9,0.0
01/08/2021 01:00:00,35.0,1.0,36.1,0.0
01/08/2021 02:00:00,34.0,0.0,37.4,0.0
01/08/2021 03:00:00,34.0,0.0,32.7,0.0
01/08/2021 04:00:00,,1.0,36.7,0.0
01/08/2021 05:00:00,36.0,1.0,38.6,0.0
01/08/2021 06:00:00,36.0,1.0,37.0,0.0
01/08/2021 07:00:00,33.0,0.0,33.3,0.0
01/08/2021 08:00:00,33.0,0.0,25.9,0.0
01/08/2021 09:00:00,33.0,0.0,21.9,0.0
01/08/2021 10:00:00,37.0,1.0,23.0,1.0
01/08/2021 11:00:00,38.0,1.0,18.1,1.0
01/08/2021 12:00:00,35.0,1.0,22.0,1.0
01/08/2021 13:00:00,36.0,1.0,39.7,1.0
01/08/2021 14:00:00,44.0,1.0,48.9,3.0
01/08/2021 15:00:00,44.0,2.0,69.4,2.0
01/08/2021 16:00:00,38.0,8.0,52.0,1.0
01/08/2021 17:00:00,27.0,18.0,41.2,1.0
01/08/2021 18:00:00,13.0,30.0,13.7,0.0
01/08/2021 19:00:00,8.0,37.0,12.5,0.0
01/08/2021 20:00:00,6.0,40.0,13.4,0.0
01/08/2021 21:00:00,5.0,41.0,10.9,0.0
01/08/2021 22:00:00,5.0,40.0,8.0,0.0
01/08/2021 23:00:00,9.0,32.0,16.9,0.0
01/09/2021 00:00:00,17.0,21.0,22.9,0.0
01/09/2021 01:00:00,24.0,11.0,37.9,0.0
01/09/2021 02:00:00,37.0,1.0,48.9,0.0
01/09/2021 03:00:00,35.0,1.0,41.8,0.0
01/09/2021 04:00:00,,1.0,46.7,1.0
01/09/2021 05:00:00,,1.0,44.1,1.0
01/09/2021 06:00:00,,1.0,28.8,1.0
01/09/2021 07:00:00,,1.0,12.8,1.0
01/09/2021 08:00:00,,1.0,11.5,1.0
01/09/2021 09:00:00,,,17.4,1.0
01/09/2021 10:00:00,,,24.0,1.0
01/09/2021 11:00:00,,,8.6,1.0
01/09/2021 12:00:00,,,9.2,1.0
01/09/2021 13:00:00,,,8.3,1.0
01/09/2021 14:00:00,,,8.0,1.0
01/09/2021 15:00:00,,,10.2,1.0
01/09/2021 16:00:00,,,14.8,1.0
01/09/2021 17:00:00,,,11.7,1.0
01/09/2021 18:00:00,,,11.1,1.0
01/09/2021 19:00:00,,,9.2,1.0
01/09/2021 20:00:00,,,10.5,1.0
01/09/2021 21:00:00,,,16.4,1.0
01/09/2021 22:00:00,,,17.5,1.0
01/09/2021 23:00:00,,,15.7,1.0
01/10/2021 00:00:00,,,14.3,1.0
01/10/2021 01:00:00,,,12.1,1.0
01/10/2021 02:00:00,,,7.8,1.0
01/10/2021 03:00:00,,,2.5,1.0
01/10/2021 04:00:00,,,4.4,1.0
01/10/2021 05:00:00,,,3.9,1.0
01/10/2021 06:00:00,,,3.8,1.0
01/10/2021 07:00:00,,,5.0,1.0
01/10/2021 08:00:00,,,4.9,1.0
