InstrumentName, Woods Park
StartTime, 2021-09-01 00:00:00
EndTime, 2021-10-01 00:00:00
Date,PM1.0,PM10.0,PM2.5
09/01/2021 20:03:10,5.21,6.64,6.41
09/01/2021 20:05:10,4.75,7.33,6.42
09/01/2021 20:07:11,5.39,8.23,7.45
09/01/2021 20:09:10,5.12,7.5,7.03
09/01/2021 20:11:10,6.05,8.81,8.14
09/01/2021 20:13:10,6.59,9.0,8.64
09/01/2021 20:15:11,5.68,8.89,8.21
09/01/2021 20:17:11,5.88,7.87,7.55
09/01/2021 20:19:11,6.36,8.93,8.48
09/01/2021 20:23:11,7.29,11.15,10.36
09/01/2021 20:25:11,7.44,10.41,9.83
09/01/2021 20:27:11,7.42,10.54,9.79
09/01/2021 20:29:11,7.82,10.71,10.29
09/01/2021 20:31:11,8.68,11.9,11.24
09/01/2021 20:33:11,8.35,11.17,10.72
09/01/2021 20:37:11,7.19,10.18,9.51
09/01/2021 20:39:11,8.86,12.33,11.72
09/01/2021 20:41:11,8.83,11.73,11.56
09/01/2021 20:43:11,8.63,11.83,11.22
09/01/2021 20:45:11,9.46,14.0,12.79
09/01/2021 20:47:11,9.61,13.07,12.4
09/01/2021 20:49:11,9.82,13.97,13.47
09/01/2021 20:51:11,10.34,13.79,13.09
09/01/2021 20:53:11,9.66,13.68,12.75
09/01/2021 20:55:11,9.93,13.28,12.91
09/01/2021 20:57:11,9.0,12.67,12.0
09/01/2021 20:59:11,9.0,12.0,11.85
09/01/2021 21:01:11,8.19,11.19,10.9
09/01/2021 21:05:11,8.0,11.09,10.67
09/01/2021 21:07:11,8.32,11.54,11.07
09/01/2021 21:09:11,9.41,13.36,13.0
09/01/2021 21:11:11,9.67,12.79,12.54
09/01/2021 21:13:11,9.33,12.67,12.47
09/01/2021 21:15:12,10.47,14.88,14.39
09/01/2021 21:17:12,11.76,15.98,15.4
09/01/2021 21:19:12,11.54,15.75,15.02
09/01/2021 21:21:12,12.25,16.17,15.8
09/01/2021 21:23:12,10.84,14.79,14.42
09/01/2021 21:25:12,10.16,13.36,13.12
09/01/2021 21:27:12,10.73,14.78,13.98
09/01/2021 21:29:12,10.26,14.16,13.59
09/01/2021 21:33:12,10.38,14.15,13.73
09/01/2021 21:35:12,10.37,14.57,13.93
09/01/2021 21:37:12,10.42,14.0,13.14
09/01/2021 21:39:12,10.21,13.68,13.18
09/01/2021 21:41:12,10.25,13.86,13.43
09/01/2021 21:43:12,10.4,14.45,13.91
09/01/2021 21:45:12,10.39,13.51,13.39
09/01/2021 21:47:12,9.98,13.63,12.98
09/01/2021 21:49:12,10.3,14.56,13.88
09/01/2021 21:51:12,10.3,13.52,13.32
09/01/2021 21:53:12,9.86,13.97,13.2
09/01/2021 21:55:12,9.83,13.75,13.0
