InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 12:46:48.460000,40.31,42.0,25.0
01/01/2018 12:49:28.350000,39.69,42.0,25.0
01/01/2018 12:50:48.346666,38.46,42.0,25.0
01/01/2018 12:53:28.336666,39.88,42.0,25.0
01/01/2018 12:54:48.686666,39.43,42.0,25.0
01/01/2018 12:57:28.393333,39.73,42.0,25.0
01/01/2018 12:58:48.270000,38.5,42.0,25.0
01/01/2018 13:01:28.256666,39.37,42.0,25.0
01/01/2018 13:02:48.336666,37.85,42.0,25.0
01/01/2018 13:05:28.270000,38.74,42.0,25.0
01/01/2018 13:06:48.473333,38.26,42.0,25.0
01/01/2018 13:09:28.293333,39.61,42.0,25.0
01/01/2018 13:10:48.416666,40.0,42.0,26.0
01/01/2018 13:13:28.370000,38.93,42.0,26.0
01/01/2018 13:14:48.340000,39.66,42.0,26.0
01/01/2018 13:17:28.473333,39.5,42.0,25.0
01/01/2018 13:18:48.270000,40.02,42.0,26.0
01/01/2018 13:21:28.576666,39.9,41.0,26.0
01/01/2018 13:22:48.316666,40.05,41.0,26.0
01/01/2018 13:25:28.263333,39.41,41.0,25.0
01/01/2018 13:26:48.396666,38.13,41.0,25.0
01/01/2018 13:29:28.346666,39.1,41.0,26.0
01/01/2018 13:30:48.256666,40.47,41.0,26.0
01/01/2018 13:33:28.523333,40.71,41.0,26.0
01/01/2018 13:34:48.326666,37.83,41.0,25.0
01/01/2018 13:37:28.320000,39.74,41.0,26.0
01/01/2018 13:38:48.280000,39.98,42.0,26.0
01/01/2018 13:41:28.413333,39.02,42.0,26.0
01/01/2018 13:42:48.520000,38.25,41.0,26.0
01/01/2018 13:45:28.343333,39.78,42.0,26.0
01/01/2018 13:46:48.313333,39.25,42.0,26.0
01/01/2018 13:49:28.270000,39.69,42.0,26.0
01/01/2018 13:50:48.410000,41.97,42.0,26.0
01/01/2018 13:53:28.360000,40.58,41.0,27.0
01/01/2018 13:54:48.343333,43.03,41.0,27.0
01/01/2018 13:57:28.356666,40.73,41.0,27.0
01/01/2018 13:58:48.343333,45.37,41.0,27.0
01/01/2018 14:01:28.350000,40.6,41.0,27.0
01/01/2018 14:02:48.416666,39.5,41.0,27.0
01/01/2018 14:05:28.290000,42.08,41.0,27.0
01/01/2018 14:06:48.406666,40.17,41.0,27.0
01/01/2018 14:09:28.350000,39.64,41.0,27.0
01/01/2018 14:10:48.566666,39.4,41.0,27.0
01/01/2018 14:13:28.340000,39.34,41.0,27.0
01/01/2018 14:14:48.310000,40.85,41.0,27.0
01/01/2018 14:17:28.340000,39.22,41.0,27.0
01/01/2018 14:18:48.333333,40.2,41.0,27.0
01/01/2018 14:21:28.330000,39.6,41.0,27.0
01/01/2018 14:22:48.340000,39.95,41.0,27.0
01/01/2018 14:25:28.290000,37.88,40.0,27.0
01/01/2018 14:26:48.390000,38.79,40.0,27.0
01/01/2018 14:29:28.396666,38.26,40.0,27.0
01/01/2018 14:30:48.333333,39.54,40.0,27.0
01/01/2018 14:33:29.103333,38.27,40.0,28.0
01/01/2018 14:34:48.403333,39.77,40.0,28.0
01/01/2018 14:37:28.640000,37.72,40.0,28.0
01/01/2018 14:38:48.420000,38.67,40.0,28.0
01/01/2018 14:41:28.383333,37.98,40.0,28.0
01/01/2018 14:42:48.333333,38.61,40.0,28.0
01/01/2018 14:45:28.366666,38.0,40.0,28.0
01/01/2018 14:46:48.486666,37.61,40.0,28.0
01/01/2018 14:49:28.373333,38.9,40.0,28.0
01/01/2018 14:50:48.350000,38.55,40.0,28.0
01/01/2018 14:53:28.373333,39.56,40.0,28.0
01/01/2018 14:54:48.570000,39.41,40.0,29.0
01/01/2018 14:57:28.480000,39.33,39.0,30.0
01/01/2018 14:58:48.383333,38.34,39.0,30.0
01/01/2018 15:01:28.390000,38.93,38.0,31.0
01/01/2018 15:02:48.343333,39.65,37.0,30.0
01/01/2018 15:05:28.523333,38.29,37.0,30.0
01/01/2018 15:06:48.776666,37.81,38.0,30.0
01/01/2018 15:09:28.623333,40.35,37.0,30.0
01/01/2018 15:10:48.593333,38.63,37.0,30.0
