InstrumentName, I-25 Denver
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,PM2.5
08/07/2021 17:00:00,0.486,13.0,38.8
08/07/2021 18:00:00,0.606,11.0,49.3
08/07/2021 19:00:00,0.812,21.0,45.4
08/07/2021 20:00:00,0.731,18.0,50.0
08/07/2021 21:00:00,0.771,16.0,57.4
08/07/2021 22:00:00,0.836,19.0,55.7
08/07/2021 23:00:00,0.832,17.0,52.9
08/08/2021 00:00:00,0.819,22.0,44.3
08/08/2021 01:00:00,0.616,18.0,35.8
08/08/2021 02:00:00,0.643,25.0,33.9
08/08/2021 03:00:00,0.871,26.0,39.8
08/08/2021 04:00:00,1.081,,46.9
08/08/2021 05:00:00,0.981,30.0,56.1
08/08/2021 06:00:00,0.769,22.0,68.2
08/08/2021 08:00:00,0.677,16.0,71.7
08/08/2021 09:00:00,0.578,14.0,74.3
08/08/2021 10:00:00,0.52,11.0,71.5
08/08/2021 11:00:00,0.57,15.0,71.3
08/08/2021 12:00:00,0.548,14.0,70.6
08/08/2021 13:00:00,0.534,12.0,68.4
08/08/2021 14:00:00,0.514,10.0,58.9
08/08/2021 15:00:00,0.479,9.0,44.0
08/08/2021 16:00:00,0.413,6.0,34.3
08/08/2021 17:00:00,0.366,3.0,25.4
08/08/2021 18:00:00,0.335,4.0,20.8
08/08/2021 19:00:00,0.319,3.0,19.7
08/08/2021 20:00:00,0.365,3.0,19.9
08/08/2021 21:00:00,0.346,3.0,19.4
08/08/2021 22:00:00,0.334,2.0,18.7
08/08/2021 23:00:00,0.303,2.0,18.5
08/09/2021 00:00:00,0.29,1.0,18.2
08/09/2021 01:00:00,0.343,5.0,19.8
08/09/2021 02:00:00,0.692,23.0,24.3
08/09/2021 03:00:00,1.224,48.0,27.3
08/09/2021 04:00:00,0.863,,28.1
08/09/2021 05:00:00,0.697,25.0,31.2
08/09/2021 06:00:00,0.522,20.0,35.1
08/09/2021 07:00:00,0.609,22.0,37.5
08/09/2021 08:00:00,0.522,20.0,36.9
08/09/2021 09:00:00,0.409,14.0,36.2
08/09/2021 10:00:00,0.46,26.0,35.8
08/09/2021 11:00:00,0.505,28.0,36.8
08/09/2021 12:00:00,0.58,37.0,31.9
08/09/2021 13:00:00,,31.0,27.5
08/09/2021 14:00:00,0.495,27.0,25.1
08/09/2021 15:00:00,0.482,24.0,21.0
08/09/2021 16:00:00,0.403,18.0,20.2
08/09/2021 17:00:00,0.424,16.0,21.1
08/09/2021 18:00:00,0.414,10.0,20.0
08/09/2021 19:00:00,0.317,4.0,16.4
08/09/2021 20:00:00,0.333,,19.8
08/09/2021 21:00:00,0.394,,18.2
08/09/2021 22:00:00,0.339,10.0,15.7
08/09/2021 23:00:00,0.506,25.0,16.7
08/10/2021 00:00:00,0.483,20.0,16.6
08/10/2021 01:00:00,0.7,25.0,15.1
08/10/2021 02:00:00,0.813,30.0,16.8
08/10/2021 03:00:00,0.783,37.0,17.9
08/10/2021 04:00:00,0.617,,18.3
08/10/2021 05:00:00,0.466,27.0,21.7
08/10/2021 06:00:00,0.428,16.0,24.9
