InstrumentName, La Casa,,,,
StartTime, 2019-11-01 00:00:00,,,,
EndTime, 2019-11-30 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
11/08/2019 20:00:00.000000,0.1,7.0,39.0,7.2,0.0
11/08/2019 21:00:00.000000,0.1,8.0,39.0,10.4,0.0
11/08/2019 22:00:00.000000,0.1,9.0,38.0,13.0,0.0
11/08/2019 23:00:00.000000,0.2,16.0,30.0,13.9,0.0
11/09/2019 00:00:00.000000,0.3,22.0,23.0,15.4,0.0
11/09/2019 01:00:00.000000,0.2,21.0,23.0,14.9,0.0
11/09/2019 02:00:00.000000,0.2,26.0,18.0,14.8,0.0
11/09/2019 03:00:00.000000,0.5,39.0,2.0,26.8,0.0
11/09/2019 04:00:00.000000,0.3,,5.0,22.7,0.0
11/09/2019 05:00:00.000000,0.2,30.0,5.0,18.4,0.0
11/09/2019 06:00:00.000000,0.2,31.0,4.0,15.2,0.0
11/09/2019 07:00:00.000000,0.3,32.0,2.0,13.4,
11/09/2019 08:00:00.000000,0.2,32.0,2.0,12.1,0.0
11/09/2019 09:00:00.000000,0.1,26.0,9.0,11.0,0.0
11/09/2019 10:00:00.000000,0.1,25.0,9.0,9.2,0.0
11/09/2019 13:00:00.000000,0.2,29.0,6.0,11.2,0.0
11/09/2019 14:00:00.000000,0.3,31.0,6.0,22.5,0.0
11/09/2019 15:00:00.000000,0.2,19.0,18.0,21.7,0.0
11/09/2019 16:00:00.000000,0.2,15.0,23.0,21.1,0.0
11/09/2019 17:00:00.000000,0.2,13.0,28.0,26.7,0.0
11/09/2019 18:00:00.000000,0.2,11.0,33.0,20.6,0.0
11/09/2019 19:00:00.000000,0.2,10.0,37.0,18.6,0.0
11/09/2019 20:00:00.000000,0.1,9.0,40.0,15.0,0.0
11/09/2019 21:00:00.000000,0.1,6.0,43.0,9.4,0.0
11/09/2019 22:00:00.000000,0.1,8.0,41.0,9.8,0.0
11/09/2019 23:00:00.000000,0.2,14.0,35.0,14.0,0.0
11/10/2019 00:00:00.000000,0.5,33.0,13.0,22.7,0.0
11/10/2019 01:00:00.000000,1.1,41.0,1.0,40.4,1.0
11/10/2019 02:00:00.000000,1.0,41.0,1.0,43.8,1.0
11/10/2019 03:00:00.000000,1.0,40.0,1.0,43.0,1.0
11/10/2019 04:00:00.000000,0.9,,1.0,49.5,2.0
11/10/2019 05:00:00.000000,0.5,32.0,3.0,25.6,1.0
11/10/2019 06:00:00.000000,0.3,27.0,8.0,17.4,0.0
11/10/2019 07:00:00.000000,0.3,32.0,1.0,18.8,
11/10/2019 08:00:00.000000,0.4,30.0,1.0,22.4,0.0
11/10/2019 09:00:00.000000,0.4,30.0,1.0,16.5,0.0
11/10/2019 10:00:00.000000,0.4,31.0,1.0,15.0,0.0
11/10/2019 11:00:00.000000,0.3,30.0,2.0,12.8,0.0
11/10/2019 12:00:00.000000,0.4,30.0,1.0,13.6,0.0
11/10/2019 13:00:00.000000,0.4,32.0,1.0,17.0,0.0
11/10/2019 14:00:00.000000,0.4,28.0,5.0,18.2,1.0
11/10/2019 15:00:00.000000,0.5,29.0,9.0,21.3,1.0
11/10/2019 16:00:00.000000,0.3,23.0,18.0,19.3,1.0
11/10/2019 17:00:00.000000,0.2,24.0,22.0,19.6,1.0
11/10/2019 18:00:00.000000,0.2,16.0,32.0,17.0,1.0
11/10/2019 19:00:00.000000,0.1,10.0,36.0,19.0,0.0
11/10/2019 20:00:00.000000,0.1,9.0,41.0,19.1,0.0
11/10/2019 21:00:00.000000,0.1,8.0,42.0,14.8,1.0
11/10/2019 22:00:00.000000,0.1,13.0,36.0,17.0,1.0
11/10/2019 23:00:00.000000,0.2,19.0,28.0,20.0,0.0
11/11/2019 00:00:00.000000,0.2,26.0,21.0,20.6,0.0
11/11/2019 01:00:00.000000,0.3,37.0,11.0,24.4,0.0
11/11/2019 02:00:00.000000,0.1,9.0,17.0,104.0,0.0
11/11/2019 03:00:00.000000,0.1,5.0,12.0,26.4,0.0
11/11/2019 04:00:00.000000,0.1,,13.0,14.2,0.0
11/11/2019 05:00:00.000000,0.1,7.0,10.0,6.3,0.0
11/11/2019 06:00:00.000000,0.1,6.0,11.0,3.4,0.0
11/11/2019 07:00:00.000000,0.1,7.0,11.0,3.2,
11/11/2019 08:00:00.000000,0.1,8.0,16.0,3.0,0.0
11/11/2019 09:00:00.000000,0.1,9.0,16.0,5.8,0.0
11/11/2019 10:00:00.000000,0.1,10.0,16.0,7.6,0.0
11/11/2019 11:00:00.000000,0.1,14.0,11.0,9.4,0.0
11/11/2019 12:00:00.000000,0.1,15.0,12.0,9.5,0.0
11/11/2019 13:00:00.000000,0.1,14.0,12.0,10.3,0.0
11/11/2019 14:00:00.000000,0.1,18.0,14.0,10.1,0.0
11/11/2019 15:00:00.000000,0.1,14.0,23.0,9.6,0.0
11/11/2019 16:00:00.000000,,13.0,,10.4,
11/11/2019 17:00:00.000000,0.1,,20.0,15.2,0.0
11/11/2019 18:00:00.000000,0.1,,20.0,14.3,0.0
11/11/2019 19:00:00.000000,0.1,14.0,21.0,12.8,0.0
11/11/2019 20:00:00.000000,0.2,13.0,22.0,15.7,0.0
11/11/2019 21:00:00.000000,0.2,13.0,20.0,16.7,0.0
11/11/2019 22:00:00.000000,0.2,15.0,18.0,16.0,0.0
11/11/2019 23:00:00.000000,0.3,21.0,10.0,16.6,0.0
11/12/2019 00:00:00.000000,0.4,27.0,3.0,20.8,0.0
11/12/2019 01:00:00.000000,0.5,29.0,1.0,23.5,0.0
11/12/2019 02:00:00.000000,0.6,29.0,0.0,26.9,0.0
11/12/2019 03:00:00.000000,0.7,29.0,0.0,26.3,1.0
11/12/2019 04:00:00.000000,0.7,,0.0,26.5,1.0
11/12/2019 05:00:00.000000,0.7,28.0,0.0,22.2,0.0
11/12/2019 06:00:00.000000,0.6,27.0,0.0,21.4,0.0
11/12/2019 07:00:00.000000,0.5,26.0,0.0,17.7,
11/12/2019 08:00:00.000000,0.5,25.0,0.0,15.0,0.0
11/12/2019 09:00:00.000000,0.5,25.0,0.0,15.5,0.0
11/12/2019 10:00:00.000000,0.4,25.0,0.0,12.5,0.0
11/12/2019 11:00:00.000000,0.3,25.0,1.0,11.1,0.0
11/12/2019 12:00:00.000000,0.3,27.0,1.0,11.0,0.0
11/12/2019 13:00:00.000000,0.5,30.0,0.0,13.6,1.0
11/12/2019 15:00:00.000000,0.5,27.0,10.0,24.4,1.0
11/12/2019 16:00:00.000000,,19.0,20.0,27.1,0.0
11/12/2019 17:00:00.000000,0.2,14.0,26.0,25.7,0.0
11/12/2019 18:00:00.000000,0.2,14.0,28.0,24.8,0.0
11/12/2019 19:00:00.000000,0.2,13.0,30.0,21.3,0.0
11/12/2019 20:00:00.000000,0.2,18.0,28.0,24.8,0.0
11/12/2019 21:00:00.000000,0.2,24.0,25.0,27.8,0.0
11/12/2019 22:00:00.000000,0.2,23.0,24.0,28.5,0.0
11/12/2019 23:00:00.000000,0.5,45.0,2.0,52.9,1.0
11/13/2019 00:00:00.000000,1.1,43.0,0.0,77.3,2.0
11/13/2019 01:00:00.000000,1.4,41.0,1.0,82.6,3.0
11/13/2019 02:00:00.000000,1.4,42.0,0.0,79.5,4.0
11/13/2019 03:00:00.000000,1.2,40.0,0.0,63.5,3.0
11/13/2019 04:00:00.000000,0.6,,0.0,36.0,1.0
11/13/2019 05:00:00.000000,0.5,33.0,0.0,23.9,1.0
11/13/2019 06:00:00.000000,0.3,30.0,4.0,15.7,0.0
11/13/2019 07:00:00.000000,0.2,23.0,13.0,11.6,
11/13/2019 08:00:00.000000,0.1,14.0,27.0,10.3,0.0
11/13/2019 09:00:00.000000,0.2,29.0,15.0,11.6,0.0
11/13/2019 10:00:00.000000,0.2,28.0,13.0,10.2,0.0
11/13/2019 11:00:00.000000,0.0,2.0,44.0,11.8,0.0
11/13/2019 12:00:00.000000,0.1,4.0,42.0,10.2,0.0
11/13/2019 13:00:00.000000,0.1,9.0,38.0,9.6,0.0
11/13/2019 14:00:00.000000,0.1,8.0,38.0,11.3,0.0
11/13/2019 15:00:00.000000,0.1,6.0,39.0,9.7,0.0
11/13/2019 16:00:00.000000,0.1,7.0,38.0,11.2,0.0
11/13/2019 17:00:00.000000,0.1,17.0,28.0,25.8,0.0
11/13/2019 18:00:00.000000,0.1,10.0,32.0,24.9,0.0
11/13/2019 19:00:00.000000,0.1,8.0,35.0,18.8,0.0
11/13/2019 20:00:00.000000,0.1,8.0,37.0,19.8,0.0
11/13/2019 21:00:00.000000,0.1,8.0,37.0,16.6,0.0
11/13/2019 22:00:00.000000,0.1,10.0,35.0,20.6,0.0
11/13/2019 23:00:00.000000,0.1,13.0,30.0,20.3,0.0
11/14/2019 00:00:00.000000,0.2,25.0,16.0,25.6,0.0
11/14/2019 01:00:00.000000,0.2,24.0,15.0,22.2,0.0
11/14/2019 02:00:00.000000,0.2,23.0,15.0,19.8,0.0
11/14/2019 03:00:00.000000,0.2,24.0,12.0,17.0,0.0
11/14/2019 04:00:00.000000,0.2,,8.0,17.0,0.0
11/14/2019 05:00:00.000000,0.3,27.0,9.0,17.2,0.0
11/14/2019 06:00:00.000000,0.3,32.0,6.0,21.8,0.0
11/14/2019 07:00:00.000000,0.2,26.0,7.0,17.8,
11/14/2019 08:00:00.000000,0.1,16.0,15.0,13.4,0.0
11/14/2019 09:00:00.000000,0.1,11.0,22.0,10.2,1.0
11/14/2019 10:00:00.000000,0.1,8.0,25.0,7.1,0.0
11/14/2019 11:00:00.000000,0.1,9.0,23.0,8.4,0.0
11/14/2019 12:00:00.000000,0.1,15.0,16.0,12.4,0.0
11/14/2019 13:00:00.000000,0.3,23.0,7.0,14.4,0.0
11/14/2019 14:00:00.000000,0.3,23.0,9.0,15.1,0.0
11/14/2019 15:00:00.000000,0.2,16.0,16.0,16.9,0.0
11/14/2019 16:00:00.000000,0.1,12.0,20.0,22.4,0.0
11/14/2019 17:00:00.000000,0.2,12.0,,27.0,0.0
11/14/2019 18:00:00.000000,0.2,12.0,,26.6,0.0
11/14/2019 19:00:00.000000,0.1,8.0,,20.6,0.0
11/14/2019 20:00:00.000000,0.1,7.0,,15.1,0.0
11/14/2019 21:00:00.000000,0.1,6.0,40.0,15.3,0.0
11/14/2019 22:00:00.000000,0.1,9.0,38.0,17.6,0.0
11/14/2019 23:00:00.000000,0.2,18.0,29.0,19.7,0.0
11/15/2019 00:00:00.000000,0.4,32.0,12.0,40.3,0.0
11/15/2019 01:00:00.000000,0.4,34.0,9.0,31.5,0.0
11/15/2019 02:00:00.000000,0.7,41.0,0.0,41.6,1.0
11/15/2019 03:00:00.000000,0.7,38.0,0.0,42.7,1.0
11/15/2019 04:00:00.000000,0.7,,0.0,40.1,1.0
11/15/2019 05:00:00.000000,0.7,33.0,0.0,30.0,1.0
11/15/2019 06:00:00.000000,0.6,31.0,0.0,28.5,1.0
11/15/2019 07:00:00.000000,0.6,31.0,0.0,28.8,
11/15/2019 08:00:00.000000,0.7,29.0,0.0,27.0,1.0
11/15/2019 09:00:00.000000,0.6,29.0,0.0,23.5,1.0
11/15/2019 10:00:00.000000,0.5,30.0,0.0,23.9,1.0
11/15/2019 11:00:00.000000,0.6,29.0,0.0,24.0,1.0
11/15/2019 12:00:00.000000,0.5,27.0,0.0,19.9,1.0
11/15/2019 13:00:00.000000,0.6,28.0,0.0,22.4,1.0
11/15/2019 14:00:00.000000,0.6,31.0,1.0,24.6,1.0
11/15/2019 15:00:00.000000,1.0,35.0,1.0,47.2,2.0
11/15/2019 16:00:00.000000,0.8,37.0,3.0,63.5,3.0
11/15/2019 17:00:00.000000,0.6,37.0,6.0,62.1,1.0
11/15/2019 18:00:00.000000,0.7,45.0,4.0,86.1,2.0
11/15/2019 19:00:00.000000,,50.0,5.0,92.8,3.0
11/15/2019 20:00:00.000000,0.4,,,73.2,1.0
11/15/2019 21:00:00.000000,0.3,27.0,23.0,63.0,
11/15/2019 22:00:00.000000,0.3,36.0,13.0,79.0,1.0
11/15/2019 23:00:00.000000,0.6,42.0,1.0,89.2,1.0
11/16/2019 00:00:00.000000,0.8,38.0,0.0,81.1,2.0
11/16/2019 01:00:00.000000,1.1,39.0,0.0,82.7,3.0
11/16/2019 02:00:00.000000,1.0,38.0,1.0,74.0,3.0
11/16/2019 03:00:00.000000,0.5,33.0,3.0,37.7,1.0
11/16/2019 04:00:00.000000,0.9,,1.0,45.0,2.0
11/16/2019 05:00:00.000000,1.2,37.0,1.0,56.9,3.0
11/16/2019 06:00:00.000000,1.4,35.0,1.0,62.2,3.0
11/16/2019 07:00:00.000000,0.9,32.0,0.0,47.7,
11/16/2019 08:00:00.000000,0.4,29.0,0.0,23.8,1.0
11/16/2019 09:00:00.000000,0.3,29.0,1.0,17.1,1.0
11/16/2019 10:00:00.000000,0.2,25.0,4.0,15.1,1.0
11/16/2019 11:00:00.000000,0.2,27.0,4.0,15.2,0.0
11/16/2019 12:00:00.000000,0.2,30.0,0.0,15.2,0.0
11/16/2019 13:00:00.000000,0.3,29.0,1.0,16.9,1.0
11/16/2019 14:00:00.000000,0.3,28.0,4.0,14.3,0.0
11/16/2019 15:00:00.000000,0.4,23.0,16.0,32.4,1.0
11/16/2019 16:00:00.000000,0.1,6.0,39.0,21.0,0.0
11/16/2019 17:00:00.000000,0.1,5.0,39.0,17.4,0.0
11/16/2019 18:00:00.000000,0.1,4.0,40.0,21.0,0.0
