InstrumentName, La Casa Collo (Clarity-1),,,,
StartTime, 2019-10-01 00:00:00,,,,
EndTime, 2019-10-31 23:59:59,,,,
Date,PM 1,PM 10,PM 2.5,Temperature,relHumid
10/02/2019 21:10:29.631000,3.588235,7.176471,9.128711,20.591286,41.709011
10/02/2019 21:27:23.812000,4.529412,8.176471,10.298548,20.548561,42.937363
10/02/2019 21:44:17.965000,4.235294,8.411765,10.172079,20.999847,40.33112
10/02/2019 22:01:12.059000,4.235294,7.823529,9.855907,21.352333,40.624092
10/02/2019 22:18:06.125000,3.764706,6.647059,9.223562,21.646065,39.636837
10/02/2019 22:35:00.201000,2.470588,5.176471,8.527984,21.491188,39.874874
10/02/2019 22:51:54.293000,2.235294,5.882353,8.68607,21.646065,39.17754
10/02/2019 23:08:48.506000,2.941176,6.117647,8.68607,21.02655,40.816357
10/02/2019 23:25:42.793000,2.470588,5.352941,8.401515,20.804916,41.783779
10/02/2019 23:42:37.043000,2.235294,4.705883,8.180194,20.268181,42.333103
10/02/2019 23:59:31.458000,1.470588,2.705882,7.231678,19.189362,44.588387
10/03/2019 00:16:26.003000,2.529412,4.588235,8.243429,17.966354,48.352787
10/03/2019 00:33:20.270000,2.0,4.941176,8.180194,16.783398,51.725033
10/03/2019 00:50:14.688000,3.294118,6.470588,8.622835,15.661861,55.329212
10/03/2019 01:07:09.307000,2.0,5.588235,8.022108,14.847408,57.5494
10/03/2019 01:24:04.008000,3.764706,10.823529,10.962509,14.102386,60.573738
10/03/2019 01:40:58.947000,5.941176,13.941176,12.606604,13.301289,62.89006
10/03/2019 01:57:53.938000,5.882353,13.235294,12.258815,12.502861,65.047684
10/03/2019 02:14:48.813000,5.529412,13.705882,11.531619,12.022202,65.912872
10/03/2019 02:31:43.773000,6.764706,18.470589,13.997761,11.504158,67.806519
10/03/2019 02:48:39.115000,7.941176,19.117647,14.187465,10.970093,70.078583
10/03/2019 03:05:34.980000,8.095239,21.714287,15.626802,10.775158,72.214844
10/03/2019 03:22:30.087000,9.666667,26.809525,17.827962,11.124969,71.56176
10/03/2019 03:39:25.051000,8.238095,26.142859,16.471433,11.293201,70.847641
10/03/2019 03:56:20.123000,9.470589,20.17647,15.705091,11.421379,70.283058
10/03/2019 04:13:15.200000,10.529411,22.529411,16.716842,11.533531,69.706261
10/03/2019 04:30:10.174000,7.761905,19.666668,14.6286,11.589607,67.737846
10/03/2019 04:47:05.114000,6.518072,17.240965,12.865636,11.629665,64.405281
10/03/2019 05:04:00.096000,5.882353,14.117647,12.574987,11.645687,61.994354
10/03/2019 05:20:55.012000,5.529412,11.941176,11.500002,11.602959,61.733425
10/03/2019 05:37:50.114000,6.470588,13.058824,12.195581,11.533531,64.995804
10/03/2019 05:54:45.185000,2.952381,8.761905,9.279269,11.181049,66.323341
10/03/2019 06:11:40.223000,2.470588,7.411765,9.223562,10.732433,67.467766
10/03/2019 06:28:35.269000,5.285715,18.952381,12.58101,10.649654,69.053177
10/03/2019 06:45:30.340000,1.588235,5.882353,8.180194,10.620277,69.886322
10/03/2019 07:02:25.313000,1.705882,6.411765,8.243429,10.492104,71.38781
10/03/2019 07:19:20.299000,3.117647,7.764706,8.812539,10.281147,72.770279
10/03/2019 07:36:15.342000,5.941176,11.705882,11.278681,10.016785,74.544899
10/03/2019 07:53:10.444000,5.095238,15.04762,11.685189,9.691006,75.445183
10/03/2019 08:10:05.686000,6.047619,17.714287,13.118503,9.116882,77.093155
10/03/2019 08:27:01.118000,4.764706,11.647058,11.247064,8.526741,79.784851
10/03/2019 08:43:56.610000,6.941176,16.82353,13.302183,7.712292,83.060959
10/03/2019 09:00:52.186000,7.058824,16.235294,13.017628,7.263676,86.083771
10/03/2019 09:17:47.672000,6.352941,16.235294,13.080862,7.349125,86.73838
10/03/2019 09:34:43.177000,8.235294,16.058823,13.3338,7.725643,86.0914
10/03/2019 09:51:38.549000,8.0,17.411764,14.345551,8.233006,85.253685
10/03/2019 10:08:33.969000,6.590362,22.19277,13.552073,8.582817,83.31884
10/03/2019 10:25:29.270000,7.823529,17.941177,13.618355,8.948654,83.047226
10/03/2019 10:42:24.686000,7.722891,26.19277,15.106269,9.258411,81.908905
10/03/2019 10:59:19.920000,3.823529,10.882353,10.867657,9.648281,74.39994
