InstrumentName, Thornton,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 09:43:54.836666,31.0,50.0,36.0
04/01/2018 09:46:34.403333,33.9,52.0,37.0
04/01/2018 09:50:34.383333,31.95,50.0,37.0
04/01/2018 09:53:14.330000,29.95,49.0,37.0
04/01/2018 09:55:54.416666,29.22,50.0,37.0
04/01/2018 09:58:34.333333,31.85,50.0,37.0
04/01/2018 10:02:34.366666,29.0,50.0,38.0
04/01/2018 10:05:14.376666,29.81,50.0,38.0
04/01/2018 10:07:54.320000,29.0,50.0,37.0
04/01/2018 10:10:34.320000,30.92,51.0,37.0
04/01/2018 10:14:34.323333,30.77,50.0,37.0
04/01/2018 10:17:14.343333,29.2,50.0,38.0
04/01/2018 10:19:54.323333,28.47,51.0,37.0
04/01/2018 10:22:34.366666,30.05,50.0,36.0
04/01/2018 10:26:34.320000,31.79,51.0,36.0
04/01/2018 10:29:14.333333,32.55,52.0,35.0
04/01/2018 10:31:54.463333,33.62,52.0,34.0
04/01/2018 10:34:34.336666,31.07,54.0,34.0
04/01/2018 10:38:34.476666,31.6,55.0,33.0
04/01/2018 10:41:14.383333,32.39,55.0,33.0
04/01/2018 10:43:54.746666,32.15,55.0,33.0
04/01/2018 10:46:34.333333,33.17,56.0,33.0
04/01/2018 10:50:34.390000,29.56,58.0,33.0
04/01/2018 10:53:14.343333,33.14,57.0,33.0
04/01/2018 10:55:54.536666,32.2,58.0,32.0
04/01/2018 10:58:34.523333,33.4,58.0,32.0
04/01/2018 11:02:34.356666,33.33,59.0,32.0
04/01/2018 11:05:14.356666,36.83,59.0,32.0
04/01/2018 11:07:54.410000,36.68,60.0,32.0
04/01/2018 11:10:34.483333,32.5,60.0,32.0
04/01/2018 11:14:34.443333,33.35,61.0,33.0
04/01/2018 11:17:14.356666,34.54,60.0,33.0
04/01/2018 11:19:54.350000,35.62,60.0,32.0
04/01/2018 11:22:34.360000,38.63,61.0,31.0
04/01/2018 11:26:34.356666,33.76,61.0,32.0
04/01/2018 11:29:14.360000,37.15,61.0,31.0
04/01/2018 11:31:54.360000,37.66,62.0,31.0
04/01/2018 11:34:34.356666,38.1,63.0,31.0
04/01/2018 11:38:34.470000,32.98,63.0,32.0
04/01/2018 11:41:14.450000,32.2,63.0,32.0
04/01/2018 11:43:54.830000,35.95,63.0,32.0
04/01/2018 11:46:34.373333,35.66,63.0,31.0
04/01/2018 11:50:34.366666,36.35,64.0,31.0
04/01/2018 11:53:14.376666,38.15,64.0,31.0
04/01/2018 11:55:54.366666,35.46,63.0,31.0
04/01/2018 11:58:34.453333,35.5,63.0,31.0
04/01/2018 12:02:34.396666,38.46,64.0,30.0
04/01/2018 12:05:14.373333,35.23,64.0,30.0
04/01/2018 12:07:54.413333,34.56,65.0,30.0
04/01/2018 12:10:34.420000,34.05,64.0,31.0
04/01/2018 12:14:34.556666,34.4,65.0,30.0
04/01/2018 12:17:14.380000,34.5,64.0,30.0
04/01/2018 12:19:54.386666,34.62,64.0,30.0
04/01/2018 12:22:34.386666,34.78,65.0,31.0
04/01/2018 12:26:34.393333,32.3,65.0,32.0
04/01/2018 12:29:14.386666,31.56,63.0,32.0
04/01/2018 12:31:54.390000,33.15,64.0,32.0
04/01/2018 12:34:34.593333,29.2,63.0,33.0
04/01/2018 12:38:34.406666,29.6,61.0,34.0
04/01/2018 12:41:14.576666,31.76,59.0,34.0
04/01/2018 12:43:54.893333,30.4,60.0,34.0
04/01/2018 12:46:34.393333,30.87,60.0,34.0
04/01/2018 12:50:34.596666,31.49,60.0,35.0
04/01/2018 12:53:14.396666,29.9,59.0,36.0
04/01/2018 12:55:54.396666,28.15,58.0,36.0
04/01/2018 12:58:34.536666,28.93,57.0,36.0
