InstrumentName, Swansea (DEH),,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 10:28:21.160000,11.41,61.0,34.0
04/01/2018 10:32:21.216666,11.1,61.0,35.0
04/01/2018 10:35:01.410000,11.73,60.0,35.0
04/01/2018 10:37:41.136666,10.77,60.0,36.0
04/01/2018 10:40:21.273333,12.13,59.0,35.0
04/01/2018 10:44:21.333333,11.87,60.0,35.0
04/01/2018 10:47:01.246666,11.7,60.0,35.0
04/01/2018 10:49:41.046666,13.0,60.0,35.0
04/01/2018 10:53:41.200000,13.18,60.0,34.0
04/01/2018 10:56:21.153333,12.86,60.0,34.0
04/01/2018 10:59:01.423333,13.23,61.0,33.0
04/01/2018 11:01:41.096666,15.4,62.0,33.0
04/01/2018 11:05:41.436666,15.1,63.0,33.0
04/01/2018 11:08:21.450000,13.82,63.0,33.0
04/01/2018 11:11:01.040000,14.56,64.0,33.0
04/01/2018 11:13:41.620000,17.14,65.0,32.0
04/01/2018 11:17:41.260000,15.36,66.0,32.0
04/01/2018 11:20:21.556666,17.67,66.0,31.0
04/01/2018 11:23:01.353333,16.37,67.0,32.0
04/01/2018 11:25:41.226666,17.54,67.0,31.0
04/01/2018 11:29:42.036666,20.16,68.0,31.0
04/01/2018 11:32:21.630000,16.89,69.0,31.0
04/01/2018 11:35:01.563333,16.18,69.0,31.0
04/01/2018 11:37:41.520000,19.21,69.0,30.0
04/01/2018 11:41:41.110000,17.64,69.0,31.0
04/01/2018 11:44:21.116666,20.35,70.0,30.0
04/01/2018 11:47:01.253333,17.03,70.0,30.0
04/01/2018 11:49:41.283333,18.41,70.0,31.0
04/01/2018 11:53:41.376666,16.13,70.0,31.0
04/01/2018 11:56:21.396666,18.59,70.0,31.0
04/01/2018 11:59:01.316666,17.55,70.0,31.0
04/01/2018 12:01:41.543333,17.27,69.0,31.0
04/01/2018 12:05:41.320000,16.7,70.0,31.0
04/01/2018 12:08:21.233333,16.22,70.0,31.0
04/01/2018 12:11:01.426666,17.83,70.0,31.0
04/01/2018 12:13:41.340000,16.18,70.0,31.0
04/01/2018 12:16:21.703333,18.69,70.0,31.0
04/01/2018 12:20:37.740000,17.17,70.0,31.0
04/01/2018 12:23:18.433333,18.7,70.0,31.0
04/01/2018 12:25:57.806666,16.39,70.0,31.0
04/01/2018 12:28:38.170000,17.18,70.0,31.0
04/01/2018 12:32:38.026666,17.16,70.0,31.0
04/01/2018 12:35:17.726666,16.77,70.0,31.0
04/01/2018 12:37:57.806666,18.59,70.0,31.0
04/01/2018 12:40:37.503333,16.61,70.0,31.0
04/01/2018 12:44:37.940000,17.27,71.0,31.0
04/01/2018 12:47:17.860000,18.58,71.0,32.0
04/01/2018 12:49:58.043333,17.76,70.0,32.0
04/01/2018 12:52:38.126666,14.37,69.0,33.0
04/01/2018 12:56:37.780000,16.75,67.0,34.0
04/01/2018 12:59:17.793333,17.47,67.0,34.0
04/01/2018 13:01:57.650000,15.46,67.0,35.0
04/01/2018 13:04:37.800000,14.89,65.0,36.0
04/01/2018 13:08:37.946666,15.34,64.0,37.0
04/01/2018 13:11:18.070000,16.64,62.0,37.0
04/01/2018 13:13:57.976666,15.22,61.0,37.0
04/01/2018 13:16:37.960000,14.95,61.0,37.0
04/01/2018 13:20:38.093333,15.82,59.0,37.0
04/01/2018 13:23:17.936666,17.25,60.0,38.0
04/01/2018 13:25:58.006666,18.58,59.0,38.0
04/01/2018 13:28:38.013333,22.08,59.0,38.0
04/01/2018 13:32:38.293333,18.34,57.0,38.0
04/01/2018 13:35:18.036666,20.23,58.0,38.0
04/01/2018 13:37:58.286666,20.31,57.0,38.0
04/01/2018 13:40:38.053333,22.38,57.0,38.0
04/01/2018 13:44:37.903333,19.68,57.0,38.0
04/01/2018 13:47:18.050000,19.32,57.0,38.0
04/01/2018 13:49:57.990000,22.31,57.0,37.0
04/01/2018 13:52:37.936666,21.79,57.0,38.0
04/01/2018 13:56:37.936666,22.38,57.0,38.0
04/01/2018 13:59:17.903333,24.22,56.0,39.0
04/01/2018 14:01:58.583333,22.08,56.0,39.0
04/01/2018 14:04:38.323333,22.42,56.0,40.0
04/01/2018 14:08:38.733333,22.71,55.0,40.0
04/01/2018 14:11:17.946666,22.11,54.0,41.0
04/01/2018 14:13:58.010000,22.95,53.0,38.0
04/01/2018 14:16:37.720000,26.0,55.0,39.0
04/01/2018 14:20:37.920000,24.92,54.0,41.0
04/01/2018 14:23:17.670000,23.0,53.0,41.0
04/01/2018 14:25:57.736666,21.71,53.0,41.0
04/01/2018 14:28:37.850000,22.58,53.0,42.0
04/01/2018 14:32:37.576666,22.44,51.0,42.0
04/01/2018 14:35:17.620000,23.92,51.0,43.0
04/01/2018 14:37:57.693333,22.46,50.0,43.0
04/01/2018 14:40:38.576666,22.3,50.0,43.0
04/01/2018 14:44:37.946666,21.92,49.0,43.0
04/01/2018 14:47:17.906666,23.34,49.0,44.0
04/01/2018 14:49:58.030000,19.92,48.0,44.0
04/01/2018 14:52:37.926666,21.26,48.0,44.0
04/01/2018 14:56:37.906666,23.02,49.0,44.0
04/01/2018 14:59:18.146666,24.63,47.0,44.0
04/01/2018 15:01:57.753333,21.78,47.0,45.0
04/01/2018 15:04:37.933333,23.17,46.0,45.0
04/01/2018 15:08:38.153333,22.62,46.0,43.0
04/01/2018 15:11:18.013333,24.35,47.0,45.0
04/01/2018 15:13:57.730000,22.0,47.0,45.0
04/01/2018 15:16:37.686666,20.89,46.0,45.0
04/01/2018 15:20:37.930000,20.46,45.0,47.0
04/01/2018 15:23:17.776666,20.54,44.0,47.0
04/01/2018 15:25:57.840000,20.37,44.0,47.0
04/01/2018 15:28:37.836666,24.92,43.0,47.0
04/01/2018 15:32:37.656666,22.03,43.0,48.0
04/01/2018 15:35:17.996666,24.36,42.0,47.0
04/01/2018 15:37:57.890000,23.24,43.0,48.0
04/01/2018 15:40:37.743333,23.82,42.0,47.0
04/01/2018 15:44:37.720000,21.12,42.0,49.0
04/01/2018 15:47:18.040000,22.33,41.0,49.0
04/01/2018 15:49:58.230000,22.84,41.0,49.0
04/01/2018 15:52:37.716666,22.71,41.0,48.0
04/01/2018 15:56:38.160000,22.05,41.0,50.0
04/01/2018 15:59:17.903333,23.74,41.0,48.0
04/01/2018 16:01:57.663333,22.98,41.0,50.0
04/01/2018 16:04:37.886666,20.79,40.0,48.0
04/01/2018 16:08:37.656666,22.66,41.0,48.0
04/01/2018 16:11:18.386666,22.46,40.0,49.0
04/01/2018 16:13:58.223333,22.77,41.0,49.0
04/01/2018 16:16:37.923333,22.05,41.0,50.0
04/01/2018 16:20:37.893333,22.31,42.0,49.0
04/01/2018 16:23:18.410000,24.15,40.0,47.0
04/01/2018 16:25:57.973333,25.31,44.0,46.0
04/01/2018 16:28:38.010000,21.24,43.0,50.0
04/01/2018 16:32:38.023333,25.69,42.0,46.0
04/01/2018 16:35:17.940000,25.78,43.0,47.0
04/01/2018 16:37:58.630000,27.05,43.0,47.0
04/01/2018 16:40:37.986666,28.95,41.0,50.0
04/01/2018 16:43:18.083333,27.53,41.0,50.0
04/01/2018 16:47:17.856666,26.03,41.0,49.0
04/01/2018 16:49:58.183333,24.82,41.0,50.0
04/01/2018 16:52:38.060000,25.87,43.0,49.0
04/01/2018 16:56:37.753333,27.15,45.0,47.0
04/01/2018 16:59:18.113333,31.76,46.0,46.0
04/01/2018 17:01:57.936666,28.59,44.0,46.0
04/01/2018 17:04:38.053333,27.5,46.0,47.0
04/01/2018 17:08:37.976666,26.84,45.0,47.0
04/01/2018 17:11:18.200000,25.73,45.0,48.0
04/01/2018 17:13:58.533333,26.82,44.0,46.0
04/01/2018 17:16:38.306666,25.89,44.0,47.0
04/01/2018 17:20:37.990000,27.32,45.0,47.0
04/01/2018 17:23:18.266666,28.47,46.0,47.0
04/01/2018 17:25:57.930000,29.69,46.0,47.0
04/01/2018 17:28:37.616666,27.53,46.0,48.0
04/01/2018 17:32:37.786666,30.24,46.0,48.0
04/01/2018 17:35:18.290000,32.16,46.0,46.0
04/01/2018 17:37:58.303333,26.89,46.0,47.0
04/01/2018 17:40:38.336666,28.54,46.0,45.0
04/01/2018 17:44:38.303333,26.59,47.0,45.0
04/01/2018 17:47:17.896666,21.74,46.0,47.0
04/01/2018 17:49:57.646666,27.82,46.0,44.0
04/01/2018 17:52:38.026666,25.0,47.0,45.0
04/01/2018 17:56:38.630000,20.38,45.0,48.0
04/01/2018 17:59:17.773333,21.18,44.0,47.0
04/01/2018 18:01:58.073333,19.34,44.0,47.0
04/01/2018 18:04:37.806666,18.58,44.0,48.0
04/01/2018 18:08:37.940000,20.3,43.0,47.0
04/01/2018 18:11:17.790000,20.89,44.0,47.0
04/01/2018 18:13:57.836666,17.69,43.0,48.0
04/01/2018 18:16:37.820000,18.11,42.0,48.0
04/01/2018 18:20:38.126666,18.46,43.0,47.0
04/01/2018 18:23:17.866666,18.95,42.0,48.0
04/01/2018 18:25:57.656666,17.53,42.0,50.0
04/01/2018 18:28:37.883333,16.9,41.0,49.0
04/01/2018 18:32:37.980000,19.31,41.0,50.0
04/01/2018 18:35:17.656666,17.8,40.0,49.0
04/01/2018 18:37:58.146666,18.03,41.0,50.0
04/01/2018 18:40:38.053333,17.62,40.0,54.0
04/01/2018 18:44:37.803333,18.08,37.0,53.0
04/01/2018 18:47:17.723333,18.83,38.0,51.0
04/01/2018 18:49:58.030000,18.67,40.0,53.0
04/01/2018 18:52:37.776666,18.42,37.0,51.0
04/01/2018 18:56:37.686666,19.48,36.0,54.0
04/01/2018 18:59:17.950000,18.47,34.0,59.0
04/01/2018 19:01:57.943333,20.97,33.0,54.0
04/01/2018 19:04:37.806666,20.49,34.0,59.0
04/01/2018 19:08:37.726666,19.66,34.0,56.0
04/01/2018 19:11:18.143333,19.03,34.0,53.0
04/01/2018 19:13:57.756666,20.21,34.0,59.0
04/01/2018 19:16:37.823333,18.64,34.0,57.0
04/01/2018 19:20:37.816666,19.55,35.0,55.0
04/01/2018 19:23:17.710000,23.26,34.0,52.0
04/01/2018 19:25:57.720000,20.06,34.0,58.0
