InstrumentName, 26th and Williams B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/17/2018 10:52:36.443333,1.55,15.0,68.0
04/17/2018 10:55:16.426666,1.84,15.0,68.0
04/17/2018 10:59:16.476666,2.12,15.0,68.0
04/17/2018 11:01:56.490000,2.29,15.0,68.0
04/17/2018 11:04:36.456666,1.83,15.0,67.0
04/17/2018 11:08:36.436666,1.74,15.0,67.0
04/17/2018 11:11:16.443333,2.3,15.0,67.0
04/17/2018 11:13:56.600000,2.14,15.0,67.0
04/17/2018 11:16:36.440000,2.3,15.0,67.0
04/17/2018 11:19:16.443333,1.42,15.0,67.0
04/17/2018 11:23:16.473333,2.12,14.0,67.0
04/17/2018 11:25:56.456666,2.1,14.0,67.0
04/17/2018 11:28:36.490000,2.26,14.0,67.0
04/17/2018 11:31:16.460000,1.5,14.0,67.0
04/17/2018 11:35:16.473333,1.7,13.0,67.0
04/17/2018 11:37:56.730000,2.2,14.0,67.0
04/17/2018 11:40:36.463333,3.29,14.0,67.0
04/17/2018 11:44:36.540000,2.0,14.0,67.0
04/17/2018 11:47:16.616666,2.29,14.0,67.0
04/17/2018 11:49:56.480000,1.45,13.0,67.0
04/17/2018 11:52:36.496666,2.02,13.0,67.0
04/17/2018 11:56:36.496666,2.17,13.0,67.0
04/17/2018 11:59:16.493333,1.53,13.0,67.0
04/17/2018 12:01:56.496666,2.59,13.0,67.0
04/17/2018 12:04:36.586666,2.19,13.0,67.0
04/17/2018 12:08:36.573333,2.17,13.0,67.0
04/17/2018 12:11:16.593333,1.82,13.0,67.0
04/17/2018 12:13:56.506666,2.19,13.0,67.0
04/17/2018 12:16:36.516666,2.07,13.0,67.0
04/17/2018 12:20:36.516666,2.57,13.0,67.0
04/17/2018 12:23:16.666666,1.62,13.0,67.0
04/17/2018 12:25:56.653333,2.12,13.0,67.0
04/17/2018 12:28:36.600000,2.58,13.0,67.0
04/17/2018 12:32:36.533333,2.19,13.0,67.0
04/17/2018 12:35:16.536666,2.07,14.0,67.0
04/17/2018 12:37:56.566666,1.62,14.0,67.0
04/17/2018 12:40:36.616666,2.35,14.0,67.0
