InstrumentName, Columbian Elem (CS23),
StartTime, 2022-01-01 00:00:00,
EndTime, 2022-01-31 23:59:59,
Date,*Lat,*Lon
01/12/2022 04:00:56.166000,0.0,0.0
01/12/2022 04:01:01.716000,0.0,0.0
01/12/2022 04:02:05.331000,0.0,0.0
01/12/2022 04:03:04.331000,0.0,0.0
01/12/2022 04:04:08.519000,0.0,0.0
01/12/2022 04:05:04.126000,0.0,0.0
01/12/2022 04:06:05.219000,0.0,0.0
01/12/2022 04:07:03.123000,0.0,0.0
01/12/2022 04:08:02.671000,0.0,0.0
01/12/2022 04:09:03.573000,0.0,0.0
01/12/2022 04:10:03.184000,0.0,0.0
01/12/2022 04:11:03.896000,0.0,0.0
01/12/2022 04:12:04.752000,0.0,0.0
01/12/2022 04:13:05.385000,0.0,0.0
01/12/2022 04:14:05.747000,0.0,0.0
01/12/2022 04:15:04.303000,0.0,0.0
01/12/2022 04:16:04.264000,0.0,0.0
01/12/2022 04:17:03.779000,0.0,0.0
01/12/2022 04:18:05.060000,0.0,0.0
01/12/2022 04:19:05.289000,0.0,0.0
01/12/2022 04:20:03.502000,0.0,0.0
01/12/2022 04:21:05.129000,0.0,0.0
01/12/2022 04:22:04.951000,0.0,0.0
01/12/2022 04:23:04.288000,0.0,0.0
01/12/2022 04:24:03.514000,0.0,0.0
01/12/2022 04:25:03.374000,0.0,0.0
01/12/2022 04:26:03.016000,0.0,0.0
01/12/2022 04:27:04.173000,0.0,0.0
01/12/2022 04:28:04.421000,0.0,0.0
01/12/2022 04:29:03.236000,0.0,0.0
01/12/2022 04:30:03.397000,0.0,0.0
01/12/2022 04:31:03.013000,0.0,0.0
01/12/2022 04:32:03.132000,0.0,0.0
01/12/2022 04:33:03.930000,0.0,0.0
01/12/2022 04:34:03.837000,0.0,0.0
01/12/2022 04:35:04.243000,0.0,0.0
01/12/2022 04:36:03.916000,0.0,0.0
01/12/2022 04:37:04.438000,0.0,0.0
01/12/2022 04:38:04.627000,0.0,0.0
01/12/2022 04:39:04.250000,0.0,0.0
01/12/2022 04:40:03.623000,0.0,0.0
01/12/2022 04:41:04.251000,0.0,0.0
01/12/2022 04:42:03.926000,0.0,0.0
01/12/2022 04:43:04.112000,0.0,0.0
01/12/2022 04:44:04.463000,0.0,0.0
01/12/2022 04:45:04.455000,0.0,0.0
01/12/2022 04:46:03.521000,0.0,0.0
01/12/2022 04:47:03.465000,0.0,0.0
01/12/2022 04:48:03.819000,0.0,0.0
01/12/2022 04:49:04.116000,0.0,0.0
01/12/2022 04:50:04.290000,0.0,0.0
01/12/2022 04:51:04.571000,0.0,0.0
01/12/2022 04:52:05.975000,0.0,0.0
01/12/2022 04:53:06.151000,0.0,0.0
01/12/2022 04:54:04.822000,0.0,0.0
01/12/2022 04:55:05.677000,0.0,0.0
01/12/2022 04:56:03.464000,0.0,0.0
01/12/2022 04:57:05.053000,0.0,0.0
01/12/2022 04:58:03.942000,0.0,0.0
01/12/2022 04:59:05.095000,0.0,0.0
01/12/2022 05:00:29.444000,39.74083,-105.19865
01/12/2022 05:01:40.987000,39.74083,-105.19865
01/12/2022 05:02:53.891000,39.74083,-105.19865
01/12/2022 05:03:59.816000,39.74083,-105.19865
01/12/2022 05:04:02.354000,39.74083,-105.19865
01/12/2022 05:05:05.658000,39.74083,-105.19865
01/12/2022 05:06:12.952000,39.74083,-105.19865
01/12/2022 05:07:13.001000,39.74083,-105.19865
01/12/2022 05:08:27.148000,39.74083,-105.19865
01/12/2022 05:09:41.256000,39.74083,-105.19865
01/12/2022 05:10:55.849000,39.74083,-105.19865
01/12/2022 05:12:12.032000,39.74083,-105.19865
01/12/2022 05:12:12.602000,39.74083,-105.19865
01/12/2022 05:13:32.719000,39.74083,-105.19865
01/12/2022 05:14:45.523000,39.74083,-105.19865
01/12/2022 05:15:55.967000,39.74083,-105.19865
01/12/2022 05:16:52.441000,39.74083,-105.19865
01/12/2022 05:18:05.960000,39.74083,-105.19865
01/12/2022 05:18:06.734000,39.74083,-105.19865
01/12/2022 05:19:14.679000,39.74083,-105.19865
01/12/2022 05:20:31.905000,39.74083,-105.19865
01/12/2022 05:21:52.091000,39.74083,-105.19865
01/12/2022 05:22:50.289000,39.74083,-105.19865
01/12/2022 05:24:01.260000,39.74083,-105.19865
01/12/2022 05:24:01.772000,39.74083,-105.19865
01/12/2022 05:25:08.963000,39.74083,-105.19865
01/12/2022 05:26:26.581000,39.74083,-105.19865
01/12/2022 05:27:36.875000,39.74083,-105.19865
01/12/2022 05:28:53.181000,39.74083,-105.19865
01/12/2022 05:30:06.156000,39.74083,-105.19865
01/12/2022 05:30:06.183000,39.74083,-105.19865
01/12/2022 05:31:20.833000,39.74083,-105.19865
01/12/2022 05:32:30.650000,39.74083,-105.19865
01/12/2022 05:33:46.737000,39.74083,-105.19865
01/12/2022 05:35:00.942000,39.74083,-105.19865
01/12/2022 05:35:01.412000,39.74083,-105.19865
01/12/2022 05:36:11.600000,39.74083,-105.19865
01/12/2022 05:37:20.480000,39.74083,-105.19865
01/12/2022 05:38:32.921000,39.74083,-105.19865
01/12/2022 05:39:44.133000,39.74083,-105.19865
01/12/2022 05:40:57.426000,39.74083,-105.19865
01/12/2022 05:41:02.002000,39.74083,-105.19865
01/12/2022 05:42:10.458000,39.74083,-105.19865
