InstrumentName, Welby
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,NO2,O3,PM10,SO2
10/18/2021 10:00:00,30.0,3.0,42.3,0.0
10/18/2021 11:00:00,32.0,0.0,89.1,1.0
10/18/2021 12:00:00,33.0,0.0,123.2,1.0
10/18/2021 14:00:00,41.0,,207.2,3.0
10/18/2021 15:00:00,46.0,3.0,155.1,
10/18/2021 16:00:00,32.0,14.0,56.3,3.0
10/18/2021 17:00:00,19.0,28.0,41.2,2.0
10/18/2021 19:00:00,2.0,51.0,24.9,0.0
10/18/2021 20:00:00,,52.0,49.1,0.0
10/18/2021 21:00:00,2.0,52.0,41.2,0.0
10/18/2021 22:00:00,3.0,51.0,56.2,0.0
10/19/2021 00:00:00,5.0,42.0,80.9,1.0
10/19/2021 01:00:00,10.0,34.0,41.9,0.0
10/19/2021 02:00:00,10.0,29.0,24.6,0.0
10/19/2021 03:00:00,21.0,12.0,58.9,0.0
10/19/2021 05:00:00,27.0,13.0,46.0,0.0
10/19/2021 06:00:00,27.0,10.0,44.7,0.0
10/19/2021 07:00:00,13.0,22.0,33.1,0.0
10/19/2021 09:00:00,24.0,6.0,51.3,0.0
10/19/2021 10:00:00,27.0,3.0,65.3,1.0
10/19/2021 11:00:00,30.0,2.0,73.9,1.0
10/19/2021 12:00:00,34.0,0.0,130.2,1.0
10/19/2021 13:00:00,20.0,16.0,59.3,1.0
10/19/2021 15:00:00,7.0,30.0,36.9,0.0
10/19/2021 16:00:00,5.0,33.0,53.2,0.0
10/19/2021 17:00:00,4.0,35.0,84.2,0.0
10/19/2021 18:00:00,2.0,43.0,9.8,0.0
10/19/2021 20:00:00,2.0,54.0,39.0,0.0
10/19/2021 21:00:00,3.0,54.0,59.0,0.0
10/19/2021 22:00:00,2.0,50.0,37.5,0.0
10/19/2021 23:00:00,2.0,48.0,23.9,0.0
10/20/2021 01:00:00,4.0,44.0,11.8,0.0
10/20/2021 02:00:00,7.0,39.0,11.2,0.0
10/20/2021 03:00:00,12.0,32.0,22.1,0.0
10/20/2021 04:00:00,,33.0,13.0,0.0
10/20/2021 06:00:00,2.0,28.0,3.8,0.0
10/20/2021 07:00:00,8.0,17.0,7.7,0.0
10/20/2021 09:00:00,12.0,8.0,22.1,0.0
10/20/2021 11:00:00,13.0,3.0,9.0,0.0
10/20/2021 12:00:00,17.0,1.0,42.8,0.0
10/20/2021 13:00:00,18.0,1.0,74.2,1.0
10/20/2021 14:00:00,21.0,9.0,34.4,0.0
10/20/2021 16:00:00,20.0,19.0,41.7,2.0
10/20/2021 17:00:00,23.0,24.0,23.8,1.0
10/20/2021 18:00:00,15.0,36.0,28.3,1.0
10/20/2021 19:00:00,9.0,43.0,17.8,0.0
10/20/2021 20:00:00,6.0,48.0,20.0,0.0
10/20/2021 21:00:00,4.0,47.0,33.4,0.0
10/20/2021 22:00:00,4.0,47.0,26.5,0.0
10/20/2021 23:00:00,5.0,45.0,25.9,0.0
10/21/2021 00:00:00,11.0,35.0,35.2,0.0
10/21/2021 01:00:00,23.0,21.0,28.3,0.0
10/21/2021 02:00:00,28.0,12.0,51.3,0.0
10/21/2021 03:00:00,31.0,8.0,38.9,0.0
10/21/2021 04:00:00,,14.0,30.0,0.0
10/21/2021 05:00:00,22.0,11.0,26.3,0.0
10/21/2021 06:00:00,33.0,,55.2,0.0
10/21/2021 07:00:00,37.0,0.0,36.9,0.0
10/21/2021 09:00:00,34.0,0.0,47.3,0.0
10/21/2021 10:00:00,33.0,0.0,33.6,0.0
10/21/2021 11:00:00,33.0,0.0,90.1,0.0
10/21/2021 12:00:00,36.0,0.0,81.3,1.0
10/21/2021 13:00:00,38.0,0.0,150.0,2.0
10/21/2021 14:00:00,36.0,0.0,112.0,2.0
10/21/2021 15:00:00,38.0,0.0,125.8,2.0
10/21/2021 16:00:00,42.0,1.0,98.8,2.0
