InstrumentName, Chatfield Park
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,O3,PM2.5
10/18/2021 16:00:00,43.0,3.3
10/18/2021 17:00:00,50.0,4.9
10/18/2021 19:00:00,55.0,3.5
10/18/2021 20:00:00,56.0,3.3
10/18/2021 21:00:00,55.0,2.9
10/18/2021 22:00:00,55.0,2.9
10/19/2021 00:00:00,48.0,3.5
10/19/2021 01:00:00,44.0,3.5
10/19/2021 02:00:00,43.0,4.5
10/19/2021 03:00:00,41.0,3.8
10/19/2021 05:00:00,26.0,4.7
10/19/2021 06:00:00,32.0,4.3
10/19/2021 07:00:00,30.0,4.1
10/19/2021 09:00:00,27.0,4.2
10/19/2021 10:00:00,31.0,3.7
10/19/2021 11:00:00,27.0,3.9
10/19/2021 12:00:00,31.0,3.6
10/19/2021 13:00:00,21.0,4.4
10/19/2021 15:00:00,31.0,7.2
10/19/2021 16:00:00,36.0,7.1
10/19/2021 17:00:00,36.0,8.0
10/19/2021 18:00:00,39.0,7.4
10/19/2021 20:00:00,51.0,3.4
10/19/2021 21:00:00,55.0,3.3
10/19/2021 22:00:00,55.0,3.4
10/19/2021 23:00:00,52.0,3.7
10/20/2021 01:00:00,44.0,5.7
10/20/2021 02:00:00,34.0,8.5
10/20/2021 03:00:00,28.0,6.7
10/20/2021 04:00:00,31.0,4.0
10/20/2021 06:00:00,23.0,4.4
10/20/2021 07:00:00,18.0,4.7
10/20/2021 09:00:00,16.0,4.6
10/20/2021 11:00:00,14.0,5.4
10/20/2021 12:00:00,14.0,5.4
10/20/2021 13:00:00,10.0,5.9
10/20/2021 14:00:00,14.0,6.8
10/20/2021 16:00:00,29.0,7.0
10/20/2021 17:00:00,32.0,7.1
10/20/2021 18:00:00,45.0,3.2
10/20/2021 19:00:00,54.0,1.8
10/20/2021 20:00:00,56.0,2.1
10/20/2021 21:00:00,57.0,2.2
10/20/2021 22:00:00,56.0,2.0
10/20/2021 23:00:00,52.0,3.3
10/21/2021 00:00:00,44.0,2.8
10/21/2021 01:00:00,39.0,3.3
10/21/2021 02:00:00,35.0,3.2
10/21/2021 03:00:00,33.0,3.1
10/21/2021 04:00:00,32.0,3.8
10/21/2021 05:00:00,30.0,3.5
10/21/2021 07:00:00,33.0,3.7
10/21/2021 09:00:00,27.0,3.8
10/21/2021 10:00:00,27.0,3.7
10/21/2021 11:00:00,25.0,3.6
10/21/2021 12:00:00,27.0,3.6
10/21/2021 13:00:00,29.0,3.7
10/21/2021 14:00:00,22.0,5.1
10/21/2021 15:00:00,13.0,6.2
10/21/2021 16:00:00,20.0,5.2
10/21/2021 17:00:00,,4.6
10/21/2021 18:00:00,,3.9
10/21/2021 19:00:00,35.0,3.7
10/21/2021 20:00:00,39.0,3.3
10/21/2021 22:00:00,44.0,3.7
10/21/2021 23:00:00,44.0,3.6
10/22/2021 00:00:00,38.0,4.9
10/22/2021 01:00:00,35.0,4.1
10/22/2021 02:00:00,32.0,7.1
10/22/2021 03:00:00,31.0,5.0
10/22/2021 04:00:00,31.0,4.1
10/22/2021 05:00:00,30.0,3.8
10/22/2021 06:00:00,29.0,3.8
10/22/2021 07:00:00,29.0,3.8
10/22/2021 09:00:00,30.0,3.7
10/22/2021 10:00:00,28.0,3.4
10/22/2021 11:00:00,23.0,3.5
10/22/2021 12:00:00,24.0,3.5
10/22/2021 13:00:00,22.0,3.7
10/22/2021 14:00:00,18.0,4.5
10/22/2021 15:00:00,34.0,3.1
10/22/2021 16:00:00,43.0,2.0
10/22/2021 18:00:00,51.0,1.9
10/22/2021 19:00:00,53.0,2.3
10/22/2021 20:00:00,55.0,2.1
10/22/2021 21:00:00,54.0,1.8
10/22/2021 23:00:00,53.0,2.8
10/23/2021 00:00:00,43.0,5.9
10/23/2021 01:00:00,40.0,4.0
10/23/2021 02:00:00,36.0,5.9
10/23/2021 04:00:00,37.0,4.6
10/23/2021 06:00:00,40.0,5.5
10/23/2021 07:00:00,39.0,4.8
10/23/2021 09:00:00,36.0,4.2
10/23/2021 10:00:00,33.0,3.6
10/23/2021 11:00:00,32.0,4.0
10/23/2021 12:00:00,33.0,3.5
10/23/2021 13:00:00,34.0,3.0
10/23/2021 14:00:00,34.0,3.9
10/23/2021 15:00:00,37.0,3.5
10/23/2021 16:00:00,41.0,3.9
10/23/2021 18:00:00,42.0,3.7
10/23/2021 19:00:00,43.0,3.3
10/23/2021 20:00:00,44.0,2.9
10/23/2021 21:00:00,44.0,5.4
10/23/2021 22:00:00,40.0,4.5
10/24/2021 00:00:00,38.0,4.2
10/24/2021 01:00:00,31.0,7.6
10/24/2021 02:00:00,27.0,13.1
10/24/2021 03:00:00,23.0,14.8
10/24/2021 05:00:00,25.0,14.1
10/24/2021 06:00:00,21.0,13.2
10/24/2021 07:00:00,18.0,14.0
10/24/2021 09:00:00,18.0,11.7
10/24/2021 10:00:00,22.0,10.1
10/24/2021 11:00:00,22.0,9.8
10/24/2021 12:00:00,26.0,6.3
10/24/2021 13:00:00,22.0,5.2
10/24/2021 14:00:00,25.0,5.1
10/24/2021 15:00:00,36.0,3.6
10/24/2021 16:00:00,43.0,2.3
10/24/2021 17:00:00,44.0,2.5
10/24/2021 18:00:00,49.0,3.3
10/24/2021 20:00:00,55.0,3.2
10/24/2021 21:00:00,56.0,2.5
10/24/2021 22:00:00,55.0,3.1
10/24/2021 23:00:00,53.0,4.9
10/25/2021 00:00:00,48.0,6.0
10/25/2021 01:00:00,43.0,5.1
10/25/2021 02:00:00,40.0,4.2
10/25/2021 03:00:00,34.0,5.8
10/25/2021 04:00:00,36.0,3.5
10/25/2021 06:00:00,36.0,4.0
10/25/2021 07:00:00,38.0,3.6
10/25/2021 09:00:00,32.0,3.5
10/25/2021 11:00:00,21.0,4.3
10/25/2021 12:00:00,20.0,4.5
10/25/2021 13:00:00,20.0,4.1
10/25/2021 14:00:00,,4.9
10/25/2021 16:00:00,18.0,8.1
10/25/2021 17:00:00,24.0,7.8
10/25/2021 18:00:00,24.0,9.1
10/25/2021 19:00:00,25.0,11.0
10/25/2021 20:00:00,30.0,6.9
10/25/2021 21:00:00,29.0,9.4
10/25/2021 22:00:00,30.0,8.2
10/25/2021 23:00:00,30.0,6.2
10/26/2021 00:00:00,24.0,9.9
10/26/2021 01:00:00,19.0,7.1
10/26/2021 02:00:00,29.0,5.4
10/26/2021 03:00:00,34.0,4.2
10/26/2021 04:00:00,31.0,3.8
10/26/2021 05:00:00,28.0,3.8
10/26/2021 07:00:00,26.0,3.7
10/26/2021 09:00:00,34.0,2.8
10/26/2021 10:00:00,34.0,2.7
10/26/2021 12:00:00,37.0,2.9
10/26/2021 13:00:00,37.0,3.3
10/26/2021 14:00:00,40.0,4.2
10/26/2021 15:00:00,42.0,3.8
10/26/2021 17:00:00,43.0,
10/26/2021 18:00:00,41.0,
10/26/2021 19:00:00,41.0,
10/26/2021 20:00:00,41.0,0.9
10/26/2021 22:00:00,49.0,1.4
10/26/2021 23:00:00,51.0,1.5
10/27/2021 00:00:00,46.0,1.2
10/27/2021 01:00:00,40.0,1.3
10/27/2021 03:00:00,31.0,2.8
10/27/2021 04:00:00,27.0,2.5
10/27/2021 05:00:00,23.0,2.3
10/27/2021 06:00:00,18.0,1.9
10/27/2021 07:00:00,12.0,2.4
10/27/2021 09:00:00,13.0,2.8
10/27/2021 10:00:00,37.0,1.7
10/27/2021 11:00:00,44.0,1.2
10/27/2021 12:00:00,44.0,1.1
10/27/2021 13:00:00,41.0,1.0
10/27/2021 14:00:00,41.0,1.1
10/27/2021 15:00:00,42.0,
10/27/2021 16:00:00,42.0,0.9
10/27/2021 18:00:00,43.0,1.1
10/27/2021 19:00:00,44.0,1.5
10/27/2021 20:00:00,44.0,1.7
10/27/2021 21:00:00,44.0,1.4
10/27/2021 22:00:00,44.0,1.4
10/27/2021 23:00:00,44.0,1.5
10/28/2021 00:00:00,44.0,1.4
10/28/2021 01:00:00,41.0,1.6
10/28/2021 02:00:00,39.0,1.7
10/28/2021 03:00:00,41.0,1.7
10/28/2021 04:00:00,41.0,1.6
10/28/2021 05:00:00,35.0,1.6
10/28/2021 06:00:00,30.0,2.0
10/28/2021 07:00:00,27.0,2.0
10/28/2021 09:00:00,28.0,2.2
10/28/2021 10:00:00,24.0,2.9
10/28/2021 11:00:00,20.0,2.8
10/28/2021 12:00:00,19.0,2.6
10/28/2021 13:00:00,17.0,2.8
10/28/2021 14:00:00,19.0,3.8
10/28/2021 15:00:00,31.0,3.4
10/28/2021 16:00:00,34.0,2.9
10/28/2021 17:00:00,36.0,3.8
10/28/2021 19:00:00,37.0,4.7
10/28/2021 20:00:00,38.0,5.1
10/28/2021 21:00:00,38.0,5.5
10/29/2021 00:00:00,28.0,6.0
10/29/2021 01:00:00,26.0,6.1
10/29/2021 02:00:00,24.0,8.9
10/29/2021 03:00:00,21.0,5.3
10/29/2021 04:00:00,19.0,4.4
10/29/2021 05:00:00,14.0,4.4
10/29/2021 06:00:00,15.0,3.7
10/29/2021 07:00:00,16.0,3.7
10/29/2021 09:00:00,17.0,3.4
10/29/2021 10:00:00,27.0,3.2
10/29/2021 11:00:00,28.0,3.2
10/29/2021 12:00:00,27.0,2.7
10/29/2021 13:00:00,16.0,3.0
10/29/2021 14:00:00,17.0,3.1
10/29/2021 15:00:00,27.0,3.2
10/29/2021 16:00:00,32.0,3.4
10/29/2021 17:00:00,35.0,2.6
10/29/2021 18:00:00,38.0,1.7
10/29/2021 20:00:00,43.0,0.7
10/29/2021 21:00:00,43.0,2.0
10/29/2021 22:00:00,41.0,2.7
10/29/2021 23:00:00,36.0,2.8
10/30/2021 00:00:00,30.0,3.9
10/30/2021 01:00:00,28.0,3.2
10/30/2021 02:00:00,27.0,2.3
10/30/2021 03:00:00,25.0,4.5
10/30/2021 04:00:00,23.0,6.5
10/30/2021 06:00:00,23.0,3.3
10/30/2021 07:00:00,23.0,3.0
10/30/2021 09:00:00,31.0,2.9
10/30/2021 11:00:00,31.0,2.1
10/30/2021 12:00:00,27.0,2.1
10/30/2021 13:00:00,30.0,2.6
10/30/2021 14:00:00,32.0,3.2
10/30/2021 16:00:00,38.0,2.3
10/30/2021 17:00:00,42.0,1.5
10/30/2021 18:00:00,45.0,1.0
10/30/2021 19:00:00,49.0,1.8
10/30/2021 20:00:00,47.0,2.8
10/30/2021 21:00:00,46.0,3.9
10/30/2021 22:00:00,47.0,5.1
10/30/2021 23:00:00,41.0,5.2
10/31/2021 00:00:00,35.0,9.2
10/31/2021 01:00:00,34.0,7.7
10/31/2021 02:00:00,30.0,5.5
10/31/2021 03:00:00,26.0,4.0
10/31/2021 04:00:00,25.0,4.0
10/31/2021 05:00:00,18.0,5.1
10/31/2021 07:00:00,12.0,7.2
10/31/2021 09:00:00,10.0,4.2
10/31/2021 10:00:00,9.0,3.7
10/31/2021 12:00:00,16.0,4.1
10/31/2021 13:00:00,24.0,4.8
10/31/2021 14:00:00,23.0,5.3
10/31/2021 15:00:00,22.0,5.8
10/31/2021 17:00:00,24.0,5.6
10/31/2021 18:00:00,23.0,6.2
10/31/2021 19:00:00,24.0,6.5
10/31/2021 20:00:00,23.0,6.8
10/31/2021 21:00:00,24.0,7.5
10/31/2021 22:00:00,23.0,7.7
10/31/2021 23:00:00,23.0,7.9
                
