InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/09/2021 20:00:00,0.308,9.0,7.0
10/09/2021 21:00:00,0.274,6.0,7.0
10/09/2021 22:00:00,0.342,9.0,1.5
10/09/2021 23:00:00,0.406,11.0,1.8
10/10/2021 00:00:00,0.449,10.0,1.5
10/10/2021 01:00:00,0.415,10.0,1.5
10/10/2021 02:00:00,0.43,10.0,1.4
10/10/2021 03:00:00,0.406,8.0,1.6
10/10/2021 04:00:00,0.373,,2.0
10/10/2021 05:00:00,0.306,9.0,1.5
10/10/2021 06:00:00,0.363,10.0,2.0
10/10/2021 07:00:00,0.391,11.0,1.7
10/10/2021 09:00:00,0.243,16.0,2.5
10/10/2021 11:00:00,0.284,15.0,3.6
10/10/2021 12:00:00,0.239,13.0,2.0
10/10/2021 13:00:00,0.219,15.0,2.4
10/10/2021 15:00:00,0.244,8.0,2.6
10/10/2021 16:00:00,0.208,7.0,2.2
10/10/2021 17:00:00,0.185,3.0,1.6
10/10/2021 18:00:00,0.175,2.0,1.5
10/10/2021 19:00:00,0.197,3.0,1.5
10/10/2021 20:00:00,0.256,5.0,1.8
10/10/2021 21:00:00,0.211,2.0,1.6
10/10/2021 22:00:00,0.284,7.0,2.4
10/10/2021 23:00:00,0.393,9.0,2.1
10/11/2021 00:00:00,0.43,11.0,2.3
10/11/2021 03:00:00,0.335,7.0,2.0
10/11/2021 04:00:00,0.342,,2.4
10/11/2021 05:00:00,0.552,18.0,4.2
10/11/2021 06:00:00,0.35,22.0,
10/11/2021 07:00:00,0.257,15.0,3.1
10/11/2021 09:00:00,0.206,13.0,3.2
10/11/2021 10:00:00,0.248,15.0,3.8
10/11/2021 11:00:00,0.371,22.0,4.3
10/11/2021 12:00:00,0.483,31.0,5.5
10/11/2021 13:00:00,0.639,33.0,7.0
10/11/2021 14:00:00,,24.0,6.1
10/11/2021 15:00:00,0.333,17.0,5.4
10/11/2021 17:00:00,0.3,16.0,5.4
10/11/2021 18:00:00,0.184,,3.6
10/11/2021 19:00:00,0.193,,3.2
10/11/2021 20:00:00,0.181,5.0,3.4
10/11/2021 21:00:00,0.217,9.0,3.2
10/11/2021 22:00:00,0.199,9.0,3.0
