InstrumentName, I-25 Globeville
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,NO2,PM2.5
10/09/2021 17:00:00,15.0,3.7
10/09/2021 18:00:00,13.0,4.1
10/09/2021 19:00:00,12.0,6.2
10/09/2021 20:00:00,7.0,11.1
10/09/2021 21:00:00,7.0,3.5
10/09/2021 22:00:00,9.0,7.1
10/09/2021 23:00:00,12.0,2.3
10/10/2021 00:00:00,11.0,3.3
10/10/2021 01:00:00,12.0,10.7
10/10/2021 02:00:00,15.0,1.8
10/10/2021 03:00:00,29.0,2.5
10/10/2021 04:00:00,,2.5
10/10/2021 05:00:00,9.0,1.6
10/10/2021 06:00:00,14.0,2.1
10/10/2021 07:00:00,20.0,2.3
10/10/2021 09:00:00,17.0,2.7
10/10/2021 11:00:00,29.0,3.4
10/10/2021 12:00:00,22.0,2.9
10/10/2021 13:00:00,21.0,3.7
10/10/2021 14:00:00,21.0,3.4
10/10/2021 15:00:00,20.0,4.2
10/10/2021 16:00:00,8.0,2.5
10/10/2021 17:00:00,4.0,2.0
10/10/2021 18:00:00,4.0,1.8
10/10/2021 19:00:00,4.0,1.8
10/10/2021 20:00:00,6.0,2.0
10/10/2021 21:00:00,7.0,2.0
10/10/2021 22:00:00,14.0,2.1
10/10/2021 23:00:00,15.0,2.5
10/11/2021 00:00:00,14.0,3.7
10/11/2021 02:00:00,16.0,3.0
10/11/2021 03:00:00,22.0,3.1
10/11/2021 04:00:00,,3.9
10/11/2021 05:00:00,32.0,7.4
10/11/2021 06:00:00,36.0,
10/11/2021 07:00:00,16.0,4.2
10/11/2021 09:00:00,19.0,3.6
10/11/2021 10:00:00,16.0,4.3
10/11/2021 11:00:00,25.0,6.0
10/11/2021 12:00:00,37.0,7.9
10/11/2021 13:00:00,40.0,9.7
10/11/2021 14:00:00,38.0,11.4
10/11/2021 15:00:00,36.0,11.2
10/11/2021 17:00:00,14.0,5.6
10/11/2021 18:00:00,6.0,4.4
10/11/2021 19:00:00,,4.7
10/11/2021 20:00:00,,4.2
10/11/2021 21:00:00,4.0,4.1
10/11/2021 22:00:00,5.0,3.7
10/11/2021 23:00:00,8.0,3.8
10/12/2021 00:00:00,13.0,3.3
10/12/2021 01:00:00,13.0,3.7
10/12/2021 02:00:00,12.0,3.6
10/12/2021 03:00:00,22.0,3.8
10/12/2021 04:00:00,,6.5
10/12/2021 05:00:00,35.0,6.2
10/12/2021 06:00:00,19.0,5.7
10/12/2021 07:00:00,14.0,5.6
10/12/2021 09:00:00,18.0,8.3
10/12/2021 10:00:00,21.0,8.4
10/12/2021 11:00:00,26.0,9.9
10/12/2021 12:00:00,32.0,11.9
10/12/2021 13:00:00,32.0,12.4
10/12/2021 14:00:00,26.0,14.1
10/12/2021 15:00:00,23.0,11.2
10/12/2021 16:00:00,25.0,12.3
10/12/2021 17:00:00,25.0,15.7
10/12/2021 18:00:00,28.0,13.5
10/12/2021 19:00:00,27.0,14.3
10/12/2021 20:00:00,22.0,12.6
10/12/2021 21:00:00,26.0,11.5
10/12/2021 22:00:00,24.0,9.9
10/12/2021 23:00:00,18.0,8.9
10/13/2021 00:00:00,22.0,8.8
10/13/2021 01:00:00,19.0,6.0
10/13/2021 02:00:00,16.0,1.8
10/13/2021 03:00:00,7.0,1.3
10/13/2021 04:00:00,,1.0
10/13/2021 05:00:00,16.0,1.2
10/13/2021 06:00:00,16.0,2.0
10/13/2021 07:00:00,15.0,2.7
10/13/2021 09:00:00,18.0,3.9
10/13/2021 10:00:00,13.0,2.0
10/13/2021 11:00:00,30.0,2.5
10/13/2021 12:00:00,37.0,4.4
10/13/2021 13:00:00,42.0,4.7
10/13/2021 14:00:00,40.0,8.4
10/13/2021 15:00:00,28.0,6.5
10/13/2021 16:00:00,18.0,2.7
10/13/2021 17:00:00,18.0,2.5
10/13/2021 18:00:00,19.0,2.9
10/13/2021 19:00:00,15.0,5.3
10/13/2021 20:00:00,14.0,3.8
10/13/2021 21:00:00,17.0,2.6
10/13/2021 22:00:00,18.0,2.6
10/14/2021 00:00:00,22.0,2.7
10/14/2021 01:00:00,25.0,2.8
10/14/2021 02:00:00,21.0,2.7
10/14/2021 03:00:00,33.0,5.4
10/14/2021 05:00:00,9.0,2.2
10/14/2021 06:00:00,14.0,2.4
10/14/2021 07:00:00,13.0,3.3
10/14/2021 09:00:00,24.0,4.0
10/14/2021 10:00:00,22.0,2.9
10/14/2021 11:00:00,27.0,3.2
10/14/2021 12:00:00,36.0,7.8
10/14/2021 13:00:00,38.0,6.5
10/14/2021 14:00:00,32.0,8.4
10/14/2021 15:00:00,29.0,9.9
10/14/2021 16:00:00,28.0,8.4
10/14/2021 17:00:00,29.0,9.2
10/14/2021 18:00:00,26.0,14.8
10/14/2021 20:00:00,20.0,8.2
10/14/2021 21:00:00,24.0,7.2
10/14/2021 22:00:00,16.0,5.9
10/14/2021 23:00:00,10.0,5.8
10/15/2021 00:00:00,8.0,5.9
10/15/2021 01:00:00,9.0,7.0
10/15/2021 02:00:00,12.0,6.4
10/15/2021 03:00:00,12.0,7.7
10/15/2021 04:00:00,,9.8
10/15/2021 06:00:00,29.0,12.8
10/15/2021 07:00:00,24.0,14.9
10/15/2021 09:00:00,25.0,8.4
10/15/2021 11:00:00,22.0,2.7
10/15/2021 12:00:00,46.0,5.9
10/15/2021 13:00:00,36.0,4.9
10/15/2021 14:00:00,35.0,5.5
10/15/2021 16:00:00,20.0,5.1
10/15/2021 17:00:00,21.0,3.2
10/15/2021 18:00:00,21.0,3.2
10/15/2021 19:00:00,25.0,4.4
10/15/2021 20:00:00,23.0,3.1
10/15/2021 21:00:00,21.0,3.4
10/15/2021 22:00:00,21.0,2.4
10/15/2021 23:00:00,24.0,3.4
10/16/2021 00:00:00,32.0,4.1
10/16/2021 01:00:00,39.0,4.7
10/16/2021 02:00:00,49.0,6.7
10/16/2021 03:00:00,40.0,6.5
10/16/2021 04:00:00,,4.9
10/16/2021 05:00:00,29.0,4.0
10/16/2021 06:00:00,31.0,12.9
10/16/2021 07:00:00,25.0,7.9
10/16/2021 09:00:00,54.0,8.5
10/16/2021 10:00:00,45.0,7.4
10/16/2021 11:00:00,40.0,6.2
10/16/2021 12:00:00,44.0,7.2
10/16/2021 13:00:00,42.0,5.4
10/16/2021 14:00:00,41.0,7.0
10/16/2021 15:00:00,38.0,6.8
10/16/2021 17:00:00,13.0,2.8
10/16/2021 18:00:00,13.0,2.2
10/16/2021 19:00:00,7.0,1.4
10/16/2021 20:00:00,10.0,1.9
10/16/2021 21:00:00,11.0,1.7
10/16/2021 22:00:00,15.0,1.6
10/16/2021 23:00:00,5.0,1.5
10/17/2021 00:00:00,7.0,2.3
10/17/2021 01:00:00,16.0,3.8
10/17/2021 03:00:00,54.0,13.7
10/17/2021 04:00:00,,11.5
10/17/2021 05:00:00,41.0,7.7
10/17/2021 06:00:00,40.0,8.0
10/17/2021 07:00:00,40.0,8.5
10/17/2021 09:00:00,42.0,9.6
10/17/2021 10:00:00,41.0,12.2
10/17/2021 11:00:00,39.0,7.4
10/17/2021 12:00:00,37.0,7.1
10/17/2021 13:00:00,36.0,6.1
10/17/2021 14:00:00,32.0,5.8
10/17/2021 15:00:00,31.0,5.6
10/17/2021 16:00:00,23.0,4.1
10/17/2021 17:00:00,17.0,2.5
10/17/2021 18:00:00,14.0,2.3
10/17/2021 19:00:00,15.0,5.0
10/17/2021 20:00:00,18.0,2.5
10/17/2021 21:00:00,18.0,2.8
10/17/2021 22:00:00,19.0,2.5
10/17/2021 23:00:00,24.0,3.2
10/18/2021 00:00:00,30.0,6.3
10/18/2021 01:00:00,34.0,9.8
10/18/2021 02:00:00,44.0,8.8
10/18/2021 03:00:00,49.0,8.5
10/18/2021 04:00:00,,8.2
10/18/2021 05:00:00,50.0,7.7
10/18/2021 06:00:00,47.0,7.3
10/18/2021 07:00:00,46.0,8.0
10/18/2021 09:00:00,42.0,7.2
10/18/2021 10:00:00,41.0,6.9
10/18/2021 11:00:00,42.0,7.7
10/18/2021 12:00:00,42.0,7.3
10/18/2021 14:00:00,49.0,13.6
10/18/2021 15:00:00,49.0,14.6
10/18/2021 16:00:00,49.0,14.3
10/18/2021 17:00:00,26.0,5.6
10/18/2021 19:00:00,20.0,6.0
10/18/2021 20:00:00,,6.9
10/18/2021 21:00:00,13.0,2.5
10/18/2021 22:00:00,17.0,2.2
10/19/2021 00:00:00,46.0,7.2
10/19/2021 01:00:00,48.0,7.0
10/19/2021 02:00:00,46.0,7.1
10/19/2021 03:00:00,44.0,11.7
10/19/2021 05:00:00,37.0,5.4
10/19/2021 06:00:00,44.0,6.6
10/19/2021 07:00:00,42.0,7.3
10/19/2021 09:00:00,41.0,8.3
10/19/2021 10:00:00,37.0,7.6
10/19/2021 11:00:00,43.0,10.3
10/19/2021 12:00:00,44.0,10.8
10/19/2021 13:00:00,41.0,11.5
10/19/2021 15:00:00,28.0,9.3
10/19/2021 16:00:00,33.0,11.0
10/19/2021 17:00:00,31.0,8.9
10/19/2021 18:00:00,19.0,4.6
10/19/2021 20:00:00,26.0,4.7
10/19/2021 21:00:00,16.0,2.9
10/19/2021 22:00:00,6.0,4.4
10/19/2021 23:00:00,7.0,2.0
10/20/2021 01:00:00,7.0,2.2
10/20/2021 03:00:00,19.0,2.8
10/20/2021 04:00:00,,4.3
10/20/2021 06:00:00,10.0,1.3
10/20/2021 07:00:00,10.0,1.4
10/20/2021 09:00:00,15.0,1.3
10/20/2021 11:00:00,24.0,2.5
10/20/2021 12:00:00,23.0,2.7
10/20/2021 13:00:00,37.0,9.6
10/20/2021 14:00:00,37.0,14.1
10/20/2021 16:00:00,31.0,14.2
10/20/2021 17:00:00,37.0,8.6
10/20/2021 18:00:00,17.0,3.9
10/20/2021 19:00:00,15.0,4.0
10/20/2021 20:00:00,16.0,4.6
10/20/2021 21:00:00,13.0,3.5
10/20/2021 22:00:00,9.0,3.2
10/20/2021 23:00:00,9.0,2.9
10/21/2021 00:00:00,16.0,4.5
10/21/2021 01:00:00,31.0,5.4
10/21/2021 02:00:00,34.0,8.1
10/21/2021 03:00:00,36.0,6.2
10/21/2021 04:00:00,,8.4
10/21/2021 05:00:00,48.0,9.2
10/21/2021 06:00:00,42.0,
10/21/2021 07:00:00,41.0,6.6
10/21/2021 09:00:00,38.0,6.5
10/21/2021 10:00:00,38.0,6.3
10/21/2021 11:00:00,40.0,6.7
10/21/2021 12:00:00,43.0,7.4
10/21/2021 13:00:00,45.0,13.2
10/21/2021 14:00:00,52.0,14.0
10/21/2021 15:00:00,55.0,18.3
10/21/2021 16:00:00,55.0,19.1
10/21/2021 17:00:00,50.0,13.8
10/21/2021 18:00:00,53.0,14.8
10/21/2021 19:00:00,53.0,16.4
10/21/2021 20:00:00,55.0,14.8
10/21/2021 22:00:00,35.0,5.9
10/21/2021 23:00:00,36.0,4.7
10/22/2021 00:00:00,58.0,9.9
10/22/2021 01:00:00,66.0,15.6
10/22/2021 02:00:00,57.0,14.0
10/22/2021 03:00:00,,15.8
10/22/2021 04:00:00,,13.1
10/22/2021 05:00:00,44.0,14.2
10/22/2021 06:00:00,42.0,12.3
10/22/2021 07:00:00,40.0,7.9
10/22/2021 09:00:00,39.0,5.6
10/22/2021 10:00:00,39.0,5.2
10/22/2021 11:00:00,44.0,7.1
10/22/2021 12:00:00,45.0,7.3
10/22/2021 13:00:00,47.0,12.9
10/22/2021 14:00:00,49.0,11.6
10/22/2021 15:00:00,50.0,13.3
10/22/2021 16:00:00,43.0,10.9
10/22/2021 18:00:00,12.0,3.5
10/22/2021 19:00:00,9.0,2.3
10/22/2021 20:00:00,9.0,1.8
10/22/2021 21:00:00,10.0,1.5
10/22/2021 23:00:00,16.0,4.1
10/23/2021 00:00:00,31.0,5.1
10/23/2021 01:00:00,44.0,8.4
10/23/2021 02:00:00,44.0,6.5
10/23/2021 04:00:00,,9.3
10/23/2021 06:00:00,42.0,8.0
10/23/2021 07:00:00,45.0,7.4
10/23/2021 09:00:00,42.0,4.9
10/23/2021 10:00:00,42.0,7.2
10/23/2021 11:00:00,42.0,6.4
10/23/2021 12:00:00,40.0,5.6
10/23/2021 13:00:00,44.0,8.3
10/23/2021 14:00:00,45.0,8.7
10/23/2021 15:00:00,45.0,9.9
10/23/2021 16:00:00,47.0,10.0
10/23/2021 18:00:00,40.0,7.8
10/23/2021 19:00:00,23.0,5.5
10/23/2021 20:00:00,15.0,3.4
10/23/2021 21:00:00,8.0,2.4
10/23/2021 22:00:00,8.0,4.1
10/24/2021 00:00:00,36.0,13.7
10/24/2021 01:00:00,38.0,14.6
10/24/2021 02:00:00,36.0,13.7
10/24/2021 03:00:00,25.0,10.4
10/24/2021 05:00:00,24.0,11.7
10/24/2021 06:00:00,43.0,16.3
10/24/2021 07:00:00,40.0,17.2
10/24/2021 09:00:00,43.0,17.6
10/24/2021 10:00:00,36.0,12.1
10/24/2021 11:00:00,30.0,10.5
10/24/2021 12:00:00,37.0,11.2
10/24/2021 13:00:00,39.0,12.4
10/24/2021 14:00:00,39.0,14.4
10/24/2021 15:00:00,33.0,12.3
10/24/2021 16:00:00,15.0,5.1
10/24/2021 17:00:00,11.0,2.7
10/24/2021 18:00:00,14.0,2.9
10/24/2021 20:00:00,6.0,1.9
10/24/2021 21:00:00,4.0,1.4
10/24/2021 22:00:00,5.0,1.7
10/24/2021 23:00:00,7.0,2.0
10/25/2021 00:00:00,13.0,3.2
10/25/2021 01:00:00,11.0,3.4
10/25/2021 02:00:00,26.0,3.8
10/25/2021 03:00:00,28.0,4.6
10/25/2021 04:00:00,,5.2
10/25/2021 06:00:00,34.0,5.4
10/25/2021 07:00:00,40.0,6.7
10/25/2021 09:00:00,37.0,5.6
10/25/2021 11:00:00,35.0,5.4
10/25/2021 12:00:00,43.0,7.3
10/25/2021 13:00:00,45.0,12.6
10/25/2021 14:00:00,43.0,11.4
10/25/2021 16:00:00,41.0,11.1
10/25/2021 17:00:00,43.0,16.9
10/25/2021 18:00:00,39.0,18.9
10/25/2021 19:00:00,39.0,15.0
10/25/2021 20:00:00,,9.8
10/25/2021 21:00:00,,9.3
10/25/2021 22:00:00,34.0,10.3
10/25/2021 23:00:00,41.0,13.8
10/26/2021 00:00:00,49.0,14.5
10/26/2021 01:00:00,44.0,15.0
10/26/2021 02:00:00,50.0,18.7
10/26/2021 03:00:00,49.0,15.8
10/26/2021 04:00:00,,14.7
10/26/2021 05:00:00,47.0,14.4
10/26/2021 06:00:00,45.0,
10/26/2021 07:00:00,58.0,11.1
10/26/2021 09:00:00,48.0,6.5
10/26/2021 10:00:00,48.0,5.4
10/26/2021 12:00:00,47.0,9.1
10/26/2021 13:00:00,45.0,7.7
10/26/2021 14:00:00,53.0,11.2
10/26/2021 15:00:00,44.0,7.6
10/26/2021 17:00:00,33.0,7.1
10/26/2021 18:00:00,22.0,9.1
10/26/2021 19:00:00,35.0,5.5
10/26/2021 20:00:00,30.0,13.4
10/26/2021 22:00:00,18.0,4.0
10/26/2021 23:00:00,7.0,1.7
10/27/2021 00:00:00,19.0,4.0
10/27/2021 01:00:00,24.0,5.7
10/27/2021 03:00:00,3.0,0.6
10/27/2021 04:00:00,,0.7
10/27/2021 05:00:00,9.0,0.7
10/27/2021 06:00:00,15.0,2.5
10/27/2021 07:00:00,28.0,2.5
10/27/2021 09:00:00,30.0,2.9
10/27/2021 10:00:00,26.0,2.2
10/27/2021 11:00:00,17.0,2.1
10/27/2021 12:00:00,35.0,5.0
10/27/2021 13:00:00,49.0,9.2
10/27/2021 14:00:00,48.0,8.5
10/27/2021 15:00:00,38.0,5.2
10/27/2021 16:00:00,25.0,3.7
10/27/2021 18:00:00,18.0,4.3
10/27/2021 19:00:00,17.0,2.5
10/27/2021 20:00:00,14.0,2.3
10/27/2021 21:00:00,18.0,2.7
10/27/2021 22:00:00,22.0,2.8
10/27/2021 23:00:00,19.0,1.6
10/28/2021 00:00:00,28.0,2.8
10/28/2021 01:00:00,32.0,3.5
10/28/2021 02:00:00,44.0,6.2
10/28/2021 03:00:00,44.0,6.4
10/28/2021 04:00:00,,8.6
10/28/2021 05:00:00,43.0,7.5
10/28/2021 06:00:00,47.0,9.6
10/28/2021 07:00:00,44.0,8.7
10/28/2021 09:00:00,11.0,1.6
10/28/2021 10:00:00,27.0,2.0
10/28/2021 11:00:00,41.0,4.1
10/28/2021 12:00:00,42.0,4.4
10/28/2021 13:00:00,43.0,6.3
10/28/2021 14:00:00,40.0,7.6
10/28/2021 15:00:00,26.0,4.9
10/28/2021 16:00:00,22.0,3.7
10/28/2021 17:00:00,10.0,2.9
10/28/2021 19:00:00,12.0,4.5
10/28/2021 20:00:00,16.0,5.0
10/28/2021 21:00:00,13.0,6.3
10/29/2021 00:00:00,47.0,10.8
10/29/2021 01:00:00,49.0,13.0
10/29/2021 02:00:00,47.0,13.7
10/29/2021 03:00:00,42.0,10.5
10/29/2021 04:00:00,,10.5
10/29/2021 05:00:00,40.0,12.2
10/29/2021 06:00:00,34.0,8.4
10/29/2021 07:00:00,30.0,5.3
10/29/2021 09:00:00,22.0,2.8
10/29/2021 10:00:00,19.0,2.8
10/29/2021 11:00:00,29.0,3.5
10/29/2021 12:00:00,33.0,4.8
10/29/2021 13:00:00,36.0,6.0
10/29/2021 14:00:00,34.0,6.8
10/29/2021 15:00:00,37.0,8.9
10/29/2021 16:00:00,34.0,6.4
10/29/2021 18:00:00,13.0,1.9
10/29/2021 20:00:00,11.0,1.2
10/29/2021 21:00:00,18.0,2.6
10/29/2021 22:00:00,16.0,1.2
10/29/2021 23:00:00,27.0,4.0
10/30/2021 00:00:00,38.0,6.8
10/30/2021 01:00:00,42.0,6.1
10/30/2021 02:00:00,41.0,6.0
10/30/2021 03:00:00,41.0,8.9
10/30/2021 04:00:00,,6.4
10/30/2021 06:00:00,36.0,6.9
10/30/2021 07:00:00,33.0,5.7
10/30/2021 09:00:00,34.0,5.3
10/30/2021 11:00:00,42.0,3.7
10/30/2021 12:00:00,38.0,4.9
10/30/2021 13:00:00,36.0,4.0
10/30/2021 14:00:00,36.0,4.9
10/30/2021 16:00:00,42.0,6.1
10/30/2021 17:00:00,18.0,2.7
10/30/2021 18:00:00,7.0,0.9
10/30/2021 19:00:00,4.0,3.2
10/30/2021 20:00:00,3.0,2.8
10/30/2021 21:00:00,3.0,1.5
10/30/2021 22:00:00,3.0,1.5
10/30/2021 23:00:00,4.0,1.6
10/31/2021 00:00:00,4.0,1.5
10/31/2021 01:00:00,14.0,3.2
10/31/2021 02:00:00,20.0,3.3
10/31/2021 03:00:00,18.0,3.0
10/31/2021 04:00:00,,3.3
10/31/2021 05:00:00,9.0,3.3
10/31/2021 07:00:00,17.0,3.1
10/31/2021 09:00:00,8.0,2.2
10/31/2021 10:00:00,6.0,2.1
10/31/2021 12:00:00,9.0,2.2
10/31/2021 13:00:00,9.0,2.5
10/31/2021 14:00:00,12.0,2.8
10/31/2021 15:00:00,13.0,2.9
10/31/2021 17:00:00,14.0,3.5
10/31/2021 18:00:00,13.0,3.5
10/31/2021 19:00:00,13.0,4.6
10/31/2021 20:00:00,15.0,4.9
10/31/2021 21:00:00,19.0,5.5
10/31/2021 22:00:00,17.0,5.6
10/31/2021 23:00:00,18.0,6.1
                
