InstrumentName, The GrowHaus,,
StartTime, 2018-12-01 00:00:00,,
EndTime, 2018-12-31 23:59:59,,
Date,PM2.5,humidity,temp_f
12/17/2018 12:27:41.166666,17.5,40.0,48.0
12/17/2018 12:29:01.220000,17.14,40.0,48.0
12/17/2018 12:31:41.126666,16.15,40.0,48.0
12/17/2018 12:33:01.596666,17.67,40.0,48.0
12/17/2018 12:35:41.146666,19.32,40.0,48.0
12/17/2018 12:37:01.196666,17.57,40.0,48.0
12/17/2018 12:39:41.236666,16.0,40.0,48.0
12/17/2018 12:41:01.126666,16.02,40.0,48.0
12/17/2018 12:43:41.503333,12.88,40.0,46.666666666666664
12/17/2018 12:45:01.186666,15.1,40.0,46.666666666666664
12/17/2018 12:47:41.180000,14.15,40.0,46.666666666666664
12/17/2018 12:49:01.203333,13.12,40.0,46.666666666666664
12/17/2018 12:51:41.316666,15.1,40.0,46.666666666666664
12/17/2018 12:53:01.163333,17.98,41.0,46.666666666666664
12/17/2018 12:55:41.133333,15.0,40.0,46.666666666666664
12/17/2018 12:57:01.526666,13.49,40.0,46.666666666666664
12/17/2018 12:59:41.140000,13.4,40.0,46.666666666666664
12/17/2018 13:01:01.323333,17.12,40.0,46.666666666666664
12/17/2018 13:03:41.163333,15.68,41.0,46.666666666666664
12/17/2018 13:05:01.170000,14.65,41.0,46.666666666666664
12/17/2018 13:07:41.333333,16.9,41.0,46.666666666666664
12/17/2018 13:09:01.150000,15.51,41.0,46.666666666666664
12/17/2018 13:11:41.150000,14.15,41.0,46.666666666666664
12/17/2018 13:13:01.270000,15.76,41.0,46.666666666666664
12/17/2018 13:15:41.156666,13.98,40.0,48.0
12/17/2018 13:17:01.223333,15.32,40.0,46.666666666666664
12/17/2018 13:19:41.616666,10.9,40.0,46.666666666666664
12/17/2018 13:21:01.170000,12.59,40.0,46.666666666666664
12/17/2018 13:23:41.156666,10.98,40.0,46.666666666666664
12/17/2018 13:25:01.160000,12.07,40.0,46.666666666666664
12/17/2018 13:27:41.150000,12.12,40.0,46.666666666666664
12/17/2018 13:29:01.156666,10.51,40.0,46.666666666666664
12/17/2018 13:31:41.196666,12.98,41.0,46.666666666666664
12/17/2018 13:33:01.166666,14.34,41.0,46.666666666666664
12/17/2018 13:35:41.190000,12.71,41.0,46.666666666666664
12/17/2018 13:37:01.186666,12.05,41.0,46.666666666666664
12/17/2018 13:39:41.186666,10.8,40.0,46.666666666666664
12/17/2018 13:41:01.170000,8.71,40.0,46.666666666666664
12/17/2018 13:43:41.186666,7.31,40.0,46.666666666666664
12/17/2018 13:45:01.186666,6.36,40.0,46.666666666666664
12/17/2018 13:47:41.206666,7.4,39.0,46.666666666666664
12/17/2018 13:57:01.246666,24.98,39.0,48.0
12/17/2018 13:59:41.170000,21.56,39.0,48.0
12/17/2018 14:01:01.210000,18.39,39.0,46.666666666666664
12/17/2018 14:03:41.203333,10.27,40.0,46.666666666666664
12/17/2018 14:05:01.183333,9.4,40.0,46.666666666666664
12/17/2018 14:07:41.283333,9.24,40.0,46.666666666666664
12/17/2018 14:09:01.303333,9.4,40.0,46.666666666666664
12/17/2018 14:11:41.240000,8.27,40.0,48.0
12/17/2018 14:13:01.256666,5.05,39.0,48.0
12/17/2018 14:15:41.180000,5.36,39.0,48.0
12/17/2018 14:17:01.183333,4.44,39.0,48.0
12/17/2018 14:19:41.233333,4.34,38.0,48.0
12/17/2018 14:21:01.233333,5.26,38.0,48.0
12/17/2018 14:23:41.183333,5.0,38.0,48.0
12/17/2018 14:25:01.273333,4.85,38.0,48.0
12/17/2018 14:27:41.290000,3.55,38.0,48.0
12/17/2018 14:29:01.203333,4.37,37.0,49.333333333333336
12/17/2018 14:31:41.190000,3.83,37.0,49.333333333333336
12/17/2018 14:33:02.000000,4.2,37.0,49.333333333333336
12/17/2018 14:35:41.236666,4.48,37.0,50.666666666666664
12/17/2018 14:37:01.206666,5.07,36.0,52.0
12/17/2018 14:39:41.220000,4.1,35.0,53.333333333333336
12/17/2018 14:41:01.210000,5.17,35.0,54.666666666666664
12/17/2018 14:43:41.213333,4.62,33.0,56.0
12/17/2018 14:45:01.236666,4.62,33.0,56.0
12/17/2018 14:47:41.213333,3.83,32.0,58.666666666666664
12/17/2018 14:49:01.210000,3.83,31.0,58.666666666666664
12/17/2018 14:51:42.246666,3.17,30.0,58.666666666666664
12/17/2018 14:53:01.256666,3.85,29.0,60.0
12/17/2018 14:55:41.236666,4.39,28.0,61.333333333333336
12/17/2018 14:57:01.220000,3.64,28.0,62.666666666666664
12/17/2018 14:59:41.263333,2.9,27.0,62.666666666666664
12/17/2018 15:01:01.276666,3.17,26.0,64.0
12/17/2018 15:03:41.310000,3.54,25.0,64.0
12/17/2018 15:05:01.350000,4.15,25.0,65.33333333333333
12/17/2018 15:07:41.246666,3.63,24.0,66.66666666666667
12/17/2018 15:09:01.276666,3.19,24.0,66.66666666666667
12/17/2018 15:11:41.223333,2.38,23.0,68.0
12/17/2018 15:13:01.203333,2.98,23.0,68.0
12/17/2018 15:15:41.243333,3.1,22.0,70.66666666666667
12/17/2018 15:17:01.326666,3.51,22.0,70.66666666666667
12/17/2018 15:19:41.253333,3.05,21.0,72.0
12/17/2018 15:21:01.260000,2.64,21.0,72.0
12/17/2018 15:23:41.240000,3.0,20.0,73.33333333333333
12/17/2018 15:25:01.326666,2.22,20.0,73.33333333333333
12/17/2018 15:27:41.273333,2.05,20.0,73.33333333333333
12/17/2018 15:29:01.243333,2.33,19.0,73.33333333333333
