InstrumentName, Chatfield Park,
StartTime, 2019-07-01 00:00:00,
EndTime, 2019-07-31 23:59:59,
Date,O3,PM2.5
07/28/2019 01:00:00.000000,55.0,4.0
07/28/2019 02:00:00.000000,52.0,3.9
07/28/2019 03:00:00.000000,50.0,5.1
07/28/2019 04:00:00.000000,43.0,8.1
07/28/2019 05:00:00.000000,38.0,7.1
07/28/2019 06:00:00.000000,28.0,5.9
07/28/2019 07:00:00.000000,29.0,5.2
07/28/2019 08:00:00.000000,28.0,4.9
07/28/2019 09:00:00.000000,25.0,4.8
07/28/2019 10:00:00.000000,21.0,4.8
07/28/2019 11:00:00.000000,22.0,4.8
07/28/2019 12:00:00.000000,20.0,4.7
07/28/2019 13:00:00.000000,21.0,4.7
07/28/2019 14:00:00.000000,23.0,4.8
07/28/2019 15:00:00.000000,34.0,5.1
07/28/2019 16:00:00.000000,35.0,5.1
07/28/2019 17:00:00.000000,50.0,5.2
07/28/2019 18:00:00.000000,46.0,5.3
07/28/2019 19:00:00.000000,52.0,5.7
07/28/2019 20:00:00.000000,54.0,5.9
07/28/2019 21:00:00.000000,55.0,6.1
07/28/2019 22:00:00.000000,55.0,6.2
07/28/2019 23:00:00.000000,55.0,6.3
07/29/2019 00:00:00.000000,55.0,6.5
07/29/2019 01:00:00.000000,55.0,6.8
07/29/2019 02:00:00.000000,49.0,8.5
07/29/2019 03:00:00.000000,45.0,9.2
07/29/2019 04:00:00.000000,43.0,8.2
07/29/2019 05:00:00.000000,39.0,7.8
07/29/2019 06:00:00.000000,36.0,7.6
07/29/2019 07:00:00.000000,34.0,7.6
07/29/2019 08:00:00.000000,35.0,7.6
07/29/2019 09:00:00.000000,33.0,7.7
07/29/2019 10:00:00.000000,33.0,7.9
07/29/2019 11:00:00.000000,31.0,7.9
07/29/2019 12:00:00.000000,28.0,8.6
07/29/2019 13:00:00.000000,27.0,9.0
07/29/2019 14:00:00.000000,28.0,9.0
07/29/2019 15:00:00.000000,31.0,9.0
07/29/2019 16:00:00.000000,37.0,9.3
07/29/2019 17:00:00.000000,41.0,8.8
07/29/2019 18:00:00.000000,53.0,8.0
07/29/2019 19:00:00.000000,54.0,8.2
07/29/2019 20:00:00.000000,52.0,7.8
07/29/2019 21:00:00.000000,52.0,7.3
07/29/2019 22:00:00.000000,52.0,6.7
07/29/2019 23:00:00.000000,51.0,6.0
07/30/2019 00:00:00.000000,51.0,5.3
07/30/2019 01:00:00.000000,50.0,5.1
