InstrumentName, Wash Park West,,
StartTime, 2019-07-01 00:00:00,,
EndTime, 2019-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2019 10:30:15.526000,4.707070707070708,50.0,74.0
07/01/2019 10:32:15.640000,5.02020202020202,50.0,74.0
07/01/2019 10:34:15.559000,4.904040404040405,50.0,74.0
07/01/2019 10:36:15.584000,5.196969696969696,50.0,74.0
07/01/2019 10:38:16.008000,4.91919191919192,50.0,74.0
07/01/2019 10:40:16.238000,4.545454545454546,51.0,74.0
07/01/2019 10:42:15.547000,4.873737373737374,50.0,74.0
07/01/2019 10:44:15.589000,4.7727272727272725,51.0,74.0
07/01/2019 10:46:15.585000,4.9393939393939394,51.0,74.0
07/01/2019 10:48:15.578000,4.974747474747475,51.0,74.0
07/01/2019 10:50:15.597000,4.641414141414141,51.0,74.0
07/01/2019 10:52:15.597000,4.545454545454546,51.0,74.0
07/01/2019 10:54:15.602000,4.91919191919192,51.0,74.0
07/01/2019 10:56:15.539000,4.656565656565657,51.0,74.0
07/01/2019 10:58:15.598000,4.6313131313131315,51.0,74.0
07/01/2019 11:00:15.650000,4.671717171717172,51.0,74.0
07/01/2019 11:02:15.562000,4.53030303030303,51.0,74.0
07/01/2019 11:04:15.599000,4.5,52.0,73.0
07/01/2019 11:06:15.602000,4.888888888888888,52.0,73.0
07/01/2019 11:08:15.575000,4.732323232323232,52.0,73.0
07/01/2019 11:10:15.596000,5.7020202020202015,53.0,73.0
07/01/2019 11:12:15.589000,5.616161616161616,53.0,73.0
07/01/2019 11:14:15.578000,5.171717171717172,53.0,73.0
07/01/2019 11:16:15.621000,5.287878787878788,53.0,73.0
07/01/2019 11:18:15.616000,5.1565656565656575,53.0,73.0
07/01/2019 11:20:16.012000,4.767676767676767,53.0,73.0
07/01/2019 11:22:15.613000,5.287878787878788,54.0,73.0
07/01/2019 11:24:15.618000,5.898989898989899,54.0,73.0
07/01/2019 11:26:15.649000,5.974747474747475,54.0,73.0
07/01/2019 11:28:15.646000,6.075757575757575,55.0,73.0
07/01/2019 11:30:15.581000,5.7020202020202015,55.0,73.0
07/01/2019 11:32:15.674000,5.712121212121213,55.0,73.0
07/01/2019 11:34:15.587000,5.343434343434343,54.0,73.0
07/01/2019 11:36:15.578000,5.343434343434343,54.0,72.0
07/01/2019 11:38:15.985000,5.494949494949496,55.0,72.0
07/01/2019 11:40:15.600000,6.212121212121213,55.0,72.0
07/01/2019 11:42:15.662000,6.121212121212121,55.0,72.0
07/01/2019 11:44:15.609000,6.075757575757575,55.0,72.0
07/01/2019 11:46:15.623000,5.7727272727272725,55.0,72.0
07/01/2019 11:48:15.630000,5.085858585858586,55.0,72.0
07/01/2019 11:50:15.669000,5.202020202020202,55.0,72.0
07/01/2019 11:52:15.632000,6.383838383838384,55.0,72.0
07/01/2019 11:54:15.675000,6.262626262626263,55.0,72.0
07/01/2019 11:56:15.680000,5.393939393939394,55.0,72.0
07/01/2019 11:58:15.609000,5.237373737373737,55.0,72.0
07/01/2019 12:00:15.667000,5.737373737373737,55.0,72.0
07/01/2019 12:02:15.613000,5.101010101010101,55.0,71.0
07/01/2019 12:04:15.656000,4.974747474747475,55.0,71.0
07/01/2019 12:06:15.601000,5.454545454545455,55.0,71.0
07/01/2019 12:08:15.649000,5.4646464646464645,55.0,71.0
07/01/2019 12:10:15.601000,5.6060606060606055,55.0,71.0
07/01/2019 12:12:15.617000,5.368686868686869,56.0,71.0
07/01/2019 12:14:15.648000,5.1767676767676765,56.0,71.0
