InstrumentName, Woods Park B,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2018 11:20:14.000000,4.65,7.72,6.58
05/01/2018 11:22:52.000000,4.58,6.74,6.3
05/01/2018 11:25:32.000000,4.95,7.64,6.77
05/01/2018 11:29:32.000000,4.76,7.29,6.76
05/01/2018 11:32:12.000000,5.0,7.81,7.26
05/01/2018 11:34:52.000000,4.98,7.61,6.68
05/01/2018 11:37:32.000000,4.93,7.02,6.81
05/01/2018 11:41:32.000000,5.0,9.0,7.88
05/01/2018 11:44:12.000000,5.44,8.3,7.58
05/01/2018 11:46:52.000000,5.19,9.33,7.33
05/01/2018 11:49:32.000000,5.3,8.44,7.42
05/01/2018 11:53:32.000000,4.62,7.55,6.86
05/01/2018 11:56:12.000000,4.9,7.93,7.07
05/01/2018 11:58:52.000000,5.12,8.65,7.35
05/01/2018 12:01:32.000000,5.59,8.33,7.79
05/01/2018 12:05:32.000000,4.91,7.88,7.09
05/01/2018 12:08:12.000000,5.71,9.07,8.12
05/01/2018 12:10:52.000000,5.39,8.07,7.16
05/01/2018 12:13:32.000000,5.76,9.45,8.45
05/01/2018 12:17:32.000000,5.14,8.36,7.5
05/01/2018 12:20:13.000000,5.28,8.88,8.21
05/01/2018 12:22:53.000000,5.2,9.17,7.73
05/01/2018 12:25:32.000000,5.79,9.33,8.57
05/01/2018 12:29:32.000000,5.65,7.81,7.67
05/01/2018 12:32:12.000000,6.09,8.91,8.4
05/01/2018 12:34:52.000000,5.61,8.73,8.51
05/01/2018 12:37:32.000000,5.28,9.05,7.64
05/01/2018 12:41:32.000000,4.7,7.7,6.21
05/01/2018 12:44:12.000000,5.14,6.88,6.72
05/01/2018 12:46:52.000000,5.03,7.53,7.43
05/01/2018 12:49:32.000000,4.87,7.79,7.05
05/01/2018 12:53:32.000000,4.28,6.23,5.81
05/01/2018 12:56:12.000000,4.26,6.56,6.47
05/01/2018 12:58:55.000000,4.95,7.4,7.0
05/01/2018 13:01:33.000000,4.23,7.37,6.35
05/01/2018 13:05:32.000000,4.28,7.05,5.79
05/01/2018 13:08:12.000000,3.69,6.12,4.98
05/01/2018 13:10:52.000000,3.74,6.21,5.05
05/01/2018 13:14:52.000000,3.98,5.67,5.4
05/01/2018 13:17:32.000000,3.75,6.66,5.7
05/01/2018 13:20:12.000000,3.12,6.64,4.83
05/01/2018 13:22:52.000000,3.24,5.24,5.07
05/01/2018 13:25:32.000000,3.26,4.98,4.4
05/01/2018 13:29:32.000000,4.05,6.0,5.73
05/01/2018 13:32:13.000000,3.74,6.31,5.48
05/01/2018 13:34:52.000000,3.79,5.81,5.49
05/01/2018 13:37:32.000000,3.1,5.05,4.88
05/01/2018 13:41:32.000000,3.83,6.1,5.62
05/01/2018 13:44:12.000000,3.67,5.86,5.6
05/01/2018 13:46:52.000000,3.57,6.57,5.43
05/01/2018 13:49:32.000000,3.28,4.98,4.98
05/01/2018 13:53:32.000000,2.91,5.37,4.84
05/01/2018 13:56:12.000000,3.57,5.93,5.29
05/01/2018 13:58:52.000000,3.19,5.37,4.44
05/01/2018 14:01:32.000000,3.51,6.53,5.35
05/01/2018 14:05:32.000000,2.91,4.81,4.56
05/01/2018 14:08:12.000000,3.4,5.19,5.12
05/01/2018 14:10:55.000000,3.79,5.3,5.05
05/01/2018 14:13:32.000000,4.33,7.19,6.28
05/01/2018 14:17:32.000000,3.59,6.41,6.05
05/01/2018 14:20:14.000000,3.56,5.71,4.9
05/01/2018 14:22:52.000000,3.37,5.67,5.4
05/01/2018 14:25:32.000000,3.93,5.4,5.4
05/01/2018 14:29:32.000000,3.37,4.98,4.74
05/01/2018 14:32:12.000000,3.72,6.35,5.74
05/01/2018 14:34:52.000000,3.62,6.64,5.62
05/01/2018 14:37:32.000000,3.02,5.12,4.69
05/01/2018 14:41:34.000000,3.63,5.7,5.3
05/01/2018 14:44:12.000000,2.86,4.4,4.29
05/01/2018 14:46:52.000000,2.93,4.85,4.68
05/01/2018 14:49:32.000000,2.72,4.7,4.51
05/01/2018 14:53:32.000000,2.77,4.0,3.8
05/01/2018 14:56:13.000000,7.36,9.6,9.29
05/01/2018 14:58:52.000000,6.33,8.57,7.67
05/01/2018 15:01:32.000000,14.55,15.95,15.74
05/01/2018 15:05:32.000000,17.84,19.84,19.02
05/01/2018 15:08:12.000000,26.02,27.58,27.19
05/01/2018 15:10:52.000000,17.05,19.0,18.52
05/01/2018 15:13:32.000000,18.76,19.74,19.63
05/01/2018 15:17:32.000000,11.71,13.39,13.32
05/01/2018 15:20:12.000000,9.7,12.12,11.6
05/01/2018 15:22:52.000000,8.98,10.35,10.35
05/01/2018 15:25:32.000000,10.74,12.62,12.13
05/01/2018 15:29:32.000000,12.39,15.24,14.37
05/01/2018 15:32:12.000000,16.95,18.54,17.95
05/01/2018 15:34:52.000000,11.56,13.83,13.54
05/01/2018 15:37:32.000000,51.54,53.8,53.15
05/01/2018 15:41:32.000000,28.38,30.12,29.63
05/01/2018 15:44:13.000000,12.0,14.17,13.83
05/01/2018 15:46:52.000000,8.21,11.48,10.6
05/01/2018 15:49:32.000000,11.97,13.64,13.05
05/01/2018 15:53:32.000000,16.37,18.02,17.7
05/01/2018 15:56:12.000000,4.62,6.31,5.88
05/01/2018 15:58:52.000000,13.95,16.07,15.6
05/01/2018 16:01:32.000000,13.19,16.21,14.81
05/01/2018 16:05:32.000000,9.44,11.05,10.65
05/01/2018 16:08:13.000000,5.48,7.21,6.76
05/01/2018 16:10:53.000000,5.75,7.62,6.95
05/01/2018 16:13:32.000000,3.63,5.33,4.91
05/01/2018 16:17:32.000000,2.79,4.79,4.74
05/01/2018 16:20:12.000000,2.93,4.52,4.1
05/01/2018 16:22:52.000000,2.93,5.19,4.33
05/01/2018 16:25:32.000000,3.23,5.47,5.23
05/01/2018 16:29:32.000000,1.81,3.79,3.4
05/01/2018 16:32:12.000000,1.66,3.17,2.9
05/01/2018 16:34:52.000000,2.7,3.5,3.41
05/01/2018 16:37:33.000000,2.57,4.05,3.9
05/01/2018 16:41:33.000000,2.1,3.25,3.05
05/01/2018 16:44:12.000000,1.52,2.86,2.62
05/01/2018 16:46:52.000000,1.9,3.08,3.08
05/01/2018 16:49:32.000000,1.6,3.3,2.67
05/01/2018 16:53:32.000000,1.93,3.21,3.07
05/01/2018 16:56:12.000000,1.42,2.91,2.02
05/01/2018 16:58:52.000000,2.33,3.38,3.02
05/01/2018 17:01:33.000000,1.4,1.91,1.91
05/01/2018 17:05:34.000000,1.81,2.91,2.91
05/01/2018 17:08:12.000000,1.38,2.83,2.55
05/01/2018 17:10:52.000000,1.86,2.47,2.21
05/01/2018 17:13:32.000000,1.72,3.19,2.7
05/01/2018 17:17:32.000000,1.05,2.2,1.98
05/01/2018 17:20:12.000000,1.77,3.05,2.79
05/01/2018 17:22:52.000000,1.39,2.49,2.17
05/01/2018 17:25:32.000000,1.4,2.35,2.35
05/01/2018 17:29:34.000000,0.79,2.5,2.21
05/01/2018 17:32:12.000000,1.57,2.92,2.92
05/01/2018 17:34:55.000000,2.18,3.16,2.52
05/01/2018 17:38:52.000000,2.0,3.38,3.38
05/01/2018 17:41:34.000000,2.1,3.29,2.86
05/01/2018 17:44:12.000000,2.19,3.95,3.38
05/01/2018 17:46:52.000000,2.03,3.16,2.82
05/01/2018 17:49:32.000000,2.26,2.98,2.74
05/01/2018 17:53:32.000000,2.08,2.55,2.45
05/01/2018 17:56:23.000000,1.82,3.05,3.05
05/01/2018 17:58:52.000000,2.14,4.5,3.79
05/01/2018 18:01:32.000000,1.97,2.84,2.76
05/01/2018 18:05:32.000000,1.49,3.37,2.86
05/01/2018 18:08:12.000000,1.95,2.79,2.5
05/01/2018 18:10:52.000000,1.3,2.3,2.3
05/01/2018 18:13:32.000000,1.58,2.84,2.67
05/01/2018 18:17:32.000000,1.41,2.83,2.1
05/01/2018 18:20:16.000000,1.67,3.4,2.84
05/01/2018 18:22:52.000000,1.16,1.84,1.84
05/01/2018 18:25:32.000000,1.88,2.77,2.49
05/01/2018 18:29:32.000000,1.0,2.12,1.76
05/01/2018 18:32:12.000000,1.28,2.58,2.21
05/01/2018 18:34:52.000000,1.23,2.65,2.23
05/01/2018 18:37:32.000000,1.41,2.27,2.27
05/01/2018 18:41:32.000000,1.02,1.7,1.7
05/01/2018 18:44:13.000000,1.76,2.81,2.48
05/01/2018 18:46:52.000000,1.24,1.73,1.73
05/01/2018 18:49:32.000000,1.05,2.25,1.95
05/01/2018 18:53:32.000000,1.62,2.38,2.31
05/01/2018 18:56:12.000000,0.79,1.54,1.54
05/01/2018 18:58:52.000000,0.98,1.81,1.81
05/01/2018 19:01:32.000000,1.09,2.12,1.93
05/01/2018 19:05:32.000000,1.2,1.9,1.9
05/01/2018 19:08:12.000000,1.29,1.98,1.9
05/01/2018 19:10:52.000000,0.91,1.84,1.67
05/01/2018 19:13:32.000000,1.21,2.83,2.14
05/01/2018 19:17:32.000000,1.47,2.09,1.91
05/01/2018 19:20:12.000000,1.5,1.71,1.71
05/01/2018 19:22:52.000000,1.39,2.18,1.95
05/01/2018 19:25:32.000000,0.48,1.52,1.45
05/01/2018 19:29:32.000000,1.36,2.29,2.29
05/01/2018 19:32:12.000000,0.93,1.75,1.75
05/01/2018 19:34:52.000000,1.12,2.61,1.93
05/01/2018 19:37:32.000000,0.7,1.35,1.35
05/01/2018 19:41:32.000000,0.67,1.6,1.42
05/01/2018 19:44:12.000000,1.8,2.92,2.33
05/01/2018 19:46:52.000000,1.43,1.86,1.86
05/01/2018 19:49:32.000000,1.56,2.28,1.95
05/01/2018 19:53:32.000000,0.61,1.32,1.24
05/01/2018 19:56:12.000000,1.29,2.17,2.17
05/01/2018 19:58:52.000000,1.23,2.07,1.91
05/01/2018 20:01:32.000000,0.98,1.84,1.84
05/01/2018 20:05:32.000000,1.07,3.12,2.05
05/01/2018 20:08:12.000000,1.23,2.3,1.95
05/01/2018 20:10:52.000000,1.78,2.34,2.32
05/01/2018 20:13:32.000000,1.88,2.71,2.54
05/01/2018 20:17:32.000000,1.74,2.21,2.21
05/01/2018 20:20:12.000000,1.83,3.31,2.95
05/01/2018 20:22:52.000000,1.98,2.71,2.56
05/01/2018 20:25:32.000000,1.29,2.88,2.21
05/01/2018 20:29:32.000000,0.91,2.12,2.12
05/01/2018 20:32:12.000000,1.78,2.76,2.51
05/01/2018 20:34:53.000000,1.4,2.62,2.62
05/01/2018 20:37:32.000000,0.98,2.51,2.47
05/01/2018 20:41:32.000000,1.45,2.62,2.26
05/01/2018 20:44:12.000000,1.93,3.05,2.63
05/01/2018 20:46:52.000000,1.26,2.23,2.02
05/01/2018 20:49:32.000000,1.81,3.07,2.55
05/01/2018 20:53:32.000000,1.9,3.21,2.62
05/01/2018 20:56:12.000000,1.84,2.95,2.81
05/01/2018 20:58:52.000000,1.29,2.29,2.14
05/01/2018 21:01:32.000000,1.57,2.38,2.05
05/01/2018 21:05:32.000000,1.52,2.64,2.64
05/01/2018 21:08:12.000000,1.07,2.21,1.88
05/01/2018 21:10:52.000000,1.69,3.1,2.5
05/01/2018 21:13:32.000000,2.07,3.14,2.74
05/01/2018 21:17:32.000000,1.93,3.63,2.93
05/01/2018 21:20:12.000000,2.0,2.76,2.76
05/01/2018 21:22:52.000000,1.58,2.07,1.88
05/01/2018 21:25:32.000000,2.07,2.79,2.79
05/01/2018 21:29:32.000000,1.69,2.4,2.4
05/01/2018 21:32:12.000000,1.9,2.36,2.19
05/01/2018 21:34:52.000000,1.09,2.07,1.93
05/01/2018 21:37:32.000000,2.2,2.87,2.65
05/01/2018 21:41:32.000000,1.53,2.12,2.12
05/01/2018 21:44:12.000000,2.1,3.24,2.95
05/01/2018 21:46:52.000000,1.98,3.21,2.9
05/01/2018 21:50:52.000000,2.37,3.51,3.16
05/01/2018 21:53:39.000000,2.0,3.0,2.71
05/01/2018 21:56:12.000000,2.21,3.93,2.79
05/01/2018 21:58:52.000000,2.07,3.79,2.88
05/01/2018 22:01:32.000000,2.12,3.67,2.91
05/01/2018 22:05:32.000000,1.73,3.24,2.8
05/01/2018 22:08:12.000000,2.12,3.86,3.56
05/01/2018 22:10:52.000000,1.64,2.5,2.5
05/01/2018 22:13:36.000000,2.37,3.95,3.3
05/01/2018 22:17:32.000000,1.77,3.69,3.0
05/01/2018 22:20:13.000000,2.4,3.6,3.31
05/01/2018 22:22:52.000000,1.75,3.33,2.72
05/01/2018 22:25:32.000000,2.17,3.14,2.64
05/01/2018 22:29:32.000000,1.88,2.74,2.74
05/01/2018 22:32:12.000000,2.37,3.3,3.16
05/01/2018 22:34:52.000000,2.0,3.33,3.05
05/01/2018 22:37:32.000000,2.0,2.81,2.67
05/01/2018 22:41:32.000000,1.74,2.98,2.74
05/01/2018 22:44:12.000000,2.36,3.36,3.17
05/01/2018 22:46:52.000000,1.38,2.6,2.6
05/01/2018 22:49:32.000000,2.09,3.6,3.44
05/01/2018 22:53:32.000000,1.9,3.34,2.9
05/01/2018 22:56:12.000000,2.51,4.22,3.41
05/01/2018 22:58:52.000000,3.19,4.6,4.4
05/01/2018 23:01:32.000000,1.93,3.0,2.76
05/01/2018 23:05:32.000000,2.29,3.29,3.05
05/01/2018 23:08:12.000000,2.76,3.9,3.76
05/01/2018 23:11:07.000000,2.19,3.05,2.93
05/01/2018 23:13:32.000000,2.05,3.71,3.52
05/01/2018 23:17:32.000000,2.33,3.28,3.28
05/01/2018 23:20:12.000000,2.28,2.86,2.7
05/01/2018 23:22:52.000000,1.79,3.14,3.14
05/01/2018 23:25:32.000000,2.0,2.98,2.93
05/01/2018 23:29:32.000000,2.0,3.33,2.88
05/01/2018 23:32:12.000000,2.33,3.81,3.69
