InstrumentName, Woods Park,,
StartTime, 2022-05-01 00:00:00,,
EndTime, 2022-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2022 05:34:47.000000,2.82,4.14,3.96
05/01/2022 05:36:47.000000,3.12,3.93,3.88
05/01/2022 05:38:47.000000,2.76,4.15,3.97
05/01/2022 05:40:47.000000,2.25,3.44,3.14
05/01/2022 05:44:47.000000,2.83,4.16,3.72
05/01/2022 05:46:47.000000,2.98,4.05,3.93
05/01/2022 05:48:47.000000,2.57,3.22,3.22
05/01/2022 05:50:47.000000,2.56,3.67,3.46
05/01/2022 05:52:47.000000,2.38,3.27,3.14
05/01/2022 05:54:47.000000,2.07,2.71,2.71
05/01/2022 05:56:47.000000,1.95,3.17,2.58
05/01/2022 05:58:47.000000,1.57,2.71,2.31
05/01/2022 06:02:47.000000,1.12,1.75,1.75
05/01/2022 06:04:47.000000,1.58,2.39,2.19
05/01/2022 06:06:47.000000,1.33,2.36,2.07
05/01/2022 06:08:47.000000,1.05,1.7,1.7
05/01/2022 06:10:48.000000,1.44,2.17,2.02
05/01/2022 06:12:48.000000,1.39,2.02,1.82
05/01/2022 06:14:48.000000,1.12,2.05,1.65
05/01/2022 06:18:50.000000,0.85,2.08,2.02
05/01/2022 06:20:48.000000,1.58,2.11,2.05
05/01/2022 06:22:48.000000,1.29,2.27,1.8
05/01/2022 06:24:48.000000,1.37,1.86,1.86
05/01/2022 06:26:48.000000,1.4,2.16,2.12
05/01/2022 06:28:48.000000,1.29,2.12,1.95
05/01/2022 06:30:48.000000,1.41,2.3,2.25
05/01/2022 06:34:48.000000,1.1,1.92,1.73
05/01/2022 06:36:48.000000,0.93,1.76,1.5
05/01/2022 06:38:48.000000,0.91,1.39,1.39
05/01/2022 06:40:48.000000,1.05,1.81,1.81
05/01/2022 06:42:48.000000,0.69,1.34,1.34
05/01/2022 06:44:48.000000,1.2,1.92,1.75
05/01/2022 06:46:48.000000,1.29,2.02,1.8
05/01/2022 06:48:48.000000,0.63,1.3,1.18
05/01/2022 06:52:48.000000,1.08,1.73,1.73
05/01/2022 06:56:48.000000,1.14,2.11,1.84
05/01/2022 06:58:48.000000,1.36,1.8,1.8
05/01/2022 07:02:48.000000,1.02,2.44,2.05
05/01/2022 07:04:48.000000,1.14,1.84,1.77
05/01/2022 07:06:48.000000,1.17,2.16,2.03
05/01/2022 07:08:48.000000,1.23,1.87,1.7
05/01/2022 07:10:48.000000,1.52,2.41,2.31
05/01/2022 07:12:48.000000,1.72,2.57,2.48
05/01/2022 07:14:48.000000,0.75,2.02,1.78
05/01/2022 07:16:48.000000,1.56,2.23,2.07
05/01/2022 07:18:48.000000,1.36,2.41,2.2
05/01/2022 07:20:48.000000,0.95,1.68,1.61
05/01/2022 07:22:48.000000,1.66,2.61,2.49
05/01/2022 07:24:48.000000,1.39,2.18,2.11
05/01/2022 07:26:48.000000,0.91,2.29,1.89
05/01/2022 07:28:48.000000,1.62,2.34,2.34
05/01/2022 07:30:48.000000,1.78,2.29,2.19
05/01/2022 07:34:48.000000,1.75,2.46,2.38
05/01/2022 07:36:48.000000,1.58,2.54,2.41
05/01/2022 07:38:48.000000,1.9,2.59,2.32
05/01/2022 07:40:48.000000,1.55,2.07,2.07
05/01/2022 07:42:48.000000,1.84,2.55,2.39
05/01/2022 07:44:48.000000,1.65,2.37,2.37
05/01/2022 07:46:48.000000,1.43,2.27,1.97
05/01/2022 07:48:48.000000,1.88,3.17,2.97
05/01/2022 07:50:48.000000,2.02,2.82,2.46
05/01/2022 07:52:48.000000,1.95,2.54,2.33
05/01/2022 07:54:48.000000,2.25,3.22,3.08
05/01/2022 07:56:48.000000,2.14,2.9,2.9
05/01/2022 07:58:48.000000,1.28,2.4,2.28
05/01/2022 08:00:48.000000,1.64,2.68,2.36
05/01/2022 08:02:48.000000,1.78,2.8,2.59
05/01/2022 08:04:48.000000,1.98,2.66,2.66
05/01/2022 08:06:48.000000,1.71,2.36,2.36
05/01/2022 08:10:49.000000,1.98,2.68,2.53
05/01/2022 08:12:49.000000,2.11,3.07,2.96
05/01/2022 08:14:49.000000,2.18,3.23,3.02
05/01/2022 08:16:49.000000,2.31,3.12,2.91
05/01/2022 08:18:49.000000,2.63,4.37,3.8
05/01/2022 08:20:49.000000,1.79,3.0,2.67
05/01/2022 08:22:49.000000,1.84,3.0,2.86
05/01/2022 08:24:49.000000,2.32,3.62,3.48
05/01/2022 08:26:49.000000,2.55,3.38,3.3
05/01/2022 08:28:49.000000,2.03,3.36,3.16
05/01/2022 08:32:49.000000,2.62,3.64,3.64
05/01/2022 08:34:49.000000,2.48,3.22,2.92
05/01/2022 08:38:49.000000,2.04,3.18,2.96
05/01/2022 08:40:49.000000,2.53,3.44,3.35
05/01/2022 08:42:49.000000,2.24,3.19,3.1
05/01/2022 08:44:49.000000,1.97,3.2,3.0
05/01/2022 08:46:49.000000,2.18,3.39,3.29
05/01/2022 08:48:49.000000,2.63,3.75,3.56
05/01/2022 08:50:49.000000,2.19,3.19,3.03
05/01/2022 08:52:49.000000,2.47,3.18,3.18
05/01/2022 08:54:49.000000,1.7,2.51,2.3
05/01/2022 08:56:49.000000,1.52,2.96,2.36
05/01/2022 08:58:49.000000,1.92,2.82,2.68
05/01/2022 09:00:49.000000,2.07,3.66,3.34
05/01/2022 09:02:49.000000,2.73,3.59,3.34
05/01/2022 09:04:49.000000,3.11,4.14,4.14
05/01/2022 09:06:49.000000,2.47,4.48,4.02
05/01/2022 09:08:49.000000,2.38,4.22,3.57
05/01/2022 09:10:49.000000,3.02,4.12,4.12
05/01/2022 09:12:50.000000,3.05,4.35,4.07
05/01/2022 09:14:50.000000,2.69,3.76,3.76
05/01/2022 09:16:50.000000,3.11,4.63,4.28
05/01/2022 09:18:50.000000,2.52,3.71,3.55
05/01/2022 09:20:50.000000,2.22,3.55,3.47
05/01/2022 09:22:50.000000,1.95,3.19,3.08
05/01/2022 09:24:50.000000,2.16,3.56,3.21
05/01/2022 09:26:50.000000,2.57,4.23,3.75
05/01/2022 09:30:50.000000,2.56,3.93,3.75
05/01/2022 09:32:50.000000,2.78,3.91,3.66
05/01/2022 09:34:50.000000,2.45,3.38,3.3
05/01/2022 09:36:50.000000,2.66,4.16,3.59
05/01/2022 09:38:50.000000,3.77,4.93,4.72
05/01/2022 09:40:50.000000,3.07,4.24,3.98
05/01/2022 09:42:50.000000,2.86,4.05,3.96
05/01/2022 09:44:50.000000,3.29,4.55,4.21
05/01/2022 09:46:50.000000,2.88,4.42,3.92
05/01/2022 09:48:50.000000,3.66,4.66,4.59
05/01/2022 09:50:50.000000,3.82,5.64,5.54
05/01/2022 09:54:50.000000,4.05,5.73,5.46
05/01/2022 09:56:50.000000,3.4,4.4,4.32
05/01/2022 09:58:50.000000,3.14,4.75,4.44
05/01/2022 10:00:50.000000,3.09,4.32,4.2
05/01/2022 10:02:50.000000,2.87,4.5,4.35
05/01/2022 10:06:50.000000,3.03,4.6,4.47
05/01/2022 10:08:50.000000,3.74,4.63,4.54
05/01/2022 10:10:50.000000,3.44,5.12,4.54
05/01/2022 10:12:50.000000,3.7,5.42,5.02
05/01/2022 10:14:50.000000,3.3,4.88,4.67
05/01/2022 10:16:50.000000,3.48,5.43,5.37
05/01/2022 10:18:50.000000,4.2,5.92,5.85
05/01/2022 10:20:50.000000,3.47,5.18,4.88
05/01/2022 10:22:50.000000,4.0,5.93,5.45
05/01/2022 10:24:50.000000,3.59,4.97,4.63
05/01/2022 10:26:50.000000,3.58,4.97,4.63
05/01/2022 10:28:50.000000,3.81,5.12,4.95
05/01/2022 10:32:50.000000,3.62,5.16,5.02
05/01/2022 10:34:50.000000,3.7,5.83,5.13
05/01/2022 10:36:50.000000,3.05,4.57,4.48
05/01/2022 10:38:50.000000,3.38,4.68,4.43
05/01/2022 10:40:50.000000,3.05,4.48,4.4
05/01/2022 10:42:50.000000,2.78,4.22,3.63
05/01/2022 10:44:50.000000,2.98,5.03,4.52
05/01/2022 10:46:50.000000,3.07,4.84,4.55
05/01/2022 10:48:50.000000,3.47,6.17,5.86
