InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/09/2018 22:00:00.000000,13.0,5.2
10/09/2018 23:00:00.000000,12.0,5.3
10/10/2018 00:00:00.000000,12.0,5.5
10/10/2018 01:00:00.000000,13.0,5.7
10/10/2018 02:00:00.000000,12.0,6.8
10/10/2018 03:00:00.000000,10.0,7.4
10/10/2018 04:00:00.000000,7.0,7.4
10/10/2018 05:00:00.000000,,7.1
10/10/2018 06:00:00.000000,4.0,6.4
10/10/2018 07:00:00.000000,4.0,5.8
10/10/2018 08:00:00.000000,6.0,5.8
10/10/2018 09:00:00.000000,8.0,5.6
10/10/2018 10:00:00.000000,9.0,5.1
10/10/2018 11:00:00.000000,7.0,3.9
10/10/2018 12:00:00.000000,9.0,3.0
10/10/2018 13:00:00.000000,11.0,2.7
10/10/2018 14:00:00.000000,14.0,2.7
10/10/2018 15:00:00.000000,12.0,3.9
10/10/2018 16:00:00.000000,12.0,5.2
10/10/2018 17:00:00.000000,14.0,5.5
10/10/2018 18:00:00.000000,12.0,6.2
10/10/2018 19:00:00.000000,10.0,6.0
10/10/2018 20:00:00.000000,17.0,7.7
10/10/2018 21:00:00.000000,14.0,6.8
10/10/2018 22:00:00.000000,12.0,6.1
10/10/2018 23:00:00.000000,10.0,4.9
10/11/2018 00:00:00.000000,8.0,4.6
10/11/2018 01:00:00.000000,10.0,4.3
10/11/2018 02:00:00.000000,9.0,4.4
10/11/2018 03:00:00.000000,8.0,4.4
10/11/2018 04:00:00.000000,7.0,4.1
10/11/2018 05:00:00.000000,,4.7
10/11/2018 06:00:00.000000,10.0,5.4
10/11/2018 07:00:00.000000,7.0,4.8
10/11/2018 08:00:00.000000,8.0,4.3
10/11/2018 09:00:00.000000,8.0,4.1
10/11/2018 10:00:00.000000,16.0,4.0
10/11/2018 11:00:00.000000,13.0,4.2
10/11/2018 12:00:00.000000,19.0,5.0
10/11/2018 13:00:00.000000,19.0,5.8
10/11/2018 14:00:00.000000,20.0,8.0
